Date,METKORE
2013-01-01,14.1
2013-01-02,13.9
2013-01-03,13.55
2013-01-04,12.0
2013-01-07,12.4
2013-01-08,12.4
2013-01-09,12.5
2013-01-10,12.25
2013-01-11,12.15
2013-01-14,12.05
2013-01-15,12.25
2013-01-16,12.1
2013-01-17,12.05
2013-01-18,12.05
2013-01-21,11.9
2013-01-22,11.75
2013-01-23,11.25
2013-01-24,11.1
2013-01-25,11.2
2013-01-28,11.8
2013-01-29,11.45
2013-01-30,11.6
2013-01-31,11.4
2013-02-01,11.45
2013-02-04,11.45
2013-02-05,11.35
2013-02-06,11.7
2013-02-07,11.3
2013-02-08,11.0
2013-02-11,11.05
2013-02-12,10.85
2013-02-13,10.65
2013-02-14,9.95
2013-02-15,10.15
2013-02-18,10.15
2013-02-19,9.9
2013-02-20,9.6
2013-02-21,9.6
2013-02-22,11.1
2013-02-25,10.35
2013-02-26,9.95
2013-02-27,9.65
2013-02-28,9.7
2013-03-01,9.8
2013-03-04,9.15
2013-03-05,9.0
2013-03-06,9.05
2013-03-07,8.85
2013-03-08,9.4
2013-03-11,9.25
2013-03-12,9.2
2013-03-13,9.0
2013-03-14,9.05
2013-03-15,8.9
2013-03-18,9.1
2013-03-19,8.7
2013-03-20,8.55
2013-03-21,8.25
2013-03-22,8.2
2013-03-25,7.5
2013-03-26,8.75
2013-03-28,8.15
2013-04-01,8.9
2013-04-02,8.95
2013-04-03,8.6
2013-04-04,8.4
2013-04-05,8.5
2013-04-08,9.0
2013-04-09,8.5
2013-04-10,8.5
2013-04-11,8.6
2013-04-12,8.7
2013-04-15,8.45
2013-04-16,8.75
2013-04-17,9.55
2013-04-18,9.5
2013-04-22,9.25
2013-04-23,9.4
2013-04-25,8.85
2013-04-26,8.65
2013-04-29,8.65
2013-04-30,8.75
2013-05-02,8.45
2013-05-03,8.95
2013-05-06,8.9
2013-05-07,8.55
2013-05-08,8.45
2013-05-09,8.25
2013-05-10,8.55
2013-05-11,8.4
2013-05-13,8.0
2013-05-14,8.7
2013-05-15,10.0
2013-05-16,10.2
2013-05-17,9.7
2013-05-20,9.85
2013-05-21,10.5
2013-05-22,9.2
2013-05-23,8.75
2013-05-24,9.75
2013-05-27,9.25
2013-05-28,9.6
2013-05-29,10.3
2013-05-30,10.6
2013-05-31,10.75
2013-06-03,10.0
2013-06-04,10.0
2013-06-05,9.95
2013-06-06,9.95
2013-06-07,8.95
2013-06-10,9.35
2013-06-11,8.6
2013-06-12,9.25
2013-06-13,8.55
2013-06-14,8.2
2013-06-17,8.65
2013-06-18,8.2
2013-06-19,8.3
2013-06-20,8.0
2013-06-21,8.5
2013-06-24,8.1
2013-06-25,6.85
2013-06-26,8.05
2013-06-27,8.05
2013-06-28,8.0
2013-07-01,8.0
2013-07-02,7.95
2013-07-03,7.8
2013-07-04,8.25
2013-07-05,8.6
2013-07-08,8.65
2013-07-09,8.8
2013-07-10,8.75
2013-07-11,8.85
2013-07-12,8.8
2013-07-15,8.5
2013-07-16,8.75
2013-07-17,8.35
2013-07-18,10.0
2013-07-19,11.5
2013-07-22,10.95
2013-07-23,11.0
2013-07-24,10.05
2013-07-25,9.6
2013-07-26,10.05
2013-07-29,9.9
2013-07-30,8.85
2013-07-31,8.6
2013-08-01,8.6
2013-08-02,8.05
2013-08-05,8.15
2013-08-06,8.1
2013-08-07,8.0
2013-08-08,7.9
2013-08-12,8.2
2013-08-13,8.25
2013-08-14,8.05
2013-08-16,8.05
2013-08-19,7.55
2013-08-20,7.75
2013-08-21,7.7
2013-08-22,7.3
2013-08-23,7.85
2013-08-26,7.8
2013-08-27,7.4
2013-08-28,7.8
2013-08-29,8.1
2013-08-30,8.0
2013-09-02,8.45
2013-09-03,8.1
2013-09-04,7.9
2013-09-05,7.55
2013-09-06,7.5
2013-09-10,7.55
2013-09-11,7.15
2013-09-12,7.05
2013-09-13,6.9
2013-09-16,6.6
2013-09-17,6.25
2013-09-18,6.35
2013-09-19,6.9
2013-09-20,8.05
2013-09-23,7.5
2013-09-24,7.25
2013-09-25,6.7
2013-09-26,6.7
2013-09-27,7.0
2013-09-30,6.75
2013-10-01,6.9
2013-10-03,6.9
2013-10-04,6.8
2013-10-07,6.9
2013-10-08,6.25
2013-10-09,6.8
2013-10-10,6.95
2013-10-11,6.9
2013-10-14,6.8
2013-10-15,7.0
2013-10-17,6.9
2013-10-18,6.7
2013-10-21,6.95
2013-10-22,7.05
2013-10-23,7.05
2013-10-24,6.9
2013-10-25,6.75
2013-10-28,6.7
2013-10-29,6.7
2013-10-30,6.8
2013-10-31,6.7
2013-11-01,6.45
2013-11-03,6.5
2013-11-05,6.35
2013-11-06,6.55
2013-11-07,7.05
2013-11-08,6.8
2013-11-11,6.55
2013-11-12,6.8
2013-11-13,6.9
2013-11-14,6.7
2013-11-18,6.6
2013-11-19,6.65
2013-11-20,6.5
2013-11-21,6.4
2013-11-22,6.25
2013-11-25,6.3
2013-11-26,6.15
2013-11-27,6.25
2013-11-28,6.4
2013-11-29,6.45
2013-12-02,6.25
2013-12-03,6.35
2013-12-04,6.35
2013-12-05,6.1
2013-12-06,6.2
2013-12-09,6.1
