Date,ICICINF100
2013-08-27,52.55
2013-09-13,56.68
2013-09-16,57.66
2013-09-17,57.01
2013-09-20,58.73
2013-10-14,62.22
2013-10-31,73.93
2013-11-01,64.33
2013-11-05,64.18
2013-11-11,59.05
2013-11-12,62.25
2013-11-13,58.92
2013-11-22,58.44
2013-11-25,58.79
2013-11-28,64.16
2013-12-02,64.56
2013-12-05,64.0
2013-12-09,64.0
2013-12-10,64.0
2013-12-11,64.52
2013-12-16,63.82
2013-12-20,63.44
2013-12-23,63.32
2013-12-24,64.0
2013-12-26,63.61
2013-12-27,61.21
2013-12-30,64.0
2013-12-31,61.29
2014-01-01,61.4
2014-01-02,64.94
2014-01-03,63.66
2014-01-06,64.01
2014-01-07,60.39
2014-01-10,63.57
2014-01-13,63.89
2014-01-14,64.34
2014-01-15,64.25
2014-01-21,64.61
2014-01-22,64.19
2014-01-30,65.17
2014-01-31,62.48
2014-02-03,62.72
2014-02-04,62.53
2014-02-05,61.52
2014-02-10,62.02
2014-02-11,62.01
2014-02-14,61.41
2014-02-18,62.03
2014-02-24,62.36
2014-02-26,63.25
2014-02-28,63.5
2014-03-03,63.94
2014-03-05,64.6
2014-03-10,66.54
2014-03-11,66.88
2014-03-13,66.55
2014-03-14,65.8
2014-03-19,63.1
2014-03-21,66.1
2014-03-24,67.01
2014-03-25,67.0
2014-03-26,67.56
2014-03-27,67.0
2014-03-31,79.0
2014-04-01,67.5
2014-04-02,69.05
2014-04-04,65.0
2014-04-07,68.77
2014-04-09,68.92
2014-04-10,66.07
2014-04-11,65.57
2014-04-15,65.17
2014-04-21,65.99
2014-04-22,66.04
2014-04-23,70.0
2014-04-25,67.0
2014-04-28,69.59
2014-04-29,69.52
2014-04-30,69.0
2014-05-02,65.25
2014-05-05,64.3
2014-05-06,70.0
2014-05-07,70.0
2014-05-09,64.5
2014-05-12,69.63
2014-05-13,69.21
2014-05-14,68.96
2014-05-15,73.21
2014-05-16,63.84
2014-05-19,70.0
2014-05-20,71.98
2014-05-21,74.0
2014-05-22,74.0
2014-05-23,75.0
2014-05-26,72.76
2014-05-27,72.0
2014-05-28,74.0
2014-05-29,75.0
2014-05-30,74.0
2014-06-02,75.02
2014-06-03,75.89
2014-06-04,76.49
2014-06-05,76.66
2014-06-06,78.04
2014-06-09,79.19
2014-06-10,75.15
2014-06-11,78.83
2014-06-13,79.0
2014-06-16,77.9
2014-06-17,77.89
2014-06-19,78.73
2014-06-20,78.01
2014-06-23,77.69
2014-06-24,78.06
2014-06-25,76.45
2014-06-26,76.29
2014-06-27,72.5
2014-06-30,76.61
2014-07-01,78.4
2014-07-02,74.97
2014-07-03,78.44
2014-07-04,75.57
2014-07-07,82.78
2014-07-08,77.76
2014-07-09,85.0
2014-07-10,73.0
2014-07-11,78.0
2014-07-14,77.45
2014-07-21,80.0
2014-07-22,86.0
2014-07-23,80.0
2014-07-28,78.0
2014-07-30,76.64
2014-07-31,79.0
2014-08-01,84.59
2014-08-04,78.25
2014-08-05,77.51
2014-08-06,79.6
2014-08-08,79.83
2014-08-11,82.5
2014-08-13,91.08
2014-08-14,89.0
2014-08-18,82.49
2014-08-19,81.95
2014-08-20,81.95
2014-08-22,82.85
2014-08-25,83.4
2014-08-26,83.3
2014-08-27,80.5
2014-08-28,82.18
2014-09-01,75.01
2014-09-02,82.62
2014-09-03,82.38
2014-09-04,82.55
2014-09-05,82.5
2014-09-08,81.45
2014-09-09,83.0
2014-09-10,83.0
2014-09-11,83.25
2014-09-12,83.25
2014-09-15,82.4
2014-09-16,82.45
2014-09-17,81.15
2014-09-18,82.0
2014-09-19,83.1
2014-09-22,83.0
2014-09-23,83.1
2014-09-24,81.6
2014-09-25,81.0
2014-09-26,80.74
2014-09-29,81.2
2014-10-01,81.5
2014-10-07,81.5
2014-10-08,80.65
2014-10-09,80.55
2014-10-10,82.45
2014-10-13,81.0
2014-10-14,81.2
2014-10-16,81.14
2014-10-17,78.65
2014-10-20,80.5
2014-10-22,82.1
2014-10-23,84.0
2014-10-27,83.7
2014-10-28,81.75
2014-10-29,81.7
2014-10-30,82.95
2014-10-31,83.55
2014-11-03,83.7
2014-11-05,82.9
2014-11-07,83.05
2014-11-10,84.5
2014-11-11,84.5
2014-11-12,84.5
2014-11-13,84.25
2014-11-14,86.55
2014-11-17,86.55
2014-11-18,86.55
2014-11-19,84.7
2014-11-20,85.0
2014-11-21,85.5
2014-11-24,86.26
2014-11-25,85.83
2014-11-26,86.45
2014-11-27,86.04
2014-11-28,87.37
2014-12-01,88.38
2014-12-02,87.0
2014-12-03,87.28
2014-12-04,87.35
2014-12-05,87.76
2014-12-08,88.03
2014-12-09,86.33
2014-12-10,85.37
2014-12-11,85.25
2014-12-12,85.2
2014-12-15,85.5
2014-12-16,85.16
2014-12-17,82.61
2014-12-18,82.09
2014-12-19,84.27
2014-12-22,84.19
2014-12-23,85.23
2014-12-24,84.52
2014-12-26,83.7
2014-12-29,83.73
2014-12-30,84.55
2014-12-31,84.28
2015-01-01,85.22
2015-01-02,84.68
2015-01-05,86.19
2015-01-06,86.26
2015-01-07,83.63
2015-01-08,82.97
2015-01-09,85.3
2015-01-12,85.2
2015-01-13,85.2
2015-01-14,85.85
2015-01-15,85.53
2015-01-16,85.55
2015-01-19,86.23
2015-01-20,87.6
2015-01-21,87.55
2015-01-22,89.25
2015-01-23,89.13
2015-01-27,90.35
2015-01-28,91.8
2015-01-29,90.75
2015-01-30,91.39
2015-02-02,90.32
2015-02-03,89.94
2015-02-04,90.4
2015-02-05,89.7
2015-02-06,88.6
2015-02-09,87.5
2015-02-10,87.35
2015-02-11,88.2
2015-02-12,89.11
2015-02-13,87.68
2015-02-16,91.5
2015-02-18,90.6
2015-02-19,91.0
2015-02-20,91.0
2015-02-23,91.5
2015-02-24,89.25
2015-02-25,90.1
2015-02-27,88.95
2015-02-28,89.99
2015-03-02,92.15
2015-03-03,91.9
2015-03-04,92.5
2015-03-05,91.65
2015-03-09,92.25
2015-03-10,90.1
2015-03-11,88.8
2015-03-12,89.75
2015-03-13,91.02
2015-03-16,88.4
2015-03-17,88.2
2015-03-18,89.7
2015-03-19,89.75
2015-03-20,88.66
2015-03-23,88.2
2015-03-24,87.4
2015-03-25,87.84
2015-03-27,86.2
2015-03-30,86.2
2015-03-31,88.4
2015-04-01,88.4
2015-04-06,87.9
2015-04-07,89.4
2015-04-08,88.6
2015-04-09,90.95
2015-04-10,90.7
2015-04-13,90.9
2015-04-15,91.35
2015-04-16,90.8
2015-04-17,89.9
2015-04-20,88.92
2015-04-21,87.3
2015-04-22,86.55
2015-04-23,85.65
2015-04-24,86.95
2015-04-27,85.4
2015-04-28,84.75
2015-04-29,84.66
2015-04-30,85.25
2015-05-04,85.5
2015-05-05,86.85
2015-05-06,86.4
2015-05-07,85.0
2015-05-08,83.2
2015-05-11,83.75
2015-05-12,85.4
2015-05-13,84.1
2015-05-14,86.5
2015-05-15,85.35
2015-05-18,85.75
2015-05-19,88.0
2015-05-20,87.75
2015-05-21,90.0
2015-05-22,90.0
2015-05-25,85.01
2015-05-26,85.01
2015-05-27,82.0
2015-05-28,90.0
2015-05-29,89.99
2015-06-01,88.25
2015-06-02,82.15
2015-06-03,87.7
2015-06-04,87.99
2015-06-05,82.66
2015-06-08,89.32
2015-06-09,90.0
2015-06-10,84.0
2015-06-11,84.0
2015-06-12,85.0
2015-06-15,85.0
2015-06-16,83.7
2015-06-17,87.0
2015-06-18,78.5
2015-06-19,84.99
2015-06-22,83.0
2015-06-23,85.46
2015-06-24,84.99
2015-06-25,86.8
2015-06-26,85.3
2015-06-29,83.0
2015-06-30,83.63
2015-07-01,87.71
2015-07-02,84.75
2015-07-03,83.98
2015-07-06,89.5
2015-07-07,86.0
2015-07-08,83.25
2015-07-09,86.0
2015-07-10,85.98
2015-07-13,84.55
2015-07-14,86.55
2015-07-15,87.49
2015-07-16,87.99
2015-07-17,86.9
2015-07-20,89.9
2015-07-21,89.1
2015-07-22,88.9
2015-07-23,85.63
2015-07-24,86.0
2015-07-27,89.0
2015-07-28,88.0
2015-07-29,85.0
2015-07-30,88.75
2015-07-31,86.0
2015-08-03,89.25
2015-08-04,88.5
2015-08-05,88.5
2015-08-06,88.0
2015-08-07,84.4
2015-08-10,88.55
2015-08-11,85.76
2015-08-12,88.5
2015-08-13,86.75
2015-08-14,88.8
2015-08-17,87.0
2015-08-18,88.0
2015-08-19,85.15
2015-08-20,85.0
2015-08-21,85.0
2015-08-24,84.75
2015-08-25,89.0
2015-08-26,81.35
2015-08-27,87.79
2015-08-28,88.44
2015-08-31,84.0
2015-09-01,82.25
2015-09-02,82.0
2015-09-03,85.0
2015-09-04,82.6
2015-09-07,82.05
2015-09-08,87.49
2015-09-09,87.99
2015-09-10,87.86
2015-09-11,88.0
2015-09-14,87.99
2015-09-15,83.1
2015-09-16,84.49
2015-09-18,82.5
2015-09-21,82.6
2015-09-22,82.53
2015-09-23,83.99
2015-09-24,82.61
2015-09-28,84.0
2015-09-29,84.0
2015-09-30,84.0
2015-10-01,83.21
2015-10-05,87.45
2015-10-06,87.02
2015-10-07,88.99
2015-10-08,83.7
2015-10-09,83.95
2015-10-12,84.68
2015-10-13,85.9
2015-10-14,83.4
2015-10-15,83.7
2015-10-16,86.39
2015-10-19,83.4
2015-10-20,85.0
2015-10-21,83.68
2015-10-23,83.12
2015-10-26,83.25
2015-10-27,85.68
2015-10-28,83.0
2015-10-29,83.44
2015-10-30,81.4
2015-11-02,84.37
2015-11-03,84.35
2015-11-04,84.75
2015-11-05,84.29
2015-11-06,83.99
2015-11-09,84.85
2015-11-10,85.98
2015-11-13,83.61
2015-11-16,84.99
2015-11-17,83.21
2015-11-18,85.9
2015-11-19,89.06
2015-11-20,83.4
2015-11-23,84.11
2015-11-24,82.59
2015-11-26,83.26
2015-11-27,84.3
2015-11-30,84.5
2015-12-01,82.85
2015-12-02,82.87
2015-12-03,84.85
