Date,WOCKPHARMA
2013-03-01,1929.9
2013-03-04,1870.95
2013-03-05,1912.6
2013-03-06,1954.2
2013-03-07,2037.05
2013-03-08,2068.6
2013-03-11,2103.7
2013-03-12,2119.5
2013-03-13,2002.3
2013-03-14,1999.8
2013-03-15,1948.25
2013-03-18,1930.15
2013-03-19,1924.6
2013-03-20,1954.95
2013-03-21,1936.05
2013-03-22,1894.25
2013-03-25,1907.75
2013-03-26,1937.6
2013-03-28,2005.3
2013-04-01,2024.9
2013-04-02,1992.3
2013-04-03,1989.75
2013-04-04,1986.9
2013-04-05,1990.0
2013-04-08,2000.85
2013-04-09,2018.75
2013-04-10,2020.5
2013-04-11,1946.65
2013-04-12,1752.05
2013-04-15,1712.7
2013-04-16,1699.05
2013-04-17,1798.4
2013-04-18,1810.1
2013-04-22,1821.4
2013-04-23,1853.95
2013-04-25,1911.2
2013-04-26,1862.85
2013-04-29,1905.35
2013-04-30,1906.35
2013-05-02,1916.3
2013-05-03,1904.05
2013-05-06,1911.4
2013-05-07,1868.2
2013-05-08,1853.25
2013-05-09,1786.45
2013-05-10,1676.25
2013-05-11,1735.6
2013-05-13,1731.25
2013-05-14,1752.9
2013-05-15,1830.55
2013-05-16,1848.35
2013-05-17,1799.45
2013-05-20,1745.7
2013-05-21,1683.8
2013-05-22,1642.25
2013-05-23,1313.8
2013-05-24,1234.1
2013-05-27,1278.25
2013-05-28,1246.35
2013-05-29,1121.75
2013-05-30,1140.55
2013-05-31,1223.3
2013-06-03,1197.05
2013-06-04,1200.65
2013-06-05,1198.2
2013-06-06,1195.35
2013-06-07,1195.2
2013-06-10,1202.25
2013-06-11,1082.05
2013-06-12,1035.0
2013-06-13,1041.65
2013-06-14,1047.95
2013-06-17,1079.3
2013-06-18,1113.95
2013-06-19,1090.0
2013-06-20,1053.45
2013-06-21,1027.3
2013-06-24,1002.25
2013-06-25,988.1
2013-06-26,996.7
2013-06-27,1011.35
2013-06-28,1000.85
2013-07-01,1073.1
2013-07-02,1079.6
2013-07-03,1016.2
2013-07-04,994.1
2013-07-05,915.6
2013-07-08,911.7
2013-07-09,913.2
2013-07-10,961.7
2013-07-11,939.35
