Date,NMDC
2013-01-01,168.7
2013-01-02,167.9
2013-01-03,162.5
2013-01-04,163.55
2013-01-07,163.45
2013-01-08,163.65
2013-01-09,164.55
2013-01-10,164.35
2013-01-11,161.55
2013-01-14,162.35
2013-01-15,163.55
2013-01-16,159.8
2013-01-17,159.85
2013-01-18,161.7
2013-01-21,161.8
2013-01-22,160.6
2013-01-23,159.75
2013-01-24,158.65
2013-01-25,160.35
2013-01-28,158.85
2013-01-29,158.7
2013-01-30,156.8
2013-01-31,154.45
2013-02-01,154.75
2013-02-04,150.1
2013-02-05,148.65
2013-02-06,151.3
2013-02-07,149.95
2013-02-08,147.15
2013-02-11,146.8
2013-02-12,147.35
2013-02-13,146.8
2013-02-14,148.55
2013-02-15,150.1
2013-02-18,150.9
2013-02-19,153.7
2013-02-20,151.1
2013-02-21,147.05
2013-02-22,145.25
2013-02-25,142.9
2013-02-26,139.1
2013-02-27,141.4
2013-02-28,137.05
2013-03-01,138.15
2013-03-04,135.1
2013-03-05,139.85
2013-03-06,143.35
2013-03-07,145.7
2013-03-08,146.45
2013-03-11,145.2
2013-03-12,145.35
2013-03-13,143.1
2013-03-14,145.6
2013-03-15,144.55
2013-03-18,138.1
2013-03-19,138.05
2013-03-20,134.05
2013-03-21,133.75
2013-03-22,130.85
2013-03-25,133.55
2013-03-26,134.3
2013-03-28,137.1
2013-04-01,135.15
2013-04-02,136.25
2013-04-03,130.2
2013-04-04,130.55
2013-04-05,124.85
2013-04-08,123.85
2013-04-09,122.6
2013-04-10,124.5
2013-04-11,125.1
2013-04-12,125.4
2013-04-15,128.4
2013-04-16,128.55
2013-04-17,127.0
2013-04-18,123.9
2013-04-22,127.65
2013-04-23,129.5
2013-04-25,128.6
2013-04-26,126.55
2013-04-29,123.55
2013-04-30,125.75
2013-05-02,127.15
2013-05-03,126.5
2013-05-06,129.95
2013-05-07,129.95
2013-05-08,128.4
2013-05-09,124.5
2013-05-10,127.2
2013-05-11,127.65
2013-05-13,125.65
2013-05-14,126.65
2013-05-15,128.35
2013-05-16,124.55
2013-05-17,122.35
2013-05-20,121.85
2013-05-21,122.05
2013-05-22,121.15
2013-05-23,116.65
2013-05-24,116.6
2013-05-27,118.05
