Date,DSSL
2013-01-01,4.8
2013-01-02,4.75
2013-01-03,4.95
2013-01-04,4.75
2013-01-07,4.75
2013-01-08,4.65
2013-01-09,4.45
2013-01-10,4.45
2013-01-11,4.7
2013-01-14,4.35
2013-01-15,4.5
2013-01-16,4.25
2013-01-17,4.2
2013-01-18,4.3
2013-01-21,4.35
2013-01-22,4.15
2013-01-23,4.0
2013-01-24,4.0
2013-01-25,3.8
2013-01-29,3.8
2013-01-30,4.0
2013-01-31,4.3
2013-02-01,4.05
2013-02-04,4.45
2013-02-05,4.05
2013-02-07,4.0
2013-02-08,4.35
2013-02-11,4.45
2013-02-13,4.2
2013-02-14,4.0
2013-02-15,4.3
2013-02-18,3.9
2013-02-19,4.1
2013-02-20,4.0
2013-02-21,3.8
2013-02-22,3.7
2013-02-26,3.8
2013-02-27,4.05
2013-02-28,3.8
2013-03-01,3.7
2013-03-05,3.5
2013-03-06,3.85
2013-03-07,3.95
2013-03-08,4.15
2013-03-11,3.95
2013-03-12,4.45
2013-03-13,4.05
2013-03-14,4.05
2013-03-15,3.75
2013-03-18,4.25
2013-03-19,4.2
2013-03-20,3.8
2013-03-21,3.5
2013-03-22,3.7
2013-03-25,3.25
2013-03-26,3.4
2013-03-28,3.6
2013-04-02,3.65
2013-04-03,3.8
2013-04-16,3.1
2013-04-17,2.55
2013-04-26,2.8
2013-04-29,3.05
2013-05-02,2.75
2013-05-03,2.5
2013-05-09,2.55
2013-05-10,2.65
2013-05-14,2.75
2013-05-15,2.75
2013-05-17,2.85
2013-05-21,2.95
2013-05-22,2.85
2013-05-23,2.95
2013-05-24,3.05
2013-05-29,3.05
2013-05-30,3.05
2013-06-04,3.2
2013-06-13,3.05
2013-06-14,2.9
2013-06-19,3.0
2013-06-20,3.15
2013-06-27,3.0
2013-07-01,2.9
2013-07-03,2.85
2013-07-09,2.95
2013-07-10,3.0
2013-07-12,3.15
2013-07-15,3.0
2013-07-16,2.85
2013-07-18,2.85
2013-07-19,2.75
2013-07-22,2.65
2013-07-23,2.75
2013-07-25,2.7
2013-07-29,2.8
2013-07-30,2.9
2013-07-31,3.0
2013-08-02,2.85
2013-08-19,2.95
2013-08-21,3.05
2013-08-26,3.2
2013-09-06,3.05
2013-09-11,3.0
2013-09-12,3.15
2013-10-18,3.3
2013-10-24,3.15
2013-11-29,3.0
2013-12-17,3.0
2014-01-02,2.85
2014-01-03,2.85
2014-01-06,2.85
2014-01-07,2.85
2014-01-08,2.85
2014-01-10,2.75
2014-01-13,2.85
2014-01-14,2.85
2014-01-17,2.95
2014-01-20,2.85
2014-01-22,2.85
2014-01-24,2.95
2014-01-27,3.0
2014-02-03,2.95
2014-02-04,2.95
2014-02-05,2.85
2014-02-06,2.85
2014-02-07,2.85
2014-02-10,2.85
2014-02-11,2.75
2014-02-13,2.65
2014-02-14,2.75
2014-02-17,2.85
2014-02-19,2.95
2014-02-28,2.85
2014-03-07,2.75
