Date,20MICRONS
2013-01-01,160.8
2013-01-02,155.6
2013-01-03,152.8
2013-01-04,151.65
2013-01-07,149.8
2013-01-08,150.55
2013-01-09,149.45
2013-01-10,148.65
2013-01-11,148.0
2013-01-14,146.15
2013-01-15,152.1
2013-01-16,150.35
2013-01-17,150.4
2013-01-18,152.15
2013-01-21,151.1
2013-01-22,150.35
2013-01-23,156.2
2013-01-24,148.5
2013-01-25,136.35
2013-01-28,71.75
2013-01-29,68.85
2013-01-30,68.1
2013-01-31,68.8
2013-02-01,68.65
2013-02-04,68.5
2013-02-05,67.3
2013-02-06,68.4
2013-02-07,54.75
2013-02-08,43.8
2013-02-11,39.45
2013-02-12,35.55
2013-02-13,33.75
2013-02-14,32.9
2013-02-15,34.25
2013-02-18,35.7
2013-02-19,34.6
2013-02-20,34.55
2013-02-21,33.55
2013-02-22,33.35
2013-02-25,31.7
2013-02-26,30.15
2013-02-27,31.65
2013-02-28,32.1
2013-03-01,31.15
2013-03-04,31.35
2013-03-05,29.85
2013-03-06,31.0
2013-03-07,31.7
2013-03-08,32.25
2013-03-11,31.6
2013-03-12,32.45
2013-03-13,30.65
2013-03-14,31.2
2013-03-15,30.75
2013-03-18,30.55
2013-03-19,30.45
2013-03-20,30.4
2013-03-21,30.25
2013-03-22,30.65
2013-03-25,30.15
2013-03-26,30.25
2013-03-28,31.3
2013-04-01,30.75
2013-04-02,30.85
2013-04-03,30.5
2013-04-04,30.4
2013-04-05,30.45
2013-04-08,30.55
2013-04-09,30.4
2013-04-10,30.55
2013-04-11,30.5
2013-04-12,30.5
2013-04-15,30.6
2013-04-16,30.6
2013-04-17,31.2
2013-04-18,31.0
2013-04-22,30.8
2013-04-23,31.0
2013-04-25,30.8
2013-04-26,30.9
2013-04-29,30.8
2013-04-30,30.65
2013-05-02,30.7
2013-05-03,30.65
2013-05-06,30.7
2013-05-07,30.8
2013-05-08,30.7
2013-05-09,30.65
2013-05-10,30.65
2013-05-11,30.75
2013-05-13,30.55
2013-05-14,30.7
2013-05-15,30.6
2013-05-16,31.5
2013-05-17,31.35
2013-05-20,31.05
2013-05-21,30.9
2013-05-22,30.6
2013-05-23,30.6
2013-05-24,30.4
2013-05-27,30.65
2013-05-28,30.65
2013-05-29,30.6
2013-05-30,30.6
2013-05-31,30.45
2013-06-03,30.3
2013-06-04,30.4
2013-06-05,30.4
2013-06-06,30.45
2013-06-07,30.4
2013-06-10,30.4
2013-06-11,30.4
2013-06-12,30.45
2013-06-13,30.5
2013-06-14,30.75
2013-06-17,30.4
2013-06-18,30.35
2013-06-19,30.35
2013-06-20,30.35
2013-06-21,30.3
2013-06-24,30.2
2013-06-25,30.25
2013-06-26,30.25
2013-06-27,30.3
2013-06-28,30.2
2013-07-01,30.2
2013-07-02,30.2
2013-07-03,30.25
2013-07-04,30.35
2013-07-05,30.6
2013-07-08,30.25
2013-07-09,30.35
2013-07-10,30.3
2013-07-11,30.3
2013-07-12,30.45
2013-07-15,30.2
2013-07-16,30.2
2013-07-17,30.25
2013-07-18,30.25
2013-07-19,30.4
2013-07-22,30.5
2013-07-23,30.95
2013-07-24,30.45
2013-07-25,30.5
2013-07-26,30.7
2013-07-29,30.45
2013-07-30,30.2
2013-07-31,30.2
2013-08-01,30.5
2013-08-02,30.35
2013-08-05,30.5
2013-08-06,30.2
2013-08-07,30.3
2013-08-08,30.25
2013-08-12,30.5
2013-08-13,30.45
2013-08-14,30.3
2013-08-16,30.15
2013-08-19,30.25
2013-08-20,30.2
2013-08-21,30.15
2013-08-22,30.5
2013-08-23,30.2
2013-08-26,30.3
2013-08-27,30.3
2013-08-28,30.25
2013-08-29,31.0
2013-08-30,30.25
2013-09-02,30.45
2013-09-03,30.2
2013-09-04,30.4
2013-09-05,30.35
2013-09-06,30.35
2013-09-10,30.3
2013-09-11,30.3
2013-09-12,30.7
2013-09-13,31.35
2013-09-16,30.65
2013-09-17,30.75
2013-09-18,30.85
2013-09-19,30.65
2013-09-20,30.45
2013-09-23,30.6
2013-09-24,30.35
2013-09-25,30.4
2013-09-26,30.3
2013-09-27,30.6
2013-09-30,30.3
2013-10-01,30.4
2013-10-03,30.5
2013-10-04,30.5
2013-10-07,30.4
2013-10-08,30.45
2013-10-09,30.55
2013-10-10,30.4
2013-10-11,30.4
2013-10-14,30.65
2013-10-15,30.35
