Date,SAGCEM
2013-01-01,298.75
2013-01-02,293.0
2013-01-03,291.85
2013-01-04,290.0
2013-01-07,279.95
2013-01-08,265.0
2013-01-09,275.15
2013-01-10,275.0
2013-01-11,255.0
2013-01-14,258.15
2013-01-15,265.15
2013-01-16,264.95
2013-01-17,260.5
2013-01-18,261.1
2013-01-21,253.55
2013-01-22,248.55
2013-01-23,250.0
2013-01-24,250.0
2013-01-25,236.9
2013-01-28,250.15
2013-01-29,244.8
2013-01-30,254.35
2013-01-31,250.4
2013-02-01,250.0
2013-02-04,239.35
2013-02-05,240.0
2013-02-06,237.95
2013-02-07,237.9
2013-02-08,225.4
2013-02-11,223.9
2013-02-12,226.0
2013-02-13,220.0
2013-02-14,225.0
2013-02-15,226.85
2013-02-18,225.15
2013-02-19,213.65
2013-02-20,224.4
2013-02-21,230.05
2013-02-22,234.45
2013-02-25,221.1
2013-02-26,230.05
2013-02-28,235.0
2013-03-01,230.05
2013-03-04,220.75
2013-03-05,216.2
2013-03-06,216.2
2013-03-07,228.75
2013-03-08,222.05
2013-03-11,221.05
2013-03-12,232.95
2013-03-13,230.7
2013-03-14,221.65
2013-03-15,221.25
2013-03-18,223.1
2013-03-19,225.0
2013-03-20,221.15
2013-03-21,220.45
2013-03-22,219.0
2013-03-25,219.15
2013-03-26,233.85
2013-04-01,234.7
2013-04-02,234.8
2013-04-03,235.1
2013-04-04,222.85
2013-04-08,221.05
2013-04-09,221.0
2013-04-10,222.0
2013-04-11,221.0
2013-04-12,221.0
2013-04-16,221.1
2013-04-17,230.15
2013-04-18,223.15
2013-04-22,232.9
2013-04-23,229.5
2013-04-25,224.2
2013-04-26,228.85
2013-04-29,229.0
2013-04-30,222.6
2013-05-02,221.9
2013-05-03,222.0
2013-05-06,220.05
2013-05-07,224.45
2013-05-08,217.0
2013-05-09,217.05
2013-05-10,212.05
2013-05-11,220.1
2013-05-13,211.0
2013-05-14,205.6
2013-05-15,201.25
2013-05-16,209.5
2013-05-17,203.05
2013-05-20,199.8
2013-05-21,202.75
2013-05-22,193.1
2013-05-23,190.05
2013-05-24,190.0
2013-05-27,195.95
2013-05-28,200.85
2013-05-29,199.9
2013-05-30,200.0
2013-05-31,210.7
2013-06-03,209.85
2013-06-04,210.0
2013-06-05,202.85
2013-06-06,210.05
2013-06-07,210.55
2013-06-10,209.0
2013-06-11,203.05
2013-06-12,200.0
2013-06-13,199.75
2013-06-14,195.15
2013-06-17,206.95
2013-06-18,199.6
2013-06-19,200.75
2013-06-20,190.0
2013-06-21,199.95
2013-06-24,198.2
2013-06-25,191.7
2013-06-26,184.7
2013-06-27,190.0
2013-06-28,194.0
