Date,KOTHARIPET
2013-01-01,8.0
2013-01-02,8.15
2013-01-03,8.15
2013-01-04,8.2
2013-01-07,8.2
2013-01-08,8.3
2013-01-09,8.1
2013-01-10,8.0
2013-01-11,7.9
2013-01-14,8.05
2013-01-15,7.9
2013-01-16,7.9
2013-01-17,7.85
2013-01-18,8.15
2013-01-21,8.0
2013-01-22,7.95
2013-01-23,7.8
2013-01-24,7.8
2013-01-25,7.75
2013-01-28,8.0
2013-01-29,8.15
2013-01-30,7.75
2013-01-31,7.9
2013-02-01,7.7
2013-02-04,8.0
2013-02-05,7.85
2013-02-06,7.9
2013-02-07,7.75
2013-02-08,7.75
2013-02-11,7.65
2013-02-12,7.85
2013-02-13,7.55
2013-02-14,7.45
2013-02-15,7.7
2013-02-18,7.75
2013-02-19,7.85
2013-02-20,7.45
2013-02-21,7.5
2013-02-22,7.55
2013-02-25,7.55
2013-02-26,7.25
2013-02-27,7.15
2013-02-28,7.4
2013-03-01,7.0
2013-03-04,6.75
2013-03-05,6.75
2013-03-06,6.8
2013-03-07,6.65
2013-03-08,6.8
2013-03-11,6.85
2013-03-12,6.95
2013-03-13,6.75
2013-03-14,6.9
2013-03-15,6.6
2013-03-18,6.7
2013-03-19,6.5
2013-03-20,6.4
2013-03-21,6.15
2013-03-22,6.4
2013-03-25,6.35
2013-03-26,6.45
2013-03-28,6.15
2013-04-01,6.8
2013-04-02,6.9
2013-04-03,6.85
2013-04-04,6.6
2013-04-05,6.8
2013-04-09,5.65
2013-04-11,6.2
2013-04-15,5.5
2013-04-16,5.5
2013-04-17,5.45
2013-04-18,5.9
2013-04-23,5.95
2013-04-26,6.0
2013-04-29,7.0
2013-05-02,7.45
2013-05-03,6.2
2013-05-06,6.95
2013-05-08,8.3
2013-05-09,7.85
2013-05-10,6.45
2013-05-13,6.1
2013-05-15,6.05
2013-05-16,6.35
2013-05-17,6.5
2013-05-22,6.95
2013-05-23,6.65
2013-05-24,6.6
2013-05-28,6.3
2013-05-29,6.4
2013-05-30,6.25
2013-05-31,6.75
2013-06-03,6.75
2013-06-04,6.55
2013-06-05,6.45
2013-06-06,6.5
2013-06-07,7.0
2013-06-11,7.0
2013-06-12,7.0
2013-06-13,7.0
2013-06-14,6.6
2013-06-17,7.6
2013-06-18,7.0
2013-06-21,7.0
2013-06-24,6.5
2013-06-25,6.8
2013-06-26,6.8
2013-06-27,6.65
2013-06-28,6.55
2013-07-01,7.45
2013-07-02,7.45
2013-07-03,6.05
2013-07-11,6.35
2013-07-12,6.35
2013-07-15,6.2
2013-07-16,6.4
2013-07-17,6.35
2013-07-23,6.65
2013-07-24,6.45
2013-07-25,6.15
2013-07-26,6.45
2013-07-30,6.3
2013-07-31,6.15
2013-08-05,6.1
2013-08-06,6.4
2013-08-07,6.15
2013-08-13,6.2
2013-08-16,6.5
2013-08-19,6.6
2013-08-20,6.9
2013-08-21,7.2
2013-08-22,6.9
2013-08-23,7.2
2013-08-26,6.75
2013-08-27,7.05
2013-08-28,7.0
2013-08-29,6.65
2013-09-03,6.35
2013-09-04,6.2
2013-09-05,6.5
2013-09-06,6.2
2013-09-10,6.5
2013-09-11,6.5
2013-09-12,6.5
2013-09-16,6.25
2013-09-17,6.55
2013-09-18,6.85
2013-09-19,7.15
2013-09-23,7.0
2013-09-27,7.25
2013-09-30,7.2
2013-10-01,6.85
2013-10-03,6.75
2013-10-04,6.6
2013-10-07,6.8
2013-10-08,7.1
2013-10-09,7.45
2013-10-10,7.7
2013-10-11,7.5
2013-10-14,7.15
2013-10-15,7.5
2013-10-17,7.15
2013-10-18,7.15
2013-10-21,7.4
2013-10-22,7.5
2013-10-23,7.6
2013-10-24,7.75
2013-10-25,7.4
2013-10-28,7.55
2013-10-29,7.55
2013-10-30,7.2
2013-10-31,7.45
2013-11-01,7.15
2013-11-03,7.4
2013-11-05,7.15
2013-11-06,7.15
2013-11-07,7.5
2013-11-08,7.75
2013-11-11,7.4
2013-11-12,7.25
2013-11-13,7.6
2013-11-14,7.95
2013-11-18,8.25
2013-11-19,7.9
2013-11-20,8.0
2013-11-21,7.9
2013-11-22,7.9
2013-11-25,8.0
2013-11-26,8.0
2013-11-27,7.8
2013-11-28,7.5
2013-11-29,7.5
2013-12-02,7.5
2013-12-03,7.8
2013-12-04,7.65
2013-12-05,7.65
2013-12-06,7.65
2013-12-09,8.0
2013-12-10,8.1
2013-12-11,8.0
2013-12-12,8.2
2013-12-13,8.5
2013-12-16,8.5
2013-12-17,8.5
2013-12-18,8.9
2013-12-19,9.3
2013-12-20,9.75
2013-12-23,9.7
2013-12-24,10.15
2013-12-26,10.3
2013-12-27,10.35
2013-12-30,10.35
2013-12-31,10.6
2014-01-01,10.1
2014-01-02,9.8
2014-01-06,9.4
2014-01-07,9.1
2014-01-08,9.55
2014-01-09,10.0
2014-01-10,9.7
2014-01-13,10.15
2014-01-14,9.8
2014-01-15,9.95
2014-01-16,9.5
2014-01-17,9.2
2014-01-20,9.25
2014-01-21,8.85
2014-01-22,8.7
2014-01-23,8.55
2014-01-24,8.95
2014-01-27,8.65
2014-01-28,8.6
2014-01-29,8.65
2014-01-30,8.9
2014-01-31,8.85
2014-02-03,8.5
2014-02-04,8.5
2014-02-05,8.55
2014-02-06,8.5
2014-02-07,8.55
2014-02-10,8.55
2014-02-11,8.8
2014-02-12,8.5
2014-02-13,8.65
2014-02-14,9.05
2014-02-17,8.6
2014-02-18,8.65
2014-02-19,8.9
2014-02-20,8.55
2014-02-21,8.25
2014-02-24,8.4
2014-02-25,8.4
2014-02-26,8.1
2014-02-28,8.05
2014-03-03,7.95
2014-03-04,8.0
2014-03-05,8.0
2014-03-06,8.1
2014-03-07,8.45
