Date,BALKRISIND
2013-01-01,298.45
2013-01-02,302.95
2013-01-03,309.75
2013-01-04,309.45
2013-01-07,308.55
2013-01-08,307.2
2013-01-09,306.6
2013-01-10,301.55
2013-01-11,298.6
2013-01-14,296.8
2013-01-15,297.0
2013-01-16,295.45
2013-01-17,291.95
2013-01-18,292.5
2013-01-21,290.3
2013-01-22,287.4
2013-01-23,280.3
2013-01-24,276.75
2013-01-25,284.4
2013-01-28,284.55
2013-01-29,281.15
2013-01-30,280.8
2013-01-31,279.8
2013-02-01,279.75
2013-02-04,278.85
2013-02-05,276.7
2013-02-06,276.1
2013-02-07,278.5
2013-02-08,278.6
2013-02-11,275.1
2013-02-12,276.1
2013-02-13,279.6
2013-02-14,277.75
2013-02-15,260.95
2013-02-18,262.65
2013-02-19,268.2
2013-02-20,265.95
2013-02-21,263.85
2013-02-22,264.1
2013-02-25,260.0
2013-02-26,254.95
2013-02-27,251.6
2013-02-28,249.45
2013-03-01,253.15
2013-03-04,255.75
2013-03-05,264.45
2013-03-06,266.55
2013-03-07,269.75
2013-03-08,271.65
2013-03-11,273.35
2013-03-12,277.15
2013-03-13,273.25
2013-03-14,270.6
2013-03-15,268.45
2013-03-18,277.7
2013-03-19,275.1
2013-03-20,272.85
2013-03-21,275.95
2013-03-22,270.15
2013-03-25,279.0
2013-03-26,274.35
2013-03-28,270.3
2013-04-01,267.15
2013-04-02,270.1
2013-04-03,271.15
2013-04-04,270.25
2013-04-05,271.0
2013-04-08,270.5
2013-04-09,266.4
2013-04-10,263.0
2013-04-11,264.95
2013-04-12,263.55
2013-04-15,267.2
2013-04-16,267.8
2013-04-17,267.65
2013-04-18,266.9
2013-04-22,266.15
2013-04-23,264.95
2013-04-25,265.0
2013-04-26,263.8
2013-04-29,259.0
2013-04-30,262.7
2013-05-02,265.0
2013-05-03,265.15
2013-05-06,265.05
2013-05-07,274.85
2013-05-08,283.6
2013-05-09,288.15
2013-05-10,280.6
2013-05-11,286.75
2013-05-13,280.45
2013-05-14,277.8
2013-05-15,274.7
2013-05-16,269.8
2013-05-17,268.5
2013-05-20,271.5
2013-05-21,270.15
2013-05-22,271.65
2013-05-23,270.1
