Date,ZEEMEDIA
2013-03-01,14.85
2013-03-04,14.3
2013-03-05,15.0
2013-03-06,15.55
2013-03-07,15.6
2013-03-08,15.5
2013-03-11,15.25
2013-03-12,15.25
2013-03-13,14.6
2013-03-14,14.7
2013-03-15,14.8
2013-03-18,14.5
2013-03-19,14.1
2013-03-20,13.7
2013-03-21,13.65
2013-03-22,13.05
2013-03-25,12.6
2013-03-26,12.55
2013-03-28,13.35
2013-04-01,14.6
2013-04-02,16.05
2013-04-03,15.55
2013-04-04,14.95
2013-04-05,14.9
2013-04-08,14.6
2013-04-09,14.6
2013-04-10,14.5
2013-04-11,14.5
2013-04-12,14.45
2013-04-15,14.45
2013-04-16,14.5
2013-04-17,14.7
2013-04-18,14.5
2013-04-22,15.7
2013-04-23,15.35
2013-04-25,15.2
2013-04-26,15.05
2013-04-29,14.9
2013-04-30,15.0
2013-05-02,15.15
2013-05-03,14.75
2013-05-06,15.05
2013-05-07,14.9
2013-05-08,15.65
2013-05-09,15.35
2013-05-10,16.35
2013-05-11,17.4
2013-05-13,16.85
2013-05-14,18.05
2013-05-15,17.6
2013-05-16,17.8
2013-05-17,17.1
2013-05-20,17.05
2013-05-21,16.95
2013-05-22,16.7
2013-05-23,16.25
2013-05-24,14.95
2013-05-27,14.95
2013-05-28,14.65
2013-05-29,14.45
2013-05-30,14.2
2013-05-31,13.75
2013-06-03,13.4
2013-06-04,13.4
2013-06-05,13.35
2013-06-06,13.5
2013-06-07,13.4
2013-06-10,13.35
2013-06-11,13.15
2013-06-12,12.95
2013-06-13,12.9
2013-06-14,12.55
2013-06-17,12.8
2013-06-18,12.9
2013-06-19,12.85
2013-06-20,12.55
2013-06-21,12.4
2013-06-24,12.2
2013-06-25,12.0
2013-06-26,11.8
2013-06-27,12.0
2013-06-28,12.45
2013-07-01,12.9
2013-07-02,12.55
2013-07-03,12.25
2013-07-04,12.3
2013-07-05,12.55
2013-07-08,12.4
2013-07-09,12.4
2013-07-10,12.25
2013-07-11,12.4
2013-07-12,12.35
2013-07-15,12.2
2013-07-16,12.2
2013-07-17,12.0
2013-07-18,12.0
2013-07-19,12.1
2013-07-22,12.0
2013-07-23,12.05
2013-07-24,11.75
2013-07-25,12.05
2013-07-26,11.7
2013-07-29,11.45
2013-07-30,11.15
2013-07-31,11.75
2013-08-01,11.55
2013-08-02,11.0
2013-08-05,11.85
2013-08-06,11.25
2013-08-07,11.25
2013-08-08,11.4
2013-08-12,11.45
2013-08-13,11.5
2013-08-14,12.1
2013-08-16,11.55
2013-08-19,11.1
2013-08-20,10.95
2013-08-21,10.9
2013-08-22,11.0
2013-08-23,11.15
2013-08-26,11.2
2013-08-27,11.0
2013-08-28,10.75
2013-08-29,10.65
2013-08-30,10.9
2013-09-02,11.0
2013-09-03,10.7
2013-09-04,10.75
2013-09-05,10.75
2013-09-06,10.8
2013-09-10,10.95
2013-09-11,11.35
2013-09-12,11.5
2013-09-13,11.65
2013-09-16,11.35
2013-09-17,11.25
2013-09-18,11.35
2013-09-19,11.7
2013-09-20,11.5
2013-09-23,11.0
2013-09-24,11.1
2013-09-25,11.1
2013-09-26,11.15
2013-09-27,11.1
2013-09-30,11.15
2013-10-01,11.85
2013-10-03,11.85
2013-10-04,11.95
2013-10-07,11.8
2013-10-08,11.85
2013-10-09,11.75
2013-10-10,12.05
2013-10-11,12.05
2013-10-14,11.9
2013-10-15,11.75
2013-10-17,11.6
2013-10-18,11.75
2013-10-21,12.0
2013-10-22,12.9
2013-10-23,12.3
2013-10-24,12.35
2013-10-25,12.4
2013-10-28,12.25
2013-10-29,12.25
2013-10-30,13.7
2013-10-31,13.8
2013-11-01,13.8
2013-11-03,14.3
2013-11-05,14.55
2013-11-06,14.5
2013-11-07,13.9
2013-11-08,13.8
2013-11-11,13.35
2013-11-12,13.4
2013-11-13,13.2
2013-11-14,13.0
2013-11-18,13.8
2013-11-19,13.8
2013-11-20,13.55
2013-11-21,13.3
2013-11-22,13.4
2013-11-25,13.85
2013-11-26,13.8
2013-11-27,13.7
2013-11-28,13.85
2013-11-29,13.7
2013-12-02,13.8
2013-12-03,13.85
2013-12-04,14.1
2013-12-05,13.9
2013-12-06,14.05
2013-12-09,14.0
2013-12-10,13.65
2013-12-11,13.6
2013-12-12,13.55
2013-12-13,13.35
2013-12-16,13.35
2013-12-17,13.55
2013-12-18,13.55
2013-12-19,13.5
2013-12-20,13.95
2013-12-23,14.0
2013-12-24,13.8
2013-12-26,13.65
2013-12-27,13.55
2013-12-30,13.45
2013-12-31,13.45
2014-01-01,13.9
2014-01-02,13.75
2014-01-03,13.85
2014-01-06,14.2
2014-01-07,14.05
2014-01-08,14.65
2014-01-09,14.45
2014-01-10,14.1
2014-01-13,13.9
2014-01-14,13.45
2014-01-15,13.35
2014-01-16,13.3
2014-01-17,13.2
2014-01-20,13.35
2014-01-21,13.3
2014-01-22,13.4
2014-01-23,13.4
2014-01-24,13.2
2014-01-27,12.8
2014-01-28,13.0
2014-01-29,12.6
2014-01-30,12.5
2014-01-31,12.55
2014-02-03,12.35
2014-02-04,12.35
2014-02-05,12.4
2014-02-06,13.0
2014-02-07,13.25
2014-02-10,13.5
2014-02-11,13.5
2014-02-12,13.5
2014-02-13,13.5
2014-02-14,13.5
2014-02-17,13.5
