Date,RCF
2013-01-01,55.1
2013-01-02,55.15
2013-01-03,55.6
2013-01-04,55.8
2013-01-07,56.1
2013-01-08,56.05
2013-01-09,55.75
2013-01-10,55.1
2013-01-11,55.0
2013-01-14,55.3
2013-01-15,54.9
2013-01-16,54.0
2013-01-17,53.85
2013-01-18,55.2
2013-01-21,55.65
2013-01-22,55.1
2013-01-23,55.0
2013-01-24,53.2
2013-01-25,53.75
2013-01-28,53.55
2013-01-29,52.85
2013-01-30,53.2
2013-01-31,53.15
2013-02-01,53.05
2013-02-04,53.55
2013-02-05,53.05
2013-02-06,52.75
2013-02-07,51.9
2013-02-08,51.25
2013-02-11,53.75
2013-02-12,51.7
2013-02-13,51.4
2013-02-14,50.15
2013-02-15,49.65
2013-02-18,50.95
2013-02-19,51.6
2013-02-20,52.15
2013-02-21,51.15
2013-02-22,50.8
2013-02-25,49.65
2013-02-26,48.5
2013-02-27,48.45
2013-02-28,47.4
2013-03-01,45.7
2013-03-04,44.5
2013-03-05,44.45
2013-03-06,44.55
2013-03-07,43.9
2013-03-08,45.45
2013-03-11,44.75
2013-03-12,43.9
2013-03-13,43.05
2013-03-14,43.05
2013-03-15,42.55
2013-03-18,40.95
2013-03-19,39.85
2013-03-20,38.5
2013-03-21,36.95
2013-03-22,36.05
2013-03-25,36.35
2013-03-26,35.55
2013-03-28,36.4
2013-04-01,38.35
2013-04-02,39.5
2013-04-03,39.2
2013-04-04,38.55
2013-04-05,38.75
2013-04-08,38.75
2013-04-09,38.1
2013-04-10,37.75
2013-04-11,38.15
2013-04-12,37.55
2013-04-15,37.65
2013-04-16,37.95
2013-04-17,38.2
2013-04-18,38.0
2013-04-22,38.7
2013-04-23,40.4
2013-04-25,40.3
2013-04-26,39.3
2013-04-29,39.65
2013-04-30,38.8
2013-05-02,38.45
2013-05-03,38.25
2013-05-06,38.55
2013-05-07,39.45
2013-05-08,40.0
2013-05-09,40.55
2013-05-10,41.05
2013-05-11,42.45
2013-05-13,40.0
2013-05-14,41.05
2013-05-15,41.1
2013-05-16,40.8
2013-05-17,40.45
2013-05-20,40.9
2013-05-21,40.15
2013-05-22,39.95
2013-05-23,38.5
2013-05-24,39.45
2013-05-27,39.6
2013-05-28,40.0
2013-05-29,40.25
2013-05-30,39.65
2013-05-31,38.7
2013-06-03,39.4
2013-06-04,39.65
2013-06-05,40.9
2013-06-06,39.9
2013-06-07,39.7
2013-06-10,39.0
2013-06-11,38.2
2013-06-12,38.95
2013-06-13,38.0
2013-06-14,38.15
2013-06-17,37.5
2013-06-18,37.25
2013-06-19,36.25
2013-06-20,35.4
2013-06-21,35.45
2013-06-24,34.8
2013-06-25,32.8
2013-06-26,30.75
2013-06-27,31.2
2013-06-28,33.05
2013-07-01,34.4
2013-07-02,34.15
2013-07-03,33.45
2013-07-04,33.95
2013-07-05,33.7
2013-07-08,34.5
2013-07-09,34.55
2013-07-10,33.9
2013-07-11,34.7
2013-07-12,34.15
2013-07-15,34.4
2013-07-16,33.6
2013-07-17,32.25
2013-07-18,32.8
2013-07-19,32.2
2013-07-22,32.0
2013-07-23,31.8
2013-07-24,30.65
2013-07-25,30.6
2013-07-26,30.15
2013-07-29,29.6
2013-07-30,28.3
2013-07-31,27.85
2013-08-01,27.4
2013-08-02,27.0
2013-08-05,26.75
2013-08-06,26.85
2013-08-07,27.8
2013-08-08,28.35
2013-08-12,29.15
2013-08-13,29.1
2013-08-14,31.15
2013-08-16,29.3
2013-08-19,28.0
2013-08-20,27.75
2013-08-21,27.35
2013-08-22,27.4
2013-08-23,27.65
2013-08-26,28.55
2013-08-27,27.6
2013-08-28,27.15
2013-08-29,28.7
2013-08-30,31.35
2013-09-02,30.7
2013-09-03,29.5
2013-09-04,29.4
2013-09-05,30.5
2013-09-06,30.8
2013-09-10,31.0
2013-09-11,31.1
2013-09-12,31.05
2013-09-13,32.5
2013-09-16,31.5
2013-09-17,30.95
2013-09-18,30.9
2013-09-19,31.3
2013-09-20,31.1
2013-09-23,30.65
2013-09-24,30.95
2013-09-25,30.65
2013-09-26,31.8
2013-09-27,31.3
2013-09-30,30.75
2013-10-01,31.2
2013-10-03,31.75
2013-10-04,31.25
2013-10-07,31.3
2013-10-08,31.1
2013-10-09,31.1
2013-10-10,31.5
2013-10-11,31.2
2013-10-14,31.5
2013-10-15,31.2
2013-10-17,31.1
2013-10-18,32.0
2013-10-21,32.1
2013-10-22,32.3
2013-10-23,33.4
2013-10-24,32.8
2013-10-25,32.35
2013-10-28,31.35
2013-10-29,31.6
2013-10-30,31.85
2013-10-31,32.15
2013-11-01,32.95
2013-11-03,33.05
2013-11-05,34.25
2013-11-06,34.2
2013-11-07,33.05
2013-11-08,32.3
2013-11-11,31.95
2013-11-12,31.15
2013-11-13,30.8
2013-11-14,31.35
2013-11-18,31.9
2013-11-19,32.25
2013-11-20,33.45
