Date,JUBLINDS
2013-01-01,181.95
2013-01-02,185.4
2013-01-03,186.5
2013-01-04,189.5
2013-01-07,191.25
2013-01-08,191.55
2013-01-09,189.25
2013-01-10,189.05
2013-01-11,182.0
2013-01-14,178.75
2013-01-15,179.15
2013-01-16,179.1
2013-01-17,177.15
2013-01-18,175.05
2013-01-21,177.05
2013-01-22,167.85
2013-01-23,160.45
2013-01-24,155.15
2013-01-25,156.7
2013-01-28,155.2
2013-01-29,150.35
2013-01-30,147.0
2013-01-31,148.55
2013-02-01,145.8
2013-02-04,141.35
2013-02-05,140.8
2013-02-06,140.0
2013-02-07,137.15
2013-02-08,134.3
2013-02-11,135.0
2013-02-12,134.55
2013-02-13,130.55
2013-02-14,130.8
2013-02-15,129.7
2013-02-18,128.65
2013-02-19,132.65
2013-02-20,129.6
2013-02-21,130.45
2013-02-22,129.95
2013-02-25,126.35
2013-02-26,125.45
2013-02-27,125.8
2013-02-28,123.95
2013-03-01,122.6
2013-03-04,119.0
2013-03-05,120.2
2013-03-06,120.15
2013-03-07,124.45
2013-03-08,127.8
2013-03-11,132.05
2013-03-12,126.1
2013-03-13,121.55
2013-03-14,125.05
2013-03-15,125.55
2013-03-18,125.35
2013-03-19,121.75
2013-03-20,118.15
2013-03-21,106.05
2013-03-22,105.1
2013-03-25,105.85
2013-03-26,103.6
2013-03-28,102.7
2013-04-01,105.65
2013-04-02,110.9
2013-04-03,107.05
2013-04-04,104.3
2013-04-05,102.75
2013-04-08,102.35
2013-04-09,101.3
2013-04-10,102.15
2013-04-11,102.1
2013-04-12,98.55
2013-04-15,98.9
2013-04-16,104.0
2013-04-17,104.05
2013-04-18,103.1
2013-04-22,103.25
2013-04-23,105.15
2013-04-25,107.4
2013-04-26,106.2
2013-04-29,108.85
2013-04-30,107.9
2013-05-02,109.75
2013-05-03,108.05
2013-05-06,110.0
2013-05-07,108.1
2013-05-08,107.85
2013-05-09,100.95
2013-05-10,100.05
2013-05-11,100.0
2013-05-13,99.55
2013-05-14,99.15
2013-05-15,98.25
2013-05-16,98.8
2013-05-17,98.9
2013-05-20,99.1
2013-05-21,98.65
2013-05-22,98.85
2013-05-23,96.85
2013-05-24,96.05
2013-05-27,99.1
2013-05-28,97.6
2013-05-29,94.65
2013-05-30,93.55
2013-05-31,92.15
2013-06-03,90.3
2013-06-04,89.9
2013-06-05,88.65
2013-06-06,92.0
2013-06-07,89.85
2013-06-10,86.05
2013-06-11,84.95
2013-06-12,86.25
2013-06-13,83.4
2013-06-14,82.1
2013-06-17,82.2
2013-06-18,81.2
2013-06-19,82.95
2013-06-20,82.7
2013-06-21,80.85
2013-06-24,76.05
2013-06-25,78.1
2013-06-26,80.45
2013-06-27,79.55
2013-06-28,77.55
2013-07-01,79.9
2013-07-02,80.75
2013-07-03,82.35
2013-07-04,82.6
2013-07-05,81.5
2013-07-08,80.2
2013-07-09,77.85
2013-07-10,77.45
2013-07-11,78.1
2013-07-12,74.0
2013-07-15,73.95
2013-07-16,75.25
2013-07-17,69.65
2013-07-18,69.95
2013-07-19,69.15
2013-07-22,69.6
2013-07-23,68.05
2013-07-24,61.5
2013-07-25,57.95
2013-07-26,46.6
2013-07-29,41.95
2013-07-30,37.8
2013-07-31,35.85
2013-08-01,34.1
2013-08-02,32.4
2013-08-05,34.0
2013-08-06,33.75
2013-08-07,35.4
2013-08-08,33.65
2013-08-12,32.0
2013-08-13,30.4
2013-08-14,28.9
2013-08-16,27.5
2013-08-19,28.05
2013-08-20,29.4
2013-08-21,30.45
2013-08-22,31.95
2013-08-23,33.15
2013-08-26,34.8
2013-08-27,36.5
2013-08-28,34.7
2013-08-29,33.8
2013-08-30,32.15
2013-09-02,32.85
2013-09-03,34.45
2013-09-04,36.15
2013-09-05,37.95
2013-09-06,41.7
2013-09-10,45.85
2013-09-11,49.0
2013-09-12,51.4
2013-09-13,51.5
2013-09-16,48.95
2013-09-17,46.55
2013-09-18,45.55
2013-09-19,47.8
2013-09-20,46.0
2013-09-23,46.4
2013-09-24,44.85
2013-09-25,44.9
2013-09-26,43.1
2013-09-27,42.1
2013-09-30,40.25
2013-10-01,41.55
2013-10-03,43.55
2013-10-04,42.1
2013-10-07,41.25
2013-10-08,42.0
2013-10-09,43.6
2013-10-10,43.25
2013-10-11,44.95
2013-10-14,46.4
2013-10-15,45.9
2013-10-17,44.3
2013-10-18,43.2
2013-10-21,45.35
2013-10-22,47.6
2013-10-23,49.95
2013-10-24,52.4
2013-10-25,55.0
2013-10-28,57.35
2013-10-29,54.5
2013-10-30,51.8
2013-10-31,49.5
2013-11-01,50.75
2013-11-03,51.9
2013-11-05,52.45
