Date,GHCL
2013-01-01,37.55
2013-01-02,37.8
2013-01-03,38.1
2013-01-04,37.7
2013-01-07,37.8
2013-01-08,37.7
2013-01-09,38.0
2013-01-10,37.55
2013-01-11,37.25
2013-01-14,37.3
2013-01-15,37.25
2013-01-16,37.15
2013-01-17,37.15
2013-01-18,37.3
2013-01-21,37.2
2013-01-22,37.15
2013-01-23,37.0
2013-01-24,36.5
2013-01-25,36.6
2013-01-28,36.65
2013-01-29,36.55
2013-01-30,36.5
2013-01-31,36.55
2013-02-01,36.75
2013-02-04,37.0
2013-02-05,37.0
2013-02-06,37.0
2013-02-07,37.0
2013-02-08,37.0
2013-02-11,37.0
2013-02-12,36.95
2013-02-13,36.95
2013-02-14,37.0
2013-02-15,36.9
2013-02-18,36.7
2013-02-19,36.6
2013-02-20,36.55
2013-02-21,36.5
2013-02-22,36.6
2013-02-25,36.5
2013-02-26,36.2
2013-02-27,36.3
2013-02-28,36.1
2013-03-01,35.55
2013-03-04,36.0
2013-03-05,36.0
2013-03-06,36.05
2013-03-07,36.1
2013-03-08,36.1
2013-03-11,35.9
2013-03-12,36.1
2013-03-13,36.0
2013-03-14,36.0
2013-03-15,35.95
2013-03-18,35.9
2013-03-19,36.0
2013-03-20,35.85
2013-03-21,36.0
2013-03-22,36.05
2013-03-25,35.75
2013-03-26,36.3
2013-03-28,36.0
2013-04-01,36.0
2013-04-02,36.0
2013-04-03,35.9
2013-04-04,35.9
2013-04-05,35.65
2013-04-08,35.9
2013-04-09,35.75
2013-04-10,35.75
2013-04-11,35.5
2013-04-12,35.6
2013-04-15,35.55
2013-04-16,35.45
2013-04-17,35.5
2013-04-18,35.3
2013-04-22,35.45
2013-04-23,35.2
2013-04-25,35.15
2013-04-26,34.85
2013-04-29,34.1
2013-04-30,33.9
2013-05-02,33.6
2013-05-03,33.95
2013-05-06,33.95
2013-05-07,33.75
2013-05-08,33.7
2013-05-09,33.5
2013-05-10,33.45
2013-05-11,33.65
2013-05-13,33.35
2013-05-14,33.6
2013-05-15,33.6
2013-05-16,33.65
2013-05-17,33.65
2013-05-20,33.65
2013-05-21,33.75
2013-05-22,33.6
2013-05-23,33.3
2013-05-24,33.5
2013-05-27,34.55
2013-05-28,34.4
2013-05-29,34.0
2013-05-30,34.0
2013-05-31,33.75
2013-06-03,33.45
2013-06-04,33.5
2013-06-05,33.75
2013-06-06,33.85
2013-06-07,33.85
2013-06-10,33.7
2013-06-11,33.3
2013-06-12,33.25
2013-06-13,32.8
2013-06-14,33.15
2013-06-17,34.0
2013-06-18,33.85
2013-06-19,33.55
2013-06-20,33.1
2013-06-21,33.15
2013-06-24,32.6
2013-06-25,32.25
2013-06-26,32.05
2013-06-27,32.25
2013-06-28,32.55
2013-07-01,32.6
2013-07-02,32.7
2013-07-03,32.2
2013-07-04,32.05
2013-07-05,32.2
2013-07-08,32.05
2013-07-09,32.05
2013-07-10,32.2
2013-07-11,32.3
2013-07-12,32.65
2013-07-15,32.8
2013-07-16,32.6
2013-07-17,32.8
2013-07-18,32.65
2013-07-19,32.4
2013-07-22,32.25
2013-07-23,32.7
2013-07-24,32.55
2013-07-25,33.0
2013-07-26,32.55
2013-07-29,32.2
2013-07-30,31.3
2013-07-31,30.6
2013-08-01,30.55
2013-08-02,29.95
2013-08-05,29.95
2013-08-06,29.65
2013-08-07,29.35
2013-08-08,30.0
2013-08-12,30.55
2013-08-13,30.65
2013-08-14,30.5
2013-08-16,30.7
2013-08-19,30.0
2013-08-20,30.0
2013-08-21,30.15
2013-08-22,30.05
2013-08-23,30.1
2013-08-26,30.35
2013-08-27,30.3
2013-08-28,30.1
2013-08-29,30.4
2013-08-30,30.3
2013-09-02,31.1
2013-09-03,31.5
2013-09-04,32.85
2013-09-05,33.15
2013-09-06,33.3
2013-09-10,33.6
2013-09-11,33.55
2013-09-12,30.9
2013-09-13,30.55
2013-09-16,30.2
2013-09-17,30.0
2013-09-18,29.7
2013-09-19,29.9
2013-09-20,29.75
2013-09-23,29.95
2013-09-24,29.7
2013-09-25,29.9
2013-09-26,29.4
2013-09-27,29.35
2013-09-30,29.0
2013-10-01,29.2
2013-10-03,29.4
2013-10-04,29.4
2013-10-07,30.0
2013-10-08,30.3
2013-10-09,30.1
2013-10-10,30.5
2013-10-11,30.7
2013-10-14,30.85
2013-10-15,30.45
2013-10-17,30.2
2013-10-18,30.25
2013-10-21,30.25
2013-10-22,30.75
2013-10-23,30.5
2013-10-24,30.85
2013-10-25,30.9
2013-10-28,30.5
2013-10-29,30.7
2013-10-30,30.75
2013-10-31,30.85
2013-11-01,31.4
2013-11-03,31.85
2013-11-05,31.7
2013-11-06,31.5
2013-11-07,31.5
2013-11-08,31.6
2013-11-11,31.55
2013-11-12,32.7
2013-11-13,31.85
2013-11-14,31.9
2013-11-18,31.8
2013-11-19,31.65
2013-11-20,32.1
2013-11-21,32.1
2013-11-22,31.9
2013-11-25,31.8
2013-11-26,31.85
2013-11-27,31.85
