Date,CAMLINFINE
2015-01-20,86.3
2015-01-21,96.5
2015-01-22,94.75
2015-01-23,91.15
2015-01-27,90.7
2015-01-28,90.05
2015-01-29,90.5
2015-01-30,90.15
2015-02-02,93.6
2015-02-03,93.6
2015-02-04,101.15
2015-02-05,96.95
2015-02-06,98.8
2015-02-09,92.6
2015-02-10,93.4
2015-02-11,93.1
2015-02-12,92.6
2015-02-13,94.15
2015-02-16,93.4
2015-02-18,93.5
2015-02-19,90.4
2015-02-20,90.35
2015-02-23,90.2
2015-02-24,90.05
2015-02-25,90.2
2015-02-26,90.0
2015-02-27,90.5
2015-02-28,90.4
2015-03-02,89.5
2015-03-03,98.55
2015-03-04,95.2
2015-03-05,99.1
2015-03-09,98.0
2015-03-10,98.1
2015-03-11,96.7
2015-03-12,95.8
2015-03-13,94.1
2015-03-16,92.2
2015-03-17,92.35
2015-03-18,91.75
2015-03-19,92.8
2015-03-20,89.0
2015-03-23,85.1
2015-03-24,87.0
2015-03-25,82.8
2015-03-26,80.6
2015-03-27,85.8
2015-03-30,87.7
2015-03-31,87.95
2015-04-01,91.1
2015-04-06,91.25
2015-04-07,95.5
2015-04-08,97.15
2015-04-09,97.95
2015-04-10,97.55
2015-04-13,96.4
2015-04-15,96.85
2015-04-16,96.0
2015-04-17,94.15
2015-04-20,89.95
2015-04-21,89.15
2015-04-22,88.2
2015-04-23,90.15
2015-04-24,86.0
2015-04-27,83.85
2015-04-28,85.85
2015-04-29,89.65
2015-04-30,89.6
2015-05-04,92.35
2015-05-05,92.5
2015-05-06,88.5
2015-05-07,86.25
2015-05-08,86.3
2015-05-11,87.3
2015-05-12,85.5
2015-05-13,90.1
2015-05-14,91.5
2015-05-15,94.45
2015-05-18,93.5
2015-05-19,93.95
2015-05-20,94.05
2015-05-21,92.15
2015-05-22,91.35
2015-05-25,92.8
2015-05-26,94.6
2015-05-27,97.0
2015-05-28,96.8
2015-05-29,96.75
2015-06-01,97.35
2015-06-02,96.25
2015-06-03,92.4
2015-06-04,90.8
2015-06-05,94.65
2015-06-08,89.85
2015-06-09,89.45
2015-06-10,89.75
2015-06-11,88.5
2015-06-12,89.25
2015-06-15,90.6
2015-06-16,93.65
2015-06-17,102.45
2015-06-18,107.75
2015-06-19,107.5
2015-06-22,106.25
2015-06-23,103.35
2015-06-24,104.85
2015-06-25,104.35
2015-06-26,111.55
2015-06-29,118.4
2015-06-30,101.05
2015-07-01,104.15
2015-07-02,102.2
2015-07-03,102.2
2015-07-06,110.95
2015-07-07,107.3
2015-07-08,105.55
2015-07-09,107.4
2015-07-10,106.1
2015-07-13,109.35
2015-07-14,107.55
2015-07-15,106.15
2015-07-16,106.4
2015-07-17,107.2
2015-07-20,112.25
2015-07-21,106.8
2015-07-22,107.65
2015-07-23,109.7
2015-07-24,105.7
2015-07-27,103.7
2015-07-28,106.7
2015-07-29,107.5
2015-07-30,110.75
2015-07-31,108.35
2015-08-03,114.8
2015-08-04,115.45
2015-08-05,110.65
2015-08-06,104.3
2015-08-07,103.4
2015-08-10,102.1
2015-08-11,100.1
2015-08-12,93.8
2015-08-13,89.65
2015-08-14,92.8
2015-08-17,91.6
2015-08-18,95.9
2015-08-19,103.05
2015-08-20,101.1
2015-08-21,99.4
2015-08-24,89.75
2015-08-25,87.95
2015-08-26,88.8
2015-08-27,93.3
2015-08-28,91.65
2015-08-31,92.45
2015-09-01,88.8
2015-09-02,88.3
2015-09-03,91.8
2015-09-04,86.65
2015-09-07,85.0
2015-09-08,84.65
2015-09-09,88.85
2015-09-10,87.1
2015-09-11,88.55
2015-09-14,89.2
2015-09-15,93.95
2015-09-16,92.7
2015-09-18,93.0
2015-09-21,96.75
2015-09-22,92.8
2015-09-23,93.4
2015-09-24,100.3
2015-09-28,97.7
2015-09-29,96.55
2015-09-30,99.0
2015-10-01,103.15
2015-10-05,108.25
2015-10-06,110.05
2015-10-07,105.8
2015-10-08,107.45
2015-10-09,106.85
2015-10-12,107.75
2015-10-13,113.0
2015-10-14,112.6
2015-10-15,115.9
2015-10-16,115.45
2015-10-19,116.05
2015-10-20,112.85
2015-10-21,112.4
2015-10-23,114.05
2015-10-26,109.9
2015-10-27,108.25
2015-10-28,112.15
2015-10-29,114.8
2015-10-30,111.65
2015-11-02,118.25
2015-11-03,117.15
2015-11-04,115.35
2015-11-05,113.75
2015-11-06,109.4
2015-11-09,103.05
2015-11-10,102.0
2015-11-11,102.1
2015-11-13,99.95
2015-11-16,102.35
2015-11-17,101.15
2015-11-18,99.4
2015-11-19,102.15
2015-11-20,104.85
2015-11-23,105.85
2015-11-24,103.7
2015-11-26,105.05
2015-11-27,104.9
2015-11-30,104.4
2015-12-01,107.35
2015-12-02,105.9
2015-12-03,105.45
2015-12-04,101.85
2015-12-07,99.9
2015-12-08,98.25
2015-12-09,93.25
2015-12-10,94.9
2015-12-11,92.65
2015-12-14,92.9
2015-12-15,93.0
2015-12-16,92.85
2015-12-17,97.15
2015-12-18,97.45
2015-12-21,102.45
2015-12-22,101.5
2015-12-23,100.6
2015-12-24,102.75
2015-12-28,107.5
2015-12-29,106.9
2015-12-30,107.9
2015-12-31,106.4
2016-01-01,110.2
2016-01-04,106.9
2016-01-05,105.65
2016-01-06,105.45
2016-01-07,101.2
2016-01-08,104.0
2016-01-11,102.15
2016-01-12,101.15
2016-01-13,97.9
2016-01-14,94.5
2016-01-15,90.75
2016-01-18,87.35
2016-01-19,91.5
2016-01-20,90.5
2016-01-21,89.25
2016-01-22,91.95
2016-01-25,94.05
2016-01-27,95.5
2016-01-28,95.3
2016-01-29,96.55
2016-02-01,95.4
2016-02-02,97.15
2016-02-03,101.9
2016-02-04,100.7
2016-02-05,101.95
2016-02-08,102.05
2016-02-09,100.0
2016-02-10,100.05
2016-02-11,96.7
2016-02-12,90.9
2016-02-15,86.9
2016-02-16,83.0
2016-02-17,82.6
2016-02-18,83.45
2016-02-19,82.85
2016-02-22,81.8
2016-02-23,82.05
2016-02-24,79.9
2016-02-25,77.45
2016-02-26,77.2
2016-02-29,77.95
2016-03-01,80.9
2016-03-02,85.15
2016-03-03,86.6
2016-03-04,85.25
2016-03-08,86.15
2016-03-09,88.4
2016-03-10,89.65
2016-03-11,94.35
2016-03-14,95.1
2016-03-15,95.05
2016-03-16,95.35
2016-03-17,92.8
2016-03-18,91.8
2016-03-21,92.35
2016-03-22,91.55
2016-03-23,92.3
2016-03-28,88.45
2016-03-29,89.2
2016-03-30,89.45
2016-03-31,88.65
2016-04-01,90.75
2016-04-04,91.4
2016-04-05,89.9
2016-04-06,93.2
2016-04-07,92.95
2016-04-08,91.8
2016-04-11,93.05
2016-04-12,94.15
2016-04-13,99.5
2016-04-18,100.6
2016-04-20,102.1
2016-04-21,102.85
2016-04-22,105.65
2016-04-25,101.9
2016-04-26,102.2
2016-04-27,101.55
2016-04-28,99.65
2016-04-29,99.85
2016-05-02,99.6
2016-05-03,98.3
2016-05-04,96.45
2016-05-05,97.4
2016-05-06,96.3
2016-05-09,99.65
2016-05-10,100.4
2016-05-11,100.2
2016-05-12,99.8
2016-05-13,98.75
2016-05-16,99.2
2016-05-17,98.75
2016-05-18,97.0
2016-05-19,95.25
2016-05-20,94.0
2016-05-23,94.0
2016-05-24,90.05
2016-05-25,90.65
2016-05-26,91.75
2016-05-27,94.15
2016-05-30,94.5
2016-05-31,93.35
2016-06-01,95.2
2016-06-02,95.05
2016-06-03,96.5
2016-06-06,98.0
2016-06-07,96.95
2016-06-08,95.6
2016-06-09,96.1
2016-06-10,95.6
2016-06-13,94.55
2016-06-14,89.9
2016-06-15,89.7
2016-06-16,89.8
2016-06-17,90.95
2016-06-20,90.45
2016-06-21,90.1
2016-06-22,89.95
2016-06-23,89.3
