Date,VAKRANGEE
2013-01-01,59.7
2013-01-02,62.0
2013-01-03,62.85
2013-01-04,64.55
2013-01-07,66.45
2013-01-08,66.2
2013-01-09,65.95
2013-01-10,66.0
2013-01-11,67.2
2013-01-14,67.0
2013-01-15,67.0
2013-01-16,66.95
2013-01-17,67.15
2013-01-18,67.1
2013-01-21,66.95
2013-01-22,67.05
2013-01-23,67.0
2013-01-24,67.35
2013-01-25,66.95
2013-01-28,67.0
2013-01-29,67.0
2013-01-30,67.0
2013-01-31,67.0
2013-02-01,67.0
2013-02-04,66.95
2013-02-05,66.65
2013-02-06,66.75
2013-02-07,66.5
2013-02-08,66.35
2013-02-11,66.2
2013-02-12,66.05
2013-02-13,66.05
2013-02-14,66.1
2013-02-15,66.05
2013-02-18,66.0
2013-02-19,66.0
2013-02-20,66.0
2013-02-21,65.9
2013-02-22,66.0
2013-02-25,65.9
2013-02-26,65.2
2013-02-27,65.35
2013-02-28,65.3
2013-03-01,65.15
2013-03-04,65.1
2013-03-05,65.2
2013-03-06,65.5
2013-03-07,65.4
2013-03-08,65.95
2013-03-11,67.6
2013-03-12,67.55
2013-03-13,67.0
2013-03-14,67.2
2013-03-15,67.2
2013-03-18,67.05
2013-03-19,67.05
2013-03-20,66.7
2013-03-21,66.8
2013-03-22,66.75
2013-03-25,66.8
2013-03-26,66.85
2013-03-28,67.0
2013-04-01,66.95
2013-04-02,66.85
2013-04-03,66.8
2013-04-04,66.75
2013-04-05,66.95
2013-04-08,67.0
2013-04-09,70.3
2013-04-10,71.9
2013-04-11,74.4
2013-04-12,74.3
2013-04-15,74.0
2013-04-16,74.0
2013-04-17,74.0
2013-04-18,74.0
2013-04-22,76.95
2013-04-23,76.9
2013-04-25,76.45
2013-04-26,74.75
2013-04-29,74.5
2013-04-30,74.3
2013-05-02,74.05
2013-05-03,73.8
2013-05-06,73.6
2013-05-07,74.1
2013-05-08,74.15
2013-05-09,74.15
2013-05-10,74.05
2013-05-11,74.05
2013-05-13,74.05
2013-05-14,74.0
2013-05-15,74.1
2013-05-16,73.95
2013-05-17,73.9
2013-05-20,74.05
2013-05-21,74.0
2013-05-22,73.95
2013-05-23,73.75
2013-05-24,74.15
2013-05-27,74.15
2013-05-28,74.0
2013-05-29,74.0
2013-05-30,75.05
2013-05-31,74.9
2013-06-03,75.0
2013-06-04,74.9
2013-06-05,74.95
2013-06-06,74.8
2013-06-07,74.75
2013-06-10,74.8
2013-06-11,74.75
2013-06-12,74.75
2013-06-13,74.75
2013-06-14,74.75
2013-06-17,75.4
2013-06-18,74.85
2013-06-19,78.85
2013-06-20,80.7
2013-06-21,81.3
2013-06-24,79.9
2013-06-25,80.05
2013-06-26,79.95
2013-06-27,79.6
2013-06-28,79.55
2013-07-01,80.05
2013-07-02,79.65
2013-07-03,79.5
2013-07-04,79.45
2013-07-05,79.45
2013-07-08,79.5
2013-07-09,80.05
2013-07-10,81.2
2013-07-11,83.05
2013-07-12,84.75
2013-07-15,84.75
2013-07-16,83.45
2013-07-17,81.9
2013-07-18,81.5
2013-07-19,80.7
2013-07-22,79.2
2013-07-23,79.8
2013-07-24,78.9
2013-07-25,78.05
2013-07-26,77.0
2013-07-29,66.35
2013-07-30,53.1
2013-07-31,47.8
2013-08-01,52.5
2013-08-02,57.65
2013-08-05,62.7
