Date,CCHHL
2015-02-03,15.5
2015-02-04,14.5
2015-02-05,14.95
2015-02-06,14.55
2015-02-09,14.4
2015-02-10,14.0
2015-02-11,14.0
2015-02-12,14.4
2015-02-13,14.5
2015-02-16,13.95
2015-02-18,14.2
2015-02-19,15.95
2015-02-20,15.95
2015-02-23,15.75
2015-02-24,16.05
2015-02-25,16.1
2015-02-26,15.1
2015-02-27,15.2
2015-02-28,14.95
2015-03-02,14.7
2015-03-03,14.75
2015-03-04,14.35
2015-03-05,14.4
2015-03-09,14.2
2015-03-10,14.6
2015-03-11,14.05
2015-03-12,13.65
2015-03-13,13.7
2015-03-16,13.45
2015-03-17,13.75
2015-03-18,14.0
2015-03-19,14.1
2015-03-20,13.0
2015-03-23,10.4
2015-03-24,8.85
2015-03-25,9.7
2015-03-26,10.05
2015-03-27,9.75
2015-03-30,10.45
2015-03-31,10.75
2015-04-01,10.8
2015-04-06,11.7
2015-04-07,12.6
2015-04-08,12.2
2015-04-09,11.8
2015-04-10,11.75
2015-04-13,11.7
2015-04-15,11.5
2015-04-16,11.4
2015-04-17,11.95
2015-04-20,12.5
2015-04-21,12.05
2015-04-22,12.65
2015-04-23,12.75
2015-04-24,12.15
2015-04-27,11.85
2015-04-28,11.35
2015-04-29,11.1
2015-04-30,11.45
2015-05-04,11.65
2015-05-05,11.4
2015-05-06,11.0
2015-05-07,10.8
2015-05-08,10.8
2015-05-11,11.05
2015-05-12,10.4
2015-05-13,10.55
2015-05-14,10.45
2015-05-15,10.6
2015-05-18,10.45
2015-05-19,10.55
2015-05-20,10.65
2015-05-21,10.7
2015-05-22,10.5
2015-05-25,10.55
2015-05-26,10.35
2015-05-27,10.15
2015-05-28,10.25
2015-05-29,10.2
2015-06-01,10.55
2015-06-02,10.25
2015-06-03,9.7
2015-06-04,10.0
2015-06-05,9.8
2015-06-08,9.85
2015-06-09,9.55
2015-06-10,9.75
2015-06-11,9.45
2015-06-12,9.5
2015-06-15,9.75
2015-06-16,9.55
2015-06-17,9.55
2015-06-18,10.0
2015-06-19,10.0
2015-06-22,10.35
2015-06-23,10.2
2015-06-24,9.9
2015-06-25,9.95
2015-06-26,10.15
2015-06-29,9.85
2015-06-30,10.05
2015-07-01,10.25
2015-07-02,10.5
2015-07-03,10.75
2015-07-06,11.7
2015-07-07,11.7
2015-07-08,11.85
2015-07-09,12.35
2015-07-10,12.0
2015-07-13,12.2
2015-07-14,12.0
2015-07-15,12.35
2015-07-16,12.3
2015-07-17,12.0
2015-07-20,12.15
2015-07-21,11.7
2015-07-22,12.0
2015-07-23,11.7
2015-07-24,11.75
2015-07-27,11.45
2015-07-28,11.3
2015-07-29,11.75
2015-07-30,11.5
2015-07-31,11.85
2015-08-03,11.95
2015-08-04,11.9
2015-08-05,11.95
2015-08-06,13.25
2015-08-07,13.2
2015-08-10,13.25
2015-08-11,12.35
2015-08-12,11.95
2015-08-13,11.25
2015-08-14,11.0
2015-08-17,11.25
2015-08-18,10.9
2015-08-19,10.7
2015-08-20,10.35
2015-08-21,10.3
2015-08-24,9.2
2015-08-25,8.85
2015-08-26,9.3
2015-08-27,9.7
2015-08-28,9.45
2015-08-31,9.3
2015-09-01,9.25
2015-09-02,9.2
2015-09-03,9.3
2015-09-04,8.8
2015-09-07,8.8
2015-09-08,9.2
2015-09-09,9.2
2015-09-10,8.95
2015-09-11,9.0
2015-09-14,9.25
2015-09-15,8.95
2015-09-16,8.9
2015-09-18,8.8
2015-09-21,8.8
2015-09-22,8.9
2015-09-23,9.0
2015-09-24,9.1
2015-09-28,8.9
2015-09-29,9.05
2015-09-30,9.0
2015-10-01,8.9
2015-10-05,9.05
2015-10-06,9.05
2015-10-07,8.95
2015-10-08,9.0
2015-10-09,9.45
2015-10-12,9.5
2015-10-13,9.35
2015-10-14,10.4
2015-10-15,10.75
2015-10-16,10.45
2015-10-19,10.3
2015-10-20,10.75
2015-10-21,10.55
2015-10-23,10.35
2015-10-26,10.4
2015-10-27,10.25
2015-10-28,10.4
2015-10-29,10.3
2015-10-30,10.35
2015-11-02,10.0
2015-11-03,10.05
2015-11-04,10.05
2015-11-05,9.8
2015-11-06,9.6
2015-11-09,9.8
2015-11-10,9.65
2015-11-11,9.8
2015-11-13,10.0
2015-11-16,11.45
2015-11-17,10.85
2015-11-18,10.9
2015-11-19,11.0
2015-11-20,11.05
2015-11-23,12.75
2015-11-24,14.0
2015-11-26,14.55
2015-11-27,15.4
2015-11-30,14.8
2015-12-01,15.2
2015-12-02,14.45
2015-12-03,14.05
2015-12-04,13.6
2015-12-07,13.5
2015-12-08,12.95
2015-12-09,12.0
2015-12-10,12.4
2015-12-11,12.5
2015-12-14,12.5
2015-12-15,13.35
2015-12-16,13.1
2015-12-17,13.5
2015-12-18,13.9
2015-12-21,15.25
2015-12-22,14.3
2015-12-23,14.5
2015-12-24,14.45
2015-12-28,13.85
2015-12-29,13.9
2015-12-30,14.3
2015-12-31,14.35
2016-01-01,15.3
2016-01-04,15.1
2016-01-05,16.6
2016-01-06,16.55
2016-01-07,14.9
2016-01-08,15.3
2016-01-11,14.75
2016-01-12,14.2
2016-01-13,13.2
2016-01-14,13.0
2016-01-15,12.55
2016-01-18,11.5
2016-01-19,11.8
2016-01-20,11.3
2016-01-21,11.45
2016-01-22,12.4
2016-01-25,12.6
2016-01-27,12.8
2016-01-28,12.6
2016-01-29,12.75
2016-02-01,12.85
2016-02-02,12.35
2016-02-03,11.8
2016-02-04,11.85
2016-02-05,12.0
2016-02-08,12.2
2016-02-09,11.8
2016-02-10,11.7
2016-02-11,11.0
2016-02-12,10.5
2016-02-15,11.0
2016-02-16,10.85
2016-02-17,10.45
2016-02-18,10.5
