Date,SARDAEN
2013-01-01,133.5
2013-01-02,133.3
2013-01-03,141.2
2013-01-04,141.15
2013-01-07,141.6
2013-01-08,141.0
2013-01-09,139.3
2013-01-10,136.35
2013-01-11,129.5
2013-01-14,131.85
2013-01-15,132.5
2013-01-16,130.4
2013-01-17,129.3
2013-01-18,130.9
2013-01-21,129.3
2013-01-22,128.55
2013-01-23,128.85
2013-01-24,127.7
2013-01-25,126.5
2013-01-28,129.95
2013-01-29,126.35
2013-01-30,125.35
2013-01-31,125.7
2013-02-01,125.5
2013-02-04,127.4
2013-02-05,126.4
2013-02-06,127.3
2013-02-07,126.7
2013-02-08,124.9
2013-02-11,129.65
2013-02-12,125.1
2013-02-13,125.05
2013-02-14,119.65
2013-02-15,114.9
2013-02-18,118.1
2013-02-19,121.25
2013-02-20,120.1
2013-02-21,116.3
2013-02-22,118.15
2013-02-25,115.35
2013-02-26,110.95
2013-02-27,112.35
2013-02-28,101.4
2013-03-01,102.05
2013-03-04,99.2
2013-03-05,101.5
2013-03-06,108.45
2013-03-07,111.45
2013-03-08,116.3
2013-03-11,112.95
2013-03-12,118.95
2013-03-13,113.1
2013-03-14,113.05
2013-03-15,112.25
2013-03-18,109.2
2013-03-19,107.6
2013-03-20,105.3
2013-03-21,100.75
2013-03-22,97.4
2013-03-25,92.3
2013-03-26,94.3
2013-03-28,94.35
2013-04-01,98.5
2013-04-02,104.7
2013-04-03,103.95
2013-04-04,98.5
2013-04-05,99.55
2013-04-08,106.8
2013-04-09,102.2
2013-04-10,102.3
2013-04-11,101.45
2013-04-12,99.95
2013-04-15,103.5
2013-04-16,102.7
2013-04-17,101.05
2013-04-18,102.35
2013-04-22,102.7
2013-04-23,105.9
2013-04-25,112.4
2013-04-26,110.6
2013-04-29,106.2
2013-04-30,103.45
2013-05-02,105.3
2013-05-03,106.95
2013-05-06,102.95
2013-05-07,104.5
2013-05-08,104.2
2013-05-09,105.3
2013-05-10,105.95
2013-05-11,106.05
2013-05-13,103.6
2013-05-14,104.7
2013-05-15,105.55
2013-05-16,105.65
2013-05-17,107.65
2013-05-20,108.4
2013-05-21,106.0
2013-05-22,105.3
2013-05-23,103.4
2013-05-24,102.6
2013-05-27,106.65
2013-05-28,107.75
2013-05-29,107.0
2013-05-30,106.5
2013-05-31,105.85
2013-06-03,103.25
2013-06-04,102.55
2013-06-05,105.75
2013-06-06,104.55
2013-06-07,105.2
2013-06-10,105.9
2013-06-11,103.3
2013-06-12,103.4
2013-06-13,100.2
2013-06-14,103.4
2013-06-17,103.95
2013-06-18,106.45
2013-06-19,104.35
2013-06-20,102.2
2013-06-21,101.35
2013-06-24,95.65
2013-06-25,94.85
2013-06-26,93.45
2013-06-27,93.2
2013-06-28,95.35
2013-07-01,96.25
2013-07-02,96.25
2013-07-03,94.0
2013-07-04,93.4
2013-07-05,93.6
2013-07-08,92.15
2013-07-09,97.95
2013-07-10,99.4
2013-07-11,98.6
2013-07-12,97.25
2013-07-15,97.1
2013-07-16,96.3
2013-07-17,94.0
2013-07-18,94.15
2013-07-19,94.05
2013-07-22,93.35
2013-07-23,92.15
2013-07-24,94.65
2013-07-25,94.6
2013-07-26,91.9
2013-07-29,89.95
2013-07-30,83.3
2013-07-31,77.2
2013-08-01,76.05
2013-08-02,75.05
2013-08-05,75.05
2013-08-06,72.4
2013-08-07,73.6
2013-08-08,75.4
2013-08-12,86.9
2013-08-13,87.35
2013-08-14,86.05
2013-08-16,81.95
2013-08-19,77.35
2013-08-20,80.9
2013-08-21,80.75
2013-08-22,82.9
2013-08-23,82.4
2013-08-26,89.4
2013-08-27,84.35
2013-08-28,82.8
2013-08-29,82.9
2013-08-30,81.95
2013-09-02,83.7
2013-09-03,82.0
2013-09-04,84.4
2013-09-05,85.5
2013-09-06,84.25
2013-09-10,86.0
2013-09-11,90.55
2013-09-12,88.9
2013-09-13,90.15
2013-09-16,90.05
2013-09-17,88.1
2013-09-18,88.75
2013-09-19,90.1
2013-09-20,88.6
2013-09-23,92.8
2013-09-24,91.0
2013-09-25,90.9
2013-09-26,92.15
2013-09-27,91.9
2013-09-30,92.95
2013-10-01,93.0
2013-10-03,96.5
2013-10-04,94.15
2013-10-07,93.9
2013-10-08,94.8
2013-10-09,96.2
2013-10-10,97.85
2013-10-11,103.7
2013-10-14,115.65
2013-10-15,107.8
2013-10-17,113.55
2013-10-18,110.1
2013-10-21,110.7
2013-10-22,111.95
2013-10-23,110.1
2013-10-24,108.35
2013-10-25,107.5
2013-10-28,98.35
2013-10-29,99.1
2013-10-30,99.8
2013-10-31,100.25
2013-11-01,110.15
2013-11-03,109.1
2013-11-05,106.2
