Date,TIPSINDLTD
2013-01-01,84.0
2013-01-02,86.95
2013-01-03,85.95
2013-01-04,83.6
2013-01-07,83.15
2013-01-08,82.1
2013-01-09,81.8
2013-01-10,82.0
2013-01-11,82.45
2013-01-14,81.3
2013-01-15,81.05
2013-01-16,80.95
2013-01-17,82.15
2013-01-18,81.3
2013-01-21,84.7
2013-01-22,85.45
2013-01-23,85.2
2013-01-24,86.05
2013-01-25,84.85
2013-01-28,82.1
2013-01-29,80.85
2013-01-30,81.35
2013-01-31,86.3
2013-02-01,86.2
2013-02-04,87.1
2013-02-05,88.0
2013-02-06,84.45
2013-02-07,83.9
2013-02-08,82.25
2013-02-11,85.0
2013-02-12,82.9
2013-02-13,80.95
2013-02-14,77.2
2013-02-15,74.7
2013-02-18,71.4
2013-02-19,71.9
2013-02-20,71.75
2013-02-21,70.2
2013-02-22,66.9
2013-02-25,64.45
2013-02-26,65.0
2013-02-27,63.65
2013-02-28,63.05
2013-03-01,66.05
2013-03-04,67.0
2013-03-05,67.9
2013-03-06,69.7
2013-03-07,69.85
2013-03-08,69.05
2013-03-11,70.4
2013-03-12,68.05
2013-03-13,66.5
2013-03-14,65.3
2013-03-15,65.5
2013-03-18,65.9
2013-03-19,63.55
2013-03-20,61.15
2013-03-21,60.5
2013-03-22,59.3
2013-03-25,58.8
2013-03-26,58.5
2013-03-28,56.35
2013-04-01,59.85
2013-04-02,58.65
2013-04-03,59.0
2013-04-04,57.1
2013-04-05,57.5
2013-04-08,56.3
2013-04-09,57.0
2013-04-10,57.85
2013-04-11,59.45
2013-04-12,59.85
2013-04-15,60.0
2013-04-16,59.95
2013-04-17,59.0
2013-04-18,58.8
2013-04-22,58.5
2013-04-23,59.0
2013-04-25,58.7
2013-04-26,59.95
2013-04-29,59.15
2013-04-30,60.75
2013-05-02,60.7
2013-05-03,61.45
2013-05-06,60.8
2013-05-07,60.0
2013-05-08,59.7
2013-05-09,61.15
2013-05-10,60.5
2013-05-11,61.5
2013-05-13,61.1
2013-05-14,61.9
2013-05-15,61.75
2013-05-16,61.0
2013-05-17,60.6
2013-05-20,60.5
2013-05-21,59.3
2013-05-22,59.85
2013-05-23,59.9
2013-05-24,59.7
2013-05-27,61.9
2013-05-28,59.9
2013-05-29,59.0
2013-05-30,58.6
2013-05-31,58.0
2013-06-03,59.8
2013-06-04,57.75
2013-06-05,59.0
2013-06-06,59.75
2013-06-07,57.5
2013-06-10,59.0
2013-06-11,57.6
2013-06-12,56.5
2013-06-13,57.45
2013-06-14,56.55
2013-06-17,60.0
2013-06-18,57.8
2013-06-19,59.9
2013-06-21,58.75
2013-06-24,52.6
2013-06-25,52.1
2013-06-26,53.4
2013-06-27,51.45
2013-06-28,51.4
2013-07-01,53.0
2013-07-02,52.1
2013-07-03,53.7
2013-07-04,52.85
2013-07-05,52.85
2013-07-08,52.1
2013-07-09,52.1
2013-07-11,56.0
2013-07-12,50.9
2013-07-15,56.0
2013-07-16,56.0
2013-07-17,52.75
2013-07-18,56.0
2013-07-19,54.5
2013-07-22,55.0
2013-07-23,48.6
2013-07-24,51.95
2013-07-25,50.2
2013-07-29,50.0
2013-08-02,47.0
2013-08-06,46.0
2013-08-07,42.0
2013-08-12,49.85
2013-08-13,49.5
2013-08-16,48.1
2013-08-21,48.0
2013-08-23,46.25
2013-08-26,50.0
2013-08-27,48.5
2013-08-29,49.0
2013-08-30,49.0
2013-09-04,47.9
2013-09-05,51.0
2013-09-17,52.95
2013-09-18,50.35
2013-09-23,49.55
2013-09-24,50.0
2013-09-27,51.0
2013-10-04,48.45
2013-10-08,47.0
2013-10-10,46.0
2013-10-11,45.0
2013-10-14,45.8
2013-10-17,46.0
2013-10-21,47.8
2013-10-22,50.15
2013-10-23,52.65
2013-10-24,55.0
2013-11-05,54.9
2013-11-11,53.0
2013-11-19,50.5
2013-11-20,48.0
2013-11-21,47.0
2013-11-25,47.0
2013-11-27,47.0
2013-11-28,45.0
2013-11-29,43.05
2013-12-02,44.0
2013-12-03,44.1
2013-12-04,44.0
2013-12-05,44.0
2013-12-10,43.85
2013-12-16,41.7
2013-12-17,39.65
2013-12-18,39.65
2013-12-19,38.0
2014-01-06,39.9
2014-01-07,41.85
2014-01-08,43.0
2014-01-13,42.75
2014-01-14,42.3
2014-01-15,43.8
2014-01-16,43.7
2014-01-17,43.3
2014-01-20,41.85
2014-01-21,43.45
2014-01-22,42.4
2014-01-23,42.0
2014-01-24,42.6
2014-01-27,44.4
2014-01-28,42.9
2014-01-29,42.45
2014-01-30,41.15
2014-01-31,41.5
2014-02-03,40.1
2014-02-04,40.0
2014-02-05,40.15
2014-02-06,41.35
2014-02-10,39.4
2014-02-11,39.0
2014-02-12,40.4
