Date,M&M
2013-01-01,941.8
2013-01-02,938.6
2013-01-03,936.4
2013-01-04,941.25
2013-01-07,954.15
2013-01-08,958.3
2013-01-09,964.45
2013-01-10,961.3
2013-01-11,937.9
2013-01-14,935.0
2013-01-15,929.3
2013-01-16,900.7
2013-01-17,900.95
2013-01-18,886.0
2013-01-21,882.1
2013-01-22,883.65
2013-01-23,881.95
2013-01-24,877.3
2013-01-25,901.5
2013-01-28,904.9
2013-01-29,898.6
2013-01-30,894.5
2013-01-31,889.25
2013-02-01,886.1
2013-02-04,883.9
2013-02-05,887.1
2013-02-06,885.15
2013-02-07,896.6
2013-02-08,884.6
2013-02-11,882.5
2013-02-12,884.5
2013-02-13,897.0
2013-02-14,900.8
2013-02-15,897.95
2013-02-18,892.35
2013-02-19,899.2
2013-02-20,898.5
2013-02-21,885.7
2013-02-22,895.25
2013-02-25,894.8
2013-02-26,865.75
2013-02-27,892.8
2013-02-28,873.7
2013-03-01,887.1
2013-03-04,885.5
2013-03-05,897.55
2013-03-06,878.0
2013-03-07,885.6
2013-03-08,904.2
2013-03-11,912.85
2013-03-12,916.85
2013-03-13,910.55
2013-03-14,914.3
2013-03-15,927.75
2013-03-18,913.55
2013-03-19,878.35
2013-03-20,873.4
2013-03-21,880.65
2013-03-22,873.35
2013-03-25,864.45
2013-03-26,863.25
2013-03-28,861.3
2013-04-01,857.1
2013-04-02,862.0
2013-04-03,843.9
2013-04-04,848.35
2013-04-05,837.9
2013-04-08,839.95
2013-04-09,839.3
2013-04-10,837.0
2013-04-11,832.1
2013-04-12,823.35
2013-04-15,812.95
2013-04-16,844.85
2013-04-17,880.9
2013-04-18,903.9
2013-04-22,892.25
2013-04-23,885.35
2013-04-25,909.1
2013-04-26,889.75
2013-04-29,902.2
2013-04-30,924.1
2013-05-02,953.6
2013-05-03,961.0
2013-05-06,966.45
2013-05-07,959.1
2013-05-08,946.4
2013-05-09,947.9
2013-05-10,970.2
2013-05-11,967.6
2013-05-13,956.35
2013-05-14,950.8
2013-05-15,983.75
2013-05-16,985.4
2013-05-17,987.3
2013-05-20,1002.0
2013-05-21,987.75
2013-05-22,990.1
2013-05-23,959.15
2013-05-24,968.1
2013-05-27,951.9
2013-05-28,972.85
2013-05-29,961.05
2013-05-30,1004.65
2013-05-31,967.55
2013-06-03,973.8
2013-06-04,987.2
2013-06-05,986.55
2013-06-06,991.2
2013-06-07,966.35
2013-06-10,976.35
2013-06-11,946.9
2013-06-12,947.3
2013-06-13,923.85
2013-06-14,949.0
2013-06-17,989.35
2013-06-18,983.75
2013-06-19,979.9
2013-06-20,942.9
2013-06-21,939.65
2013-06-24,926.95
2013-06-25,956.8
2013-06-26,911.15
2013-06-27,933.65
2013-06-28,970.6
2013-07-01,986.75
2013-07-02,978.9
2013-07-03,980.05
2013-07-04,982.05
2013-07-05,971.65
2013-07-08,947.7
2013-07-09,938.1
2013-07-10,912.55
2013-07-11,917.8
2013-07-12,907.25
2013-07-15,928.2
2013-07-16,913.5
2013-07-17,893.15
2013-07-18,874.75
2013-07-19,879.25
2013-07-22,902.7
2013-07-23,921.3
2013-07-24,893.75
2013-07-25,879.95
2013-07-26,894.85
2013-07-29,897.75
2013-07-30,896.85
2013-07-31,911.4
2013-08-01,871.5
2013-08-02,854.75
2013-08-05,864.6
2013-08-06,854.15
2013-08-07,842.6
2013-08-08,863.7
2013-08-12,861.25
2013-08-13,873.75
2013-08-14,873.45
2013-08-16,840.1
2013-08-19,810.25
2013-08-20,791.5
2013-08-21,783.95
2013-08-22,793.2
2013-08-23,813.8
2013-08-26,807.9
2013-08-27,789.4
2013-08-28,775.9
2013-08-29,794.25
2013-08-30,783.25
2013-09-02,766.05
2013-09-03,768.05
2013-09-04,780.35
2013-09-05,777.05
2013-09-06,769.45
2013-09-10,812.95
2013-09-11,827.35
2013-09-12,812.85
2013-09-13,830.3
2013-09-16,837.0
2013-09-17,844.4
2013-09-18,841.8
2013-09-19,867.55
2013-09-20,874.2
2013-09-23,860.9
2013-09-24,871.5
2013-09-25,850.1
2013-09-26,852.1
2013-09-27,844.0
2013-09-30,827.45
2013-10-01,831.8
2013-10-03,851.8
2013-10-04,858.8
2013-10-07,865.0
2013-10-08,863.15
2013-10-09,851.0
2013-10-10,867.2
2013-10-11,872.5
2013-10-14,865.25
2013-10-15,867.6
2013-10-17,865.25
2013-10-18,882.7
2013-10-21,887.7
2013-10-22,875.7
2013-10-23,865.85
2013-10-24,889.35
2013-10-25,867.75
2013-10-28,868.9
2013-10-29,900.7
2013-10-30,895.85
2013-10-31,887.85
2013-11-01,925.3
2013-11-03,919.05
2013-11-05,906.65
2013-11-06,899.4
2013-11-07,898.0
2013-11-08,878.6
2013-11-11,869.95
2013-11-12,879.9
2013-11-13,895.35
2013-11-14,925.15
2013-11-18,944.8
2013-11-19,947.5
2013-11-20,941.95
2013-11-21,934.45
2013-11-22,936.55
2013-11-25,943.15
2013-11-26,945.2
2013-11-27,941.5
2013-11-28,958.85
2013-11-29,945.25
2013-12-02,960.2
2013-12-03,949.25
2013-12-04,943.8
2013-12-05,944.35
2013-12-06,945.3
2013-12-09,967.0
2013-12-10,953.0
2013-12-11,949.9
2013-12-12,941.8
2013-12-13,950.55
2013-12-16,926.6
2013-12-17,931.75
2013-12-18,948.15
2013-12-19,938.9
2013-12-20,969.8
2013-12-23,965.45
2013-12-24,963.5
2013-12-26,960.85
2013-12-27,967.15
2013-12-30,948.4
2013-12-31,944.2
2014-01-01,948.0
2014-01-02,936.1
2014-01-03,900.25
2014-01-06,895.4
2014-01-07,903.1
2014-01-08,908.6
2014-01-09,894.35
2014-01-10,874.55
2014-01-13,888.25
2014-01-14,891.05
2014-01-15,904.9
2014-01-16,892.65
2014-01-17,899.55
2014-01-20,906.75
2014-01-21,903.6
2014-01-22,916.45
2014-01-23,890.1
2014-01-24,884.8
2014-01-27,866.85
2014-01-28,875.1
2014-01-29,861.95
2014-01-30,867.9
2014-01-31,890.2
2014-02-03,884.85
2014-02-04,853.75
2014-02-05,878.35
2014-02-06,896.95
2014-02-07,895.55
2014-02-10,894.2
2014-02-11,897.05
2014-02-12,895.5
2014-02-13,906.65
2014-02-14,904.4
2014-02-17,928.1
2014-02-18,935.15
2014-02-19,943.2
2014-02-20,929.95
2014-02-21,930.0
2014-02-24,944.1
2014-02-25,943.9
2014-02-26,964.7
2014-02-28,974.5
2014-03-03,952.25
2014-03-04,955.8
2014-03-05,948.55
2014-03-06,955.35
2014-03-07,983.55
2014-03-10,1015.85
2014-03-11,994.5
2014-03-12,991.25
2014-03-13,1016.05
2014-03-14,1027.0
2014-03-18,1009.6
2014-03-19,980.45
2014-03-20,978.3
2014-03-21,970.45
2014-03-22,973.9
2014-03-24,987.8
2014-03-25,973.4
2014-03-26,958.95
2014-03-27,964.85
2014-03-28,968.25
2014-03-31,980.7
2014-04-01,1000.15
2014-04-02,1002.0
2014-04-03,1007.2
2014-04-04,999.0
2014-04-07,1014.1
2014-04-09,1023.15
2014-04-10,1021.15
2014-04-11,1005.5
2014-04-15,984.7
2014-04-16,976.55
2014-04-17,996.95
2014-04-21,1033.15
2014-04-22,1026.4
2014-04-23,1039.15
2014-04-25,1070.7
2014-04-28,1067.0
2014-04-29,1068.0
2014-04-30,1074.2
2014-05-02,1057.85
2014-05-05,1059.6
2014-05-06,1065.5
2014-05-07,1061.95
2014-05-08,1064.15
2014-05-09,1102.55
2014-05-12,1129.75
2014-05-13,1122.9
2014-05-14,1085.45
2014-05-15,1104.55
2014-05-16,1114.7
2014-05-19,1099.6
2014-05-20,1136.45
2014-05-21,1150.3
2014-05-22,1137.6
2014-05-23,1159.3
2014-05-26,1229.15
2014-05-27,1198.0
2014-05-28,1161.6
2014-05-29,1176.95
2014-05-30,1235.5
2014-06-02,1239.25
2014-06-03,1230.75
2014-06-04,1219.85
2014-06-05,1202.7
2014-06-06,1232.8
2014-06-09,1224.0
2014-06-10,1233.15
2014-06-11,1227.1
2014-06-12,1229.0
2014-06-13,1228.85
2014-06-16,1198.0
2014-06-17,1180.95
2014-06-18,1160.3
2014-06-19,1176.1
2014-06-20,1143.95
2014-06-23,1161.2
2014-06-24,1167.05
2014-06-25,1179.45
2014-06-26,1175.9
2014-06-27,1153.5
2014-06-30,1147.2
2014-07-01,1194.3
2014-07-02,1219.75
2014-07-03,1235.55
2014-07-04,1230.05
2014-07-07,1239.55
2014-07-08,1214.5
2014-07-09,1178.55
2014-07-10,1165.55
2014-07-11,1164.35
2014-07-14,1166.95
2014-07-15,1200.3
2014-07-16,1222.05
2014-07-17,1183.45
2014-07-18,1183.65
2014-07-21,1188.65
2014-07-22,1179.5
2014-07-23,1194.75
2014-07-24,1202.2
2014-07-25,1210.6
2014-07-28,1205.85
2014-07-30,1221.7
2014-07-31,1201.65
2014-08-01,1174.15
2014-08-04,1185.5
2014-08-05,1230.1
2014-08-06,1241.15
2014-08-07,1249.4
2014-08-08,1229.35
2014-08-11,1308.6
2014-08-12,1310.1
2014-08-13,1316.25
2014-08-14,1321.85
2014-08-18,1326.05
2014-08-19,1374.1
2014-08-20,1357.3
2014-08-21,1376.3
2014-08-22,1391.85
2014-08-25,1410.7
2014-08-26,1399.6
2014-08-27,1395.9
2014-08-28,1407.2
2014-09-01,1403.35
2014-09-02,1395.6
2014-09-03,1411.55
2014-09-04,1410.75
2014-09-05,1408.2
2014-09-08,1394.95
2014-09-09,1404.0
2014-09-10,1384.9
2014-09-11,1374.1
2014-09-12,1389.25
2014-09-15,1369.95
2014-09-16,1372.35
2014-09-17,1380.1
2014-09-18,1391.5
2014-09-19,1373.55
2014-09-22,1372.35
2014-09-23,1347.6
2014-09-24,1357.25
2014-09-25,1353.0
2014-09-26,1393.45
2014-09-29,1383.25
2014-09-30,1360.8
2014-10-01,1389.65
2014-10-07,1356.4
2014-10-08,1371.7
2014-10-09,1367.15
2014-10-10,1317.4
2014-10-13,1268.95
2014-10-14,1274.05
2014-10-16,1219.1
2014-10-17,1253.75
2014-10-20,1260.7
2014-10-21,1229.05
2014-10-22,1260.65
2014-10-23,1263.7
2014-10-27,1256.8
2014-10-28,1277.3
2014-10-29,1298.35
2014-10-30,1287.75
2014-10-31,1306.2
2014-11-03,1267.55
2014-11-05,1256.1
2014-11-07,1239.1
2014-11-10,1230.9
2014-11-11,1260.55
2014-11-12,1253.6
2014-11-13,1255.2
2014-11-14,1255.85
2014-11-17,1250.3
2014-11-18,1264.85
2014-11-19,1245.0
2014-11-20,1227.9
2014-11-21,1246.7
2014-11-24,1250.65
2014-11-25,1257.65
2014-11-26,1273.75
2014-11-27,1293.05
2014-11-28,1323.75
2014-12-01,1295.1
2014-12-02,1264.55
2014-12-03,1286.75
2014-12-04,1265.1
2014-12-05,1294.05
2014-12-08,1248.75
2014-12-09,1265.65
2014-12-10,1266.5
2014-12-11,1266.1
2014-12-12,1251.4
2014-12-15,1252.3
2014-12-16,1227.5
2014-12-17,1219.15
2014-12-18,1212.25
2014-12-19,1222.25
2014-12-22,1265.4
2014-12-23,1268.45
2014-12-24,1251.95
2014-12-26,1255.3
2014-12-29,1251.6
2014-12-30,1257.75
2014-12-31,1234.45
2015-01-01,1237.05
2015-01-02,1224.65
2015-01-05,1218.45
2015-01-06,1211.65
2015-01-07,1224.15
2015-01-08,1237.6
2015-01-09,1238.2
2015-01-12,1233.0
2015-01-13,1248.8
2015-01-14,1236.95
2015-01-15,1278.1
2015-01-16,1304.6
2015-01-19,1332.2
2015-01-20,1325.25
2015-01-21,1325.05
2015-01-22,1329.95
2015-01-23,1361.9
2015-01-27,1324.45
2015-01-28,1316.3
2015-01-29,1296.8
2015-01-30,1265.1
2015-02-02,1241.2
2015-02-03,1199.2
2015-02-04,1210.95
2015-02-05,1179.7
2015-02-06,1149.75
2015-02-09,1113.4
2015-02-10,1140.2
2015-02-11,1133.4
2015-02-12,1134.45
2015-02-13,1192.55
2015-02-16,1210.45
2015-02-18,1228.2
2015-02-19,1249.9
2015-02-20,1252.0
2015-02-23,1261.25
2015-02-24,1258.7
2015-02-25,1267.1
2015-02-26,1249.6
2015-02-27,1280.5
2015-02-28,1291.95
2015-03-02,1278.15
2015-03-03,1231.65
2015-03-04,1211.1
2015-03-05,1228.65
2015-03-09,1206.8
2015-03-10,1228.25
2015-03-11,1260.3
2015-03-12,1241.15
2015-03-13,1227.75
2015-03-16,1219.75
2015-03-17,1232.25
2015-03-18,1215.5
2015-03-19,1207.4
2015-03-20,1165.3
2015-03-23,1185.5
2015-03-24,1192.05
2015-03-25,1210.35
2015-03-26,1201.1
2015-03-27,1188.5
2015-03-30,1200.3
2015-03-31,1187.8
2015-04-01,1202.1
2015-04-06,1242.65
2015-04-07,1268.85
2015-04-08,1274.2
2015-04-09,1274.55
2015-04-10,1286.75
2015-04-13,1247.8
2015-04-15,1208.9
2015-04-16,1228.5
2015-04-17,1224.5
2015-04-20,1187.7
2015-04-21,1190.45
2015-04-22,1212.95
2015-04-23,1198.85
2015-04-24,1172.1
2015-04-27,1165.95
2015-04-28,1182.2
2015-04-29,1172.65
2015-04-30,1145.0
2015-05-04,1202.5
2015-05-05,1179.25
2015-05-06,1163.15
2015-05-07,1170.75
2015-05-08,1180.35
2015-05-11,1194.25
2015-05-12,1177.1
2015-05-13,1206.9
2015-05-14,1227.15
2015-05-15,1249.05
2015-05-18,1263.65
2015-05-19,1253.85
2015-05-20,1250.75
2015-05-21,1248.95
2015-05-22,1255.65
2015-05-25,1259.9
2015-05-26,1263.05
2015-05-27,1222.8
2015-05-28,1198.15
2015-05-29,1258.1
2015-06-01,1258.1
2015-06-02,1224.6
2015-06-03,1204.85
2015-06-04,1195.6
2015-06-05,1205.85
2015-06-08,1206.4
2015-06-09,1205.2
2015-06-10,1220.5
2015-06-11,1187.6
2015-06-12,1192.95
2015-06-15,1220.3
2015-06-16,1232.95
2015-06-17,1253.55
2015-06-18,1253.95
2015-06-19,1305.55
2015-06-22,1312.0
