Date,PENINLAND
2013-01-01,72.55
2013-01-02,72.9
2013-01-03,73.95
2013-01-04,73.4
2013-01-07,77.4
2013-01-08,77.05
2013-01-09,76.35
2013-01-10,74.55
2013-01-11,72.6
2013-01-14,74.25
2013-01-15,74.9
2013-01-16,72.8
2013-01-17,72.55
2013-01-18,76.35
2013-01-21,76.65
2013-01-22,73.4
2013-01-23,71.05
2013-01-24,67.25
2013-01-25,69.5
2013-01-28,69.6
2013-01-29,68.7
2013-01-30,69.1
2013-01-31,67.0
2013-02-01,66.15
2013-02-04,65.05
2013-02-05,62.75
2013-02-06,62.6
2013-02-07,60.55
2013-02-08,58.45
2013-02-11,58.1
2013-02-12,56.8
2013-02-13,59.3
2013-02-14,58.45
2013-02-15,57.15
2013-02-18,57.75
2013-02-19,61.65
2013-02-20,61.75
2013-02-21,58.95
2013-02-22,58.4
2013-02-25,54.65
2013-02-26,51.05
2013-02-27,52.95
2013-02-28,51.15
2013-03-01,51.85
2013-03-04,48.9
2013-03-05,49.7
2013-03-06,51.7
2013-03-07,50.75
2013-03-08,50.9
2013-03-11,52.25
2013-03-12,49.85
2013-03-13,48.4
2013-03-14,49.1
2013-03-15,48.6
2013-03-18,47.45
2013-03-19,44.75
2013-03-20,42.1
2013-03-21,40.3
2013-03-22,39.6
2013-03-25,37.65
2013-03-26,36.55
2013-03-28,36.65
2013-04-01,38.95
2013-04-02,42.7
2013-04-03,45.35
2013-04-04,43.15
2013-04-05,44.05
2013-04-08,44.95
2013-04-09,43.85
2013-04-10,43.4
2013-04-11,43.75
2013-04-12,44.05
2013-04-15,44.85
2013-04-16,45.7
2013-04-17,45.05
2013-04-18,45.65
2013-04-22,48.65
2013-04-23,49.95
2013-04-25,50.6
2013-04-26,48.25
2013-04-29,48.25
2013-04-30,47.6
2013-05-02,48.35
2013-05-03,47.95
2013-05-06,47.45
2013-05-07,51.65
2013-05-08,51.5
2013-05-09,49.7
2013-05-10,51.65
2013-05-11,51.45
2013-05-13,51.6
2013-05-14,52.4
2013-05-15,55.1
2013-05-16,56.5
2013-05-17,55.6
2013-05-20,55.4
2013-05-21,53.15
2013-05-22,50.45
2013-05-23,47.0
2013-05-24,49.3
2013-05-27,52.4
2013-05-28,48.85
2013-05-29,49.35
2013-05-30,46.7
2013-05-31,43.2
2013-06-03,43.8
2013-06-04,43.5
2013-06-05,43.55
2013-06-06,43.85
2013-06-07,43.3
2013-06-10,42.65
2013-06-11,40.4
2013-06-12,38.55
2013-06-13,38.9
2013-06-14,40.5
2013-06-17,40.1
2013-06-18,40.05
2013-06-19,39.9
2013-06-20,38.05
2013-06-21,37.6
2013-06-24,36.6
2013-06-25,36.65
2013-06-26,37.95
2013-06-27,36.75
2013-06-28,38.1
2013-07-01,42.25
2013-07-02,42.45
2013-07-03,41.3
2013-07-04,40.7
2013-07-05,39.7
2013-07-08,39.55
2013-07-09,40.55
2013-07-10,39.2
2013-07-11,39.2
2013-07-12,39.85
2013-07-15,40.5
2013-07-16,39.2
2013-07-17,38.05
2013-07-18,38.95
2013-07-19,38.95
2013-07-22,38.45
2013-07-23,38.8
2013-07-24,38.3
2013-07-25,38.05
2013-07-26,37.6
2013-07-29,37.5
2013-07-30,35.05
2013-07-31,33.3
2013-08-01,33.35
2013-08-02,33.3
2013-08-05,32.75
