Date,PROZONINTU
2013-01-01,41.55
2013-01-02,40.2
2013-01-03,38.95
2013-01-04,38.45
2013-01-07,37.85
2013-01-08,37.45
2013-01-09,39.0
2013-01-10,39.0
2013-01-11,37.75
2013-01-14,38.2
2013-01-15,39.05
2013-01-16,37.9
2013-01-17,37.25
2013-01-18,35.9
2013-01-21,35.1
2013-01-22,35.4
2013-01-23,33.55
2013-01-24,31.4
2013-01-25,31.95
2013-01-28,33.05
2013-01-29,33.95
2013-01-30,33.5
2013-01-31,36.2
2013-02-01,35.5
2013-02-04,36.9
2013-02-05,35.1
2013-02-06,35.1
2013-02-07,33.75
2013-02-08,32.4
2013-02-11,31.0
2013-02-12,29.65
2013-02-13,30.55
2013-02-14,29.15
2013-02-15,28.65
2013-02-18,28.85
2013-02-19,28.9
2013-02-20,28.85
2013-02-21,27.85
2013-02-22,27.9
2013-02-25,26.25
2013-02-26,25.35
2013-02-27,24.95
2013-02-28,22.15
2013-03-01,24.15
2013-03-04,24.9
2013-03-05,24.35
2013-03-06,25.25
2013-03-07,25.6
2013-03-08,25.5
2013-03-11,25.0
2013-03-12,23.95
2013-03-13,25.0
2013-03-14,25.0
2013-03-15,25.2
2013-03-18,24.05
2013-03-19,24.2
2013-03-20,24.0
2013-03-21,24.15
2013-03-22,24.0
2013-03-25,22.4
2013-03-26,23.55
2013-03-28,23.55
2013-04-01,26.05
2013-04-02,26.9
2013-04-03,26.85
2013-04-04,26.1
2013-04-05,26.7
2013-04-08,26.8
2013-04-09,27.0
2013-04-10,26.45
2013-04-11,26.5
2013-04-12,26.15
2013-04-15,25.55
2013-04-16,25.15
2013-04-17,24.5
2013-04-18,24.65
2013-04-22,24.9
2013-04-23,25.05
2013-04-25,24.95
2013-04-26,25.45
2013-04-29,25.2
2013-04-30,24.6
2013-05-02,25.25
2013-05-03,25.0
2013-05-06,24.45
2013-05-07,24.7
2013-05-08,25.3
2013-05-09,25.4
2013-05-10,25.65
2013-05-11,24.65
2013-05-13,23.65
2013-05-14,23.0
2013-05-15,22.8
2013-05-16,22.55
2013-05-17,24.0
2013-05-20,28.8
2013-05-21,27.55
2013-05-22,26.0
2013-05-23,25.15
2013-05-24,24.4
2013-05-27,24.05
2013-05-28,24.15
2013-05-29,24.0
2013-05-30,24.0
2013-05-31,23.45
2013-06-03,24.05
2013-06-04,23.6
2013-06-05,23.6
2013-06-06,23.95
2013-06-07,24.0
2013-06-10,24.2
2013-06-11,23.9
2013-06-12,25.45
2013-06-13,23.65
2013-06-14,24.0
2013-06-17,24.0
2013-06-18,24.05
2013-06-19,24.55
2013-06-20,24.5
2013-06-21,24.7
2013-06-24,24.2
2013-06-25,24.5
2013-06-26,24.2
2013-06-27,24.0
2013-06-28,27.95
2013-07-01,27.2
2013-07-02,25.6
2013-07-03,25.55
2013-07-04,25.5
2013-07-05,25.4
2013-07-08,26.3
2013-07-09,25.8
2013-07-10,25.0
2013-07-11,24.4
2013-07-12,24.1
2013-07-15,23.65
2013-07-16,24.0
2013-07-17,24.0
2013-07-18,24.0
2013-07-19,24.6
2013-07-22,25.45
2013-07-23,24.8
2013-07-24,23.95
2013-07-25,23.95
2013-07-26,24.05
2013-07-29,24.0
2013-07-30,23.3
2013-07-31,23.45
2013-08-01,23.9
2013-08-02,24.0
2013-08-05,23.8
2013-08-06,23.8
2013-08-07,23.9
2013-08-08,23.95
2013-08-12,24.0
2013-08-13,23.75
2013-08-14,23.65
2013-08-16,22.7
2013-08-19,22.6
2013-08-20,21.8
2013-08-21,20.8
2013-08-22,21.0
2013-08-23,22.2
2013-08-26,21.6
2013-08-27,21.35
2013-08-28,20.4
2013-08-29,20.75
2013-08-30,20.65
2013-09-02,20.5
2013-09-03,20.05
