Date,RIIL
2013-01-01,451.75
2013-01-02,460.65
2013-01-03,500.95
2013-01-04,496.7
2013-01-07,487.0
2013-01-08,485.95
2013-01-09,481.0
2013-01-10,478.45
2013-01-11,461.8
2013-01-14,469.4
2013-01-15,476.05
2013-01-16,467.1
2013-01-17,472.7
2013-01-18,468.1
2013-01-21,474.25
2013-01-22,463.3
2013-01-23,458.25
2013-01-24,438.7
2013-01-25,445.25
2013-01-28,449.7
2013-01-29,442.25
2013-01-30,441.15
2013-01-31,438.8
2013-02-01,444.3
2013-02-04,435.7
2013-02-05,424.8
2013-02-06,425.5
2013-02-07,414.25
2013-02-08,407.15
2013-02-11,409.7
2013-02-12,410.6
2013-02-13,407.55
2013-02-14,393.65
2013-02-15,388.15
2013-02-18,395.9
2013-02-19,403.45
2013-02-20,411.9
2013-02-21,397.8
2013-02-22,398.25
2013-02-25,388.6
2013-02-26,378.7
2013-02-27,380.6
2013-02-28,369.0
2013-03-01,367.5
2013-03-04,343.9
2013-03-05,356.15
2013-03-06,360.55
2013-03-07,363.05
2013-03-08,369.3
2013-03-11,370.65
2013-03-12,365.65
2013-03-13,359.0
2013-03-14,365.75
2013-03-15,369.2
2013-03-18,360.45
2013-03-19,345.5
2013-03-20,334.1
2013-03-21,321.95
2013-03-22,317.95
2013-03-25,312.05
2013-03-26,306.75
2013-03-28,311.25
2013-04-01,325.25
2013-04-02,390.3
2013-04-03,393.4
2013-04-04,370.05
2013-04-05,382.3
2013-04-08,383.2
2013-04-09,369.75
2013-04-10,379.45
2013-04-11,378.55
2013-04-12,368.75
2013-04-15,373.7
2013-04-16,381.85
2013-04-17,375.4
2013-04-18,384.9
2013-04-22,404.55
2013-04-23,401.5
2013-04-25,400.9
2013-04-26,388.6
2013-04-29,392.1
2013-04-30,386.6
2013-05-02,391.35
2013-05-03,389.5
2013-05-06,396.15
2013-05-07,398.3
2013-05-08,396.7
2013-05-09,395.85
2013-05-10,398.05
2013-05-11,401.95
2013-05-13,388.65
2013-05-14,385.0
2013-05-15,396.15
2013-05-16,403.4
2013-05-17,402.85
2013-05-20,409.8
2013-05-21,405.05
2013-05-22,397.6
2013-05-23,379.9
2013-05-24,380.2
2013-05-27,388.8
2013-05-28,389.95
2013-05-29,385.55
2013-05-30,378.4
2013-05-31,365.1
2013-06-03,360.4
2013-06-04,362.1
2013-06-05,366.55
2013-06-06,373.6
2013-06-07,377.1
2013-06-10,370.75
2013-06-11,356.35
2013-06-12,352.75
2013-06-13,344.1
2013-06-14,352.1
2013-06-17,353.85
2013-06-18,359.2
2013-06-19,361.3
2013-06-20,344.7
2013-06-21,329.45
2013-06-24,321.75
2013-06-25,325.5
2013-06-26,321.9
2013-06-27,327.1
2013-06-28,337.55
2013-07-01,357.55
2013-07-02,352.35
2013-07-03,337.3
2013-07-04,349.45
2013-07-05,350.85
2013-07-08,350.7
2013-07-09,355.15
2013-07-10,352.1
2013-07-11,359.7
2013-07-12,361.3
2013-07-15,364.55
2013-07-16,355.0
2013-07-17,352.45
2013-07-18,353.3
2013-07-19,351.75
2013-07-22,349.3
2013-07-23,351.7
2013-07-24,342.1
2013-07-25,335.2
2013-07-26,328.8
2013-07-29,330.7
2013-07-30,317.4
2013-07-31,312.85
2013-08-01,299.2
2013-08-02,286.3
2013-08-05,291.25
2013-08-06,281.9
2013-08-07,287.55
2013-08-08,296.5
2013-08-12,299.85
2013-08-13,311.35
2013-08-14,311.75
2013-08-16,291.8
2013-08-19,287.3
2013-08-20,287.8
2013-08-21,287.4
2013-08-22,291.75
2013-08-23,296.2
2013-08-26,296.2
2013-08-27,286.1
2013-08-28,289.75
2013-08-29,288.95
2013-08-30,289.7
2013-09-02,294.8
2013-09-03,283.25
2013-09-04,286.4
2013-09-05,294.8
2013-09-06,299.05
2013-09-10,305.15
2013-09-11,311.7
2013-09-12,310.7
2013-09-13,317.2
2013-09-16,310.55
2013-09-17,306.1
2013-09-18,307.0
2013-09-19,322.55
2013-09-20,307.5
2013-09-23,309.2
2013-09-24,308.1
2013-09-25,306.05
2013-09-26,303.2
2013-09-27,294.05
2013-09-30,287.6
2013-10-01,292.2
2013-10-03,305.8
2013-10-04,303.35
2013-10-07,301.7
2013-10-08,305.1
2013-10-09,311.05
2013-10-10,317.3
2013-10-11,317.3
2013-10-14,317.0
2013-10-15,310.3
2013-10-17,307.75
2013-10-18,316.7
2013-10-21,335.9
2013-10-22,339.85
2013-10-23,331.9
2013-10-24,332.1
2013-10-25,329.65
2013-10-28,327.3
2013-10-29,338.85
2013-10-30,353.1
2013-10-31,351.15
2013-11-01,359.45
2013-11-03,356.4
2013-11-05,364.65
2013-11-06,360.45
2013-11-07,344.75
2013-11-08,343.2
2013-11-11,343.95
2013-11-12,345.15
2013-11-13,340.9
2013-11-14,344.95
2013-11-18,349.8
2013-11-19,352.55
2013-11-20,365.0
2013-11-21,350.65
2013-11-22,344.85
2013-11-25,353.15
2013-11-26,348.2
2013-11-27,345.05
2013-11-28,351.65
2013-11-29,360.5
2013-12-02,380.05
2013-12-03,374.6
2013-12-04,365.55
2013-12-05,370.7
2013-12-06,367.1
2013-12-09,373.8
2013-12-10,364.55
2013-12-11,357.9
2013-12-12,353.5
2013-12-13,342.2
2013-12-16,340.8
2013-12-17,342.75
2013-12-18,348.6
2013-12-19,350.6
2013-12-20,362.45
2013-12-23,375.8
2013-12-24,385.75
2013-12-26,380.45
2013-12-27,377.05
2013-12-30,371.85
2013-12-31,375.6
2014-01-01,387.05
2014-01-02,368.25
2014-01-03,368.75
2014-01-06,373.55
2014-01-07,369.45
2014-01-08,375.05
2014-01-09,366.9
2014-01-10,363.5
2014-01-13,367.65
2014-01-14,359.95
2014-01-15,362.4
2014-01-16,357.1
2014-01-17,350.55
2014-01-20,352.45
2014-01-21,353.6
2014-01-22,353.95
2014-01-23,352.05
2014-01-24,341.25
2014-01-27,322.75
2014-01-28,325.7
2014-01-29,322.35
2014-01-30,325.2
2014-01-31,328.9
2014-02-03,318.3
2014-02-04,320.25
2014-02-05,324.6
2014-02-06,323.05
2014-02-07,324.0
2014-02-10,323.05
2014-02-11,318.45
2014-02-12,318.8
2014-02-13,311.3
2014-02-14,313.85
2014-02-17,311.7
2014-02-18,317.05
2014-02-19,321.55
2014-02-20,317.2
2014-02-21,316.35
2014-02-24,315.55
2014-02-25,320.5
2014-02-26,316.65
2014-02-28,315.95
2014-03-03,314.55
2014-03-04,318.25
2014-03-05,318.65
2014-03-06,382.35
2014-03-07,376.2
2014-03-10,384.1
2014-03-11,381.7
2014-03-12,380.45
2014-03-13,367.05
2014-03-14,359.85
2014-03-18,364.0
2014-03-19,362.0
2014-03-20,356.6
2014-03-21,360.3
2014-03-22,361.4
2014-03-24,365.1
2014-03-25,361.15
2014-03-26,365.0
2014-03-27,367.15
2014-03-28,383.2
2014-03-31,385.55
2014-04-01,405.95
2014-04-02,421.3
2014-04-03,406.05
2014-04-04,409.35
2014-04-07,411.7
2014-04-09,418.55
2014-04-10,434.35
2014-04-11,438.95
2014-04-15,427.95
2014-04-16,420.3
2014-04-17,426.65
2014-04-21,432.7
2014-04-22,435.5
2014-04-23,430.35
2014-04-25,419.55
2014-04-28,417.05
2014-04-29,419.9
2014-04-30,401.3
2014-05-02,400.4
2014-05-05,394.3
2014-05-06,396.6
2014-05-07,396.7
2014-05-08,393.2
2014-05-09,407.6
2014-05-12,415.05
2014-05-13,432.95
2014-05-14,456.5
2014-05-15,439.15
2014-05-16,452.8
2014-05-19,543.35
2014-05-20,549.5
2014-05-21,576.25
2014-05-22,580.8
2014-05-23,588.05
2014-05-26,564.7
2014-05-27,571.5
2014-05-28,570.7
2014-05-29,558.05
2014-05-30,574.0
2014-06-02,614.1
2014-06-03,608.2
2014-06-04,616.1
2014-06-05,635.5
2014-06-06,641.65
2014-06-09,645.8
2014-06-10,632.65
2014-06-11,628.15
2014-06-12,620.25
2014-06-13,589.3
2014-06-16,590.45
2014-06-17,612.9
2014-06-18,598.45
2014-06-19,593.1
2014-06-20,603.6
2014-06-23,599.85
2014-06-24,609.45
2014-06-25,609.5
2014-06-26,601.2
2014-06-27,603.35
2014-06-30,614.15
2014-07-01,610.35
2014-07-02,620.35
2014-07-03,617.6
2014-07-04,622.1
2014-07-07,627.85
2014-07-08,580.8
2014-07-09,580.3
2014-07-10,580.35
2014-07-11,556.85
2014-07-14,554.5
2014-07-15,566.1
2014-07-16,580.55
2014-07-17,581.25
2014-07-18,568.95
2014-07-21,576.4
2014-07-22,584.7
2014-07-23,573.05
2014-07-24,576.25
2014-07-25,558.9
2014-07-28,549.6
2014-07-30,550.6
2014-07-31,546.75
2014-08-01,539.8
2014-08-04,542.45
2014-08-05,556.25
2014-08-06,549.9
2014-08-07,546.85
2014-08-08,524.95
2014-08-11,529.0
2014-08-12,532.0
2014-08-13,506.75
2014-08-14,512.95
2014-08-18,524.75
2014-08-19,535.1
2014-08-20,532.2
2014-08-21,526.95
2014-08-22,520.2
2014-08-25,509.4
2014-08-26,504.9
2014-08-27,508.9
2014-08-28,500.65
2014-09-01,523.55
2014-09-02,532.0
2014-09-03,529.5
2014-09-04,512.5
2014-09-05,510.9
2014-09-08,528.45
2014-09-09,524.0
2014-09-10,591.35
2014-09-11,575.65
2014-09-12,583.75
2014-09-15,577.0
2014-09-16,543.05
2014-09-17,538.15
2014-09-18,554.9
2014-09-19,552.65
2014-09-22,554.95
2014-09-23,532.5
2014-09-24,523.45
2014-09-25,499.85
2014-09-26,502.55
2014-09-29,500.8
2014-09-30,498.55
2014-10-01,494.6
2014-10-07,481.35
2014-10-08,491.7
2014-10-09,506.7
2014-10-10,489.8
2014-10-13,492.75
2014-10-14,498.45
2014-10-16,482.55
2014-10-17,483.35
2014-10-20,490.15
2014-10-21,494.85
2014-10-22,532.75
2014-10-23,526.25
2014-10-27,522.8
2014-10-28,530.5
2014-10-29,528.8
2014-10-30,530.0
2014-10-31,537.1
2014-11-03,548.2
2014-11-05,542.65
2014-11-07,532.05
2014-11-10,534.1
2014-11-11,534.25
2014-11-12,533.3
2014-11-13,522.15
2014-11-14,520.9
2014-11-17,529.25
2014-11-18,543.65
2014-11-19,526.6
2014-11-20,524.35
2014-11-21,529.7
2014-11-24,529.0
2014-11-25,511.95
2014-11-26,515.9
2014-11-27,517.7
2014-11-28,522.75
2014-12-01,509.6
2014-12-02,511.45
2014-12-03,517.7
2014-12-04,515.1
2014-12-05,509.8
2014-12-08,519.8
2014-12-09,506.1
2014-12-10,509.5
2014-12-11,496.4
2014-12-12,482.5
2014-12-15,467.35
2014-12-16,436.1
2014-12-17,428.9
2014-12-18,446.4
2014-12-19,435.05
2014-12-22,441.95
2014-12-23,436.85
2014-12-24,464.4
2014-12-26,460.05
