Date,SHALPAINTS
2013-01-01,129.8
2013-01-02,128.15
2013-01-03,128.5
2013-01-04,127.05
2013-01-07,124.85
2013-01-08,122.35
2013-01-09,122.3
2013-01-10,120.95
2013-01-11,114.2
2013-01-14,112.35
2013-01-15,134.8
2013-01-16,132.65
2013-01-17,134.25
2013-01-18,129.05
2013-01-21,127.2
2013-01-22,135.45
2013-01-23,134.15
2013-01-24,132.2
2013-01-25,133.05
2013-01-28,124.05
2013-01-29,123.8
2013-01-30,122.5
2013-01-31,124.4
2013-02-01,127.9
2013-02-04,124.9
2013-02-05,127.65
2013-02-06,121.45
2013-02-07,123.6
2013-02-08,125.95
2013-02-11,128.25
2013-02-12,128.85
2013-02-13,126.55
2013-02-14,122.2
2013-02-15,119.8
2013-02-18,122.1
2013-02-19,126.15
2013-02-20,126.75
2013-02-21,125.7
2013-02-22,125.0
2013-02-25,123.1
2013-02-26,116.95
2013-02-27,119.5
2013-02-28,113.1
2013-03-01,110.3
2013-03-04,111.5
2013-03-05,108.2
2013-03-06,112.9
2013-03-07,111.45
2013-03-08,110.55
2013-03-11,132.65
2013-03-12,134.75
2013-03-13,128.5
2013-03-14,126.25
2013-03-15,132.65
2013-03-18,127.1
2013-03-19,121.1
2013-03-20,114.75
2013-03-21,112.1
2013-03-22,108.7
2013-03-25,109.65
2013-03-26,106.95
2013-03-28,109.25
2013-04-01,114.2
2013-04-02,116.35
2013-04-03,113.55
2013-04-04,108.6
2013-04-05,108.15
2013-04-08,110.6
2013-04-09,107.4
2013-04-10,108.55
2013-04-11,108.95
2013-04-12,107.4
2013-04-15,108.45
2013-04-16,108.95
2013-04-17,112.55
2013-04-18,111.55
2013-04-22,117.0
2013-04-23,116.3
2013-04-25,119.05
2013-04-26,115.8
2013-04-29,115.8
2013-04-30,115.1
2013-05-02,117.6
2013-05-03,117.7
2013-05-06,117.85
2013-05-07,122.9
2013-05-08,127.95
2013-05-09,122.8
2013-05-10,123.0
2013-05-11,124.3
2013-05-13,123.15
2013-05-14,125.3
2013-05-15,126.15
2013-05-16,125.45
2013-05-17,123.25
2013-05-20,121.8
2013-05-21,121.15
2013-05-22,120.65
2013-05-23,116.0
2013-05-24,114.75
2013-05-27,112.55
2013-05-28,111.8
2013-05-29,113.0
2013-05-30,114.7
2013-05-31,109.85
2013-06-03,109.2
2013-06-04,110.55
2013-06-05,108.95
2013-06-06,108.8
2013-06-07,108.3
2013-06-10,107.85
2013-06-11,107.3
2013-06-12,107.95
2013-06-13,106.0
2013-06-14,104.85
2013-06-17,100.65
2013-06-18,99.65
2013-06-19,100.3
2013-06-20,98.6
2013-06-21,97.0
2013-06-24,94.2
2013-06-25,90.65
2013-06-26,92.75
2013-06-27,91.9
2013-06-28,93.9
2013-07-01,97.15
2013-07-02,99.0
2013-07-03,96.2
2013-07-04,94.7
2013-07-05,95.1
2013-07-08,93.45
2013-07-09,95.35
2013-07-10,104.7
2013-07-11,100.35
2013-07-12,97.6
2013-07-15,98.15
2013-07-16,94.2
2013-07-17,93.35
2013-07-18,91.25
2013-07-19,93.9
2013-07-22,95.2
2013-07-23,94.05
2013-07-24,89.7
2013-07-25,88.3
2013-07-26,88.0
2013-07-29,85.2
2013-07-30,82.55
2013-07-31,79.1
2013-08-01,74.8
2013-08-02,59.85
2013-08-05,65.4
2013-08-06,58.9
2013-08-07,58.85
2013-08-08,55.55
2013-08-12,56.2
2013-08-13,59.1
2013-08-14,57.15
2013-08-16,53.9
2013-08-19,54.2
2013-08-20,54.45
2013-08-21,53.05
2013-08-22,53.85
2013-08-23,54.7
2013-08-26,55.75
2013-08-27,53.45
2013-08-28,51.6
2013-08-29,52.6
2013-08-30,54.5
2013-09-02,55.25
2013-09-03,55.45
2013-09-04,52.9
2013-09-05,53.8
2013-09-06,55.25
2013-09-10,56.3
2013-09-11,55.65
2013-09-12,54.65
2013-09-13,54.75
2013-09-16,55.25
2013-09-17,54.7
2013-09-18,55.55
2013-09-19,57.05
2013-09-20,56.35
2013-09-23,57.05
2013-09-24,57.4
2013-09-25,56.45
2013-09-26,56.5
2013-09-27,55.9
2013-09-30,54.85
2013-10-01,54.4
2013-10-03,54.9
2013-10-04,54.65
2013-10-07,55.4
2013-10-08,55.95
2013-10-09,57.1
2013-10-10,57.25
2013-10-11,57.1
2013-10-14,56.45
2013-10-15,55.25
2013-10-17,55.85
2013-10-18,56.55
2013-10-21,59.55
2013-10-22,71.45
2013-10-23,73.15
2013-10-24,70.1
2013-10-25,65.2
2013-10-28,65.0
2013-10-29,63.45
2013-10-30,64.0
2013-10-31,71.2
2013-11-01,70.0
2013-11-03,70.9
2013-11-05,71.1
2013-11-06,73.9
2013-11-07,70.0
2013-11-08,70.1
2013-11-11,69.05
2013-11-12,70.7
2013-11-13,84.65
2013-11-14,85.8
2013-11-18,82.75
2013-11-19,92.65
2013-11-20,95.45
2013-11-21,92.1
2013-11-22,96.45
2013-11-25,99.6
2013-11-26,96.85
2013-11-27,93.2
2013-11-28,93.4
2014-03-03,71.6
2014-03-04,75.15
2014-03-05,73.4
2014-03-06,73.2
2014-03-07,73.95
2014-03-10,74.7
2014-03-11,74.5
2014-03-12,71.35
2014-03-13,71.75
2014-03-14,72.1
2014-03-18,72.0
2014-03-19,71.8
2014-03-20,71.55
2014-03-21,71.4
2014-03-22,71.5
2014-03-24,71.65
2014-03-25,70.8
2014-03-26,72.05
2014-03-27,71.55
2014-03-28,72.15
2014-03-31,73.65
2014-04-01,81.0
2014-04-02,89.1
2014-04-03,86.6
2014-04-04,86.6
2014-04-07,86.2
2014-04-09,85.85
2014-04-10,85.7
2014-04-11,83.2
2014-04-15,83.45
2014-04-16,79.45
2014-04-17,82.1
