Date,TTL
2013-03-01,23.75
2013-03-04,23.8
2013-03-05,23.25
2013-03-06,23.7
2013-03-07,23.75
2013-03-08,23.9
2013-03-11,23.4
2013-03-12,23.6
2013-03-13,23.35
2013-03-14,23.35
2013-03-15,23.25
2013-03-18,23.55
2013-03-19,22.0
2013-03-20,22.8
2013-03-21,22.0
2013-03-22,21.15
2013-03-25,21.0
2013-03-26,21.0
2013-03-28,21.0
2013-04-01,21.15
2013-04-02,22.15
2013-04-03,22.1
2013-04-04,21.65
2013-04-05,21.95
2013-04-08,21.05
2013-04-09,22.4
2013-04-10,21.0
2013-04-15,20.5
2013-04-16,20.65
2013-04-17,20.55
2013-04-18,20.5
2013-04-22,22.15
2013-04-23,21.6
2013-04-25,21.95
2013-04-26,21.5
2013-04-29,21.5
2013-04-30,21.5
2013-05-03,22.2
2013-05-06,21.5
2013-05-07,21.1
2013-05-08,22.5
2013-05-09,22.0
2013-05-10,22.0
2013-05-11,18.1
2013-05-13,21.0
2013-05-15,20.0
2013-05-17,21.9
2013-05-20,21.85
2013-05-21,22.15
2013-05-22,22.3
2013-05-23,22.5
2013-05-24,22.0
2013-05-27,22.0
2013-05-28,22.0
2013-05-30,22.95
2013-05-31,22.5
2013-06-03,22.9
2013-06-04,22.4
2013-06-05,22.5
2013-06-07,22.5
2013-06-10,22.5
2013-06-11,22.5
2013-06-12,22.0
2013-06-13,21.35
2013-06-14,22.0
2013-06-17,22.0
2013-06-18,22.0
2013-06-19,23.0
2013-06-20,21.25
2013-06-21,21.45
2013-06-24,22.0
2013-06-25,22.0
2013-06-26,21.95
2013-06-27,21.95
2013-06-28,22.0
2013-07-01,21.15
2013-07-03,21.95
2013-07-04,21.0
2013-07-05,22.0
2013-07-08,22.0
2013-07-09,21.5
2013-07-10,22.0
2013-07-11,21.55
2013-07-12,22.0
2013-07-15,22.0
2013-07-16,23.0
2013-07-17,22.85
2013-07-19,22.85
2013-07-22,22.0
2013-07-23,22.0
2013-07-24,21.55
2013-07-25,21.5
2013-07-26,21.0
2013-07-29,21.6
2013-07-30,22.0
2013-07-31,21.9
2013-08-01,21.45
2013-08-02,21.8
2013-08-06,21.0
2013-08-07,21.0
2013-08-08,20.95
2013-08-12,20.6
2013-08-13,21.05
2013-08-14,21.5
2013-08-16,21.05
2013-08-19,21.5
2013-08-20,21.0
2013-08-21,21.55
2013-08-22,23.55
2013-08-23,21.5
2013-08-26,20.25
2013-08-27,21.2
2013-08-28,21.0
2013-08-29,22.0
2013-09-02,21.6
2013-09-04,22.0
2013-09-05,22.0
2013-09-06,21.0
2013-09-10,22.0
2013-09-11,20.7
2013-09-12,21.0
2013-09-13,21.0
2013-09-16,21.15
2013-09-17,20.05
2013-09-19,21.1
2013-09-20,21.0
2013-09-24,22.0
2013-09-25,22.0
2013-09-26,21.1
2013-09-27,21.5
2013-09-30,21.05
2013-10-01,21.4
2013-10-03,21.5
2013-10-04,22.0
2013-10-07,21.5
2013-10-08,22.0
2013-10-09,21.5
2013-10-10,21.5
2013-10-11,21.7
2013-10-14,21.1
2013-10-15,22.95
2013-10-17,21.55
2013-10-18,21.0
2013-10-21,21.15
2013-10-22,21.1
2013-10-23,21.4
2013-10-24,21.6
2013-10-25,23.45
2013-10-28,22.8
2013-10-29,22.1
2013-10-30,22.0
2013-10-31,23.0
2013-11-01,22.5
2013-11-03,22.15
2013-11-05,23.0
2013-11-06,23.0
2013-11-07,22.9
2013-11-08,23.0
2013-11-11,23.05
2013-11-12,23.0
2013-11-13,23.0
2013-11-14,22.55
2013-11-18,22.75
2013-11-19,22.75
2013-11-20,23.0
2013-11-21,23.0
2013-11-22,23.75
2013-11-25,23.75
2013-11-26,24.0
2013-11-27,24.1
2013-11-28,24.0
2013-11-29,24.0
2013-12-02,24.1
2013-12-03,24.0
2013-12-04,23.95
2013-12-05,23.5
2013-12-06,24.0
2013-12-09,23.5
2013-12-10,24.0
2013-12-11,24.1
2013-12-12,24.1
2013-12-13,24.0
2013-12-16,23.1
2013-12-17,24.0
2013-12-18,24.0
2013-12-19,24.0
2013-12-20,24.3
2013-12-23,25.0
2013-12-24,25.0
2013-12-26,26.0
2013-12-27,26.1
2013-12-30,25.0
2013-12-31,23.1
2014-01-01,25.6
2014-01-02,26.4
2014-01-03,27.0
2014-01-06,25.95
2014-01-07,25.55
2014-01-08,25.4
2014-01-09,26.2
2014-01-10,26.6
2014-01-13,25.6
2014-01-14,26.3
2014-01-15,26.15
2014-01-16,26.35
2014-01-17,26.7
2014-01-20,26.5
2014-01-21,26.3
2014-01-22,26.25
2014-01-23,25.8
2014-01-24,26.0
2014-01-27,25.6
2014-01-28,25.2
2014-01-29,25.5
2014-01-30,23.7
2014-01-31,22.9
2014-02-03,22.35
2014-02-04,24.0
2014-02-05,23.55
2014-02-06,23.0
2014-02-07,23.3
2014-02-10,22.7
2014-02-11,23.25
2014-02-12,23.15
2014-02-13,22.75
2014-02-14,23.25
2014-02-17,23.2
2014-02-18,22.8
2014-02-19,23.7
2014-02-20,23.4
2014-02-21,23.4
2014-02-24,23.0
2014-02-25,23.15
2014-02-26,23.0
2014-02-28,23.0
2014-03-03,22.5
2014-03-04,23.2
2014-03-05,23.0
2014-03-06,23.0
2014-03-07,22.85
2014-03-10,23.95
2014-03-11,23.05
2014-03-12,23.5
2014-03-13,24.2
2014-03-14,24.05
2014-03-18,23.8
2014-03-19,23.45
2014-03-20,23.5
2014-03-21,23.5
2014-03-22,23.7
2014-03-24,23.45
2014-03-25,23.0
2014-03-26,23.15
2014-03-27,23.35
2014-03-28,24.6
2014-03-31,25.1
2014-04-01,24.05
2014-04-02,24.15
2014-04-03,23.65
2014-04-04,23.65
2014-04-07,23.7
2014-04-09,23.85
2014-04-10,23.95
2014-04-11,24.35
2014-04-15,24.15
2014-04-16,26.9
2014-04-17,26.65
2014-04-21,26.05
2014-04-22,26.7
2014-04-23,26.95
2014-04-25,25.75
2014-04-28,26.4
2014-04-29,26.3
2014-04-30,26.15
2014-05-02,26.7
2014-05-05,26.25
2014-05-06,26.2
2014-05-07,26.5
2014-05-08,25.7
2014-05-09,26.55
2014-05-12,25.65
2014-05-13,26.25
2014-05-14,25.8
2014-05-15,25.65
2014-05-16,25.65
2014-05-19,26.3
2014-05-20,27.4
2014-05-21,27.1
2014-05-22,26.8
2014-05-23,26.5
2014-05-26,26.55
2014-05-27,25.75
2014-05-28,26.1
2014-05-29,27.0
2014-05-30,26.9
2014-06-02,26.95
2014-06-03,28.0
2014-06-04,27.85
2014-06-05,28.2
2014-06-06,28.0
2014-06-09,30.85
2014-06-10,30.1
2014-06-11,30.75
2014-06-12,31.15
2014-06-13,29.45
2014-06-16,29.45
2014-06-17,29.95
2014-06-18,31.0
2014-06-19,32.1
2014-06-20,33.35
2014-06-23,32.9
2014-06-24,36.1
2014-06-25,35.95
2014-06-26,35.75
2014-06-27,36.75
2014-06-30,35.65
2014-07-01,35.85
2014-07-02,42.0
2014-07-03,39.85
2014-07-04,39.35
2014-07-07,40.65
2014-07-08,39.3
2014-07-09,36.4
2014-07-10,36.95
2014-07-11,35.0
2014-07-14,34.55
2014-07-15,35.75
2014-07-16,35.9
2014-07-17,37.35
2014-07-18,38.2
2014-07-21,41.7
2014-07-22,40.3
2014-07-23,39.95
2014-07-24,39.65
2014-07-25,38.4
2014-07-28,36.2
2014-07-30,36.95
2014-07-31,36.95
2014-08-01,35.7
2014-08-04,36.0
2014-08-05,36.1
2014-08-06,38.0
2014-08-07,39.65
2014-08-08,37.85
2014-08-11,39.45
2014-08-12,38.5
2014-08-13,35.85
2014-08-14,34.25
2014-08-18,36.6
2014-08-19,37.4
2014-08-20,37.35
2014-08-21,38.2
2014-08-22,38.0
2014-08-25,39.05
2014-08-26,37.95
2014-08-27,37.6
2014-08-28,36.45
2014-09-01,36.35
2014-09-02,38.3
2014-09-03,37.25
2014-09-04,37.05
2014-09-05,36.7
2014-09-08,35.85
2014-09-09,35.55
2014-09-10,38.5
2014-09-11,38.5
2014-09-12,39.55
2014-09-15,42.95
2014-09-16,38.85
2014-09-17,39.55
2014-09-18,41.4
2014-09-19,39.25
2014-09-22,41.25
2014-09-23,40.75
2014-09-24,41.2
2014-09-25,39.95
2014-09-26,40.35
2014-09-29,41.7
2014-09-30,47.55
2014-10-01,46.95
2014-10-07,45.75
2014-10-08,45.35
2014-10-09,45.45
2014-10-10,44.4
2014-10-13,50.15
2014-10-14,51.4
2014-10-16,50.7
2014-10-17,50.2
2014-10-20,50.7
2014-10-21,50.9
2014-10-22,49.7
2014-10-23,51.05
2014-10-27,49.7
2014-10-28,51.7
2014-10-29,50.5
2014-10-30,50.6
2014-10-31,51.35
2014-11-03,51.95
2014-11-05,57.45
2014-11-07,53.25
2014-11-10,54.55
2014-11-11,52.35
2014-11-12,47.25
2014-11-13,45.55
2014-11-14,45.6
2014-11-17,44.45
2014-11-18,45.9
2014-11-19,45.75
2014-11-20,44.8
2014-11-21,45.4
