Date,PITTIENG
2013-01-01,53.45
2013-01-02,56.25
2013-01-03,55.2
2013-01-04,54.55
2013-01-07,54.65
2013-01-08,54.95
2013-01-09,53.95
2013-01-10,53.85
2013-01-11,53.8
2013-01-14,54.0
2013-01-15,53.15
2013-01-16,54.4
2013-01-17,54.05
2013-01-18,52.4
2013-01-21,51.0
2013-01-22,49.95
2013-01-23,48.8
2013-01-24,48.3
2013-01-25,48.85
2013-01-28,48.85
2013-01-29,49.95
2013-01-30,49.35
2013-01-31,47.9
2013-02-01,45.55
2013-02-04,44.0
2013-02-05,42.6
2013-02-06,44.7
2013-02-07,45.15
2013-02-08,44.65
2013-02-11,43.85
2013-02-12,44.55
2013-02-13,45.25
2013-02-14,40.05
2013-02-15,38.4
2013-02-18,39.2
2013-02-19,37.9
2013-02-20,41.95
2013-02-21,40.8
2013-02-22,39.75
2013-02-25,39.0
2013-02-26,38.8
2013-02-27,37.85
2013-02-28,38.15
2013-03-01,37.85
2013-03-04,36.95
2013-03-05,36.95
2013-03-06,37.45
2013-03-07,38.5
2013-03-08,36.7
2013-03-11,36.25
2013-03-12,35.7
2013-03-13,36.85
2013-03-14,35.8
2013-03-15,36.05
2013-03-18,36.4
2013-03-19,35.15
2013-03-20,34.45
2013-03-21,32.85
2013-03-22,34.15
2013-03-25,32.05
2013-03-26,32.5
2013-03-28,33.65
2013-04-01,34.45
2013-04-02,35.75
2013-04-03,36.45
2013-04-04,35.0
2013-04-05,34.45
2013-04-08,33.25
2013-04-09,33.85
2013-04-10,33.95
2013-04-11,33.0
2013-04-12,33.0
2013-04-15,32.95
2013-04-16,32.25
2013-04-17,33.3
2013-04-18,33.5
2013-04-22,32.9
2013-04-23,33.1
2013-04-25,32.95
2013-04-26,31.9
2013-04-29,32.0
2013-04-30,32.0
2013-05-02,32.1
2013-05-03,33.0
2013-05-06,32.9
2013-05-07,33.0
2013-05-08,32.95
2013-05-09,32.0
2013-05-10,33.0
2013-05-11,32.5
2013-05-13,32.6
2013-05-14,31.75
2013-05-15,32.95
2013-05-16,33.5
2013-05-17,33.55
2013-05-20,36.15
2013-05-21,35.65
2013-05-22,34.6
2013-05-23,33.05
2013-05-24,32.5
2013-05-27,33.75
2013-05-28,34.35
2013-05-29,33.35
2013-05-30,32.55
2013-05-31,32.0
2013-06-03,32.0
2013-06-04,32.2
2013-06-05,32.95
2013-06-06,32.5
2013-06-07,32.35
2013-06-10,31.55
2013-06-11,30.35
2013-06-12,29.15
2013-06-13,29.55
2013-06-14,29.6
2013-06-17,29.5
2013-06-18,29.85
2013-06-19,30.0
2013-06-20,30.0
2013-06-21,29.35
2013-06-24,29.15
2013-06-25,30.0
2013-06-26,29.45
2013-06-27,30.0
2013-06-28,31.1
2013-07-01,31.95
2013-07-02,30.55
2013-07-03,30.6
2013-07-04,30.35
2013-07-05,30.95
2013-07-09,25.3
2013-07-12,30.3
2013-07-15,29.95
2013-07-18,25.65
2013-07-19,28.1
2013-07-22,27.1
2013-07-23,27.0
2013-07-24,26.8
2013-07-25,26.1
2013-07-26,26.1
2013-07-29,26.05
2013-07-30,26.0
2013-07-31,24.5
2013-08-01,25.6
2013-08-02,25.5
2013-08-08,25.5
2013-08-12,24.1
2013-08-13,24.0
2013-08-14,23.0
2013-08-16,24.0
2013-08-21,23.5
2013-08-26,24.3
2013-08-27,24.5
2013-08-28,23.0
2013-08-30,23.0
2013-09-02,23.0
2013-09-03,24.1
2013-09-04,26.0
2013-09-05,26.0
2013-09-06,28.5
2013-09-10,30.6
2013-09-11,33.0
2013-09-12,34.55
2013-09-13,35.0
2013-09-16,33.5
2013-09-17,33.5
2013-09-18,35.05
2013-09-19,35.0
2013-09-20,36.0
2013-09-23,35.0
2013-09-24,36.5
2013-09-25,36.0
2013-09-26,36.0
2013-09-27,36.0
2013-09-30,37.5
2013-10-01,36.6
2013-10-04,36.0
2013-10-07,35.0
2013-10-08,35.0
2013-10-09,35.0
2013-10-10,35.0
