Date,HOVS
2013-01-01,34.05
2013-01-02,34.05
2013-01-03,34.25
2013-01-04,34.25
2013-01-07,34.1
2013-01-08,33.75
2013-01-09,33.3
2013-01-10,32.9
2013-01-11,32.4
2013-01-14,32.15
2013-01-15,32.4
2013-01-16,31.25
2013-01-17,30.9
2013-01-18,30.95
2013-01-21,30.85
2013-01-22,30.5
2013-01-23,33.1
2013-01-24,30.75
2013-01-25,29.55
2013-01-28,31.45
2013-01-29,33.05
2013-01-30,34.8
2013-01-31,35.4
2013-02-01,34.2
2013-02-04,32.75
2013-02-05,31.85
2013-02-06,31.2
2013-02-07,30.6
2013-02-08,30.4
2013-02-11,30.05
2013-02-12,30.15
2013-02-13,29.7
2013-02-14,27.4
2013-02-15,26.65
2013-02-18,25.95
2013-02-19,25.35
2013-02-20,26.85
2013-02-21,26.3
2013-02-22,26.7
2013-02-25,26.0
2013-02-26,25.05
2013-02-27,25.25
2013-02-28,24.25
2013-03-01,24.85
2013-03-04,24.2
2013-03-05,23.45
2013-03-06,24.55
2013-03-07,24.7
2013-03-08,24.9
2013-03-11,24.15
2013-03-12,24.75
2013-03-13,23.65
2013-03-14,23.95
2013-03-15,23.75
2013-03-18,23.05
2013-03-19,22.55
2013-03-20,22.3
2013-03-21,20.95
2013-03-22,20.1
2013-03-25,23.7
2013-03-26,26.8
2013-03-28,29.6
2013-04-01,28.35
2013-04-02,27.05
2013-04-03,29.0
2013-04-04,28.2
2013-04-05,27.55
2013-04-08,28.35
2013-04-09,27.35
2013-04-10,26.55
2013-04-11,29.85
2013-04-12,28.85
2013-04-15,28.25
2013-04-16,28.3
2013-04-17,28.8
2013-04-18,28.05
2013-04-22,27.7
2013-04-23,27.2
2013-04-25,28.35
2013-04-26,28.5
2013-04-29,28.55
2013-04-30,28.0
2013-05-02,27.4
2013-05-03,27.35
2013-05-06,27.3
2013-05-07,27.25
2013-05-08,26.7
2013-05-09,26.8
2013-05-10,26.85
2013-05-11,27.6
2013-05-13,26.9
2013-05-14,26.6
2013-05-15,27.2
2013-05-16,26.25
2013-05-17,27.1
2013-05-20,26.5
2013-05-21,26.75
2013-05-22,26.45
2013-05-23,25.55
2013-05-24,25.45
2013-05-27,30.2
2013-05-28,34.0
2013-05-29,34.9
2013-05-30,32.15
2013-05-31,29.4
2013-06-03,28.85
2013-06-04,28.15
2013-06-05,28.0
2013-06-06,27.55
2013-06-07,27.35
2013-06-10,25.65
2013-06-11,25.45
2013-06-12,25.1
2013-06-13,25.3
2013-06-14,25.0
2013-06-17,24.8
2013-06-18,24.7
2013-06-19,24.7
2013-06-20,23.8
2013-06-21,23.6
2013-06-24,23.4
2013-06-25,23.15
2013-06-26,22.85
2013-06-27,23.15
2013-06-28,23.95
2013-07-01,24.0
2013-07-02,25.1
2013-07-03,25.5
2013-07-04,25.65
2013-07-05,25.2
2013-07-08,24.6
2013-07-09,24.7
2013-07-10,25.5
2013-07-11,24.7
2013-07-12,24.6
2013-07-15,23.85
2013-07-16,23.65
2013-07-17,25.2
2013-07-18,24.15
2013-07-19,24.15
2013-07-22,24.0
2013-07-23,23.8
2013-07-24,26.0
2013-07-25,30.0
2013-07-26,32.0
2013-07-29,27.3
2013-07-30,25.25
2013-07-31,25.05
2013-08-01,23.05
2013-08-02,22.2
2013-08-05,23.0
2013-08-06,23.2
2013-08-07,23.9
2013-08-08,24.3
2013-08-12,23.75
2013-08-13,23.7
2013-08-14,24.85
2013-08-16,24.1
2013-08-19,23.4
2013-08-20,24.15
2013-08-21,24.2
2013-08-22,23.8
2013-08-23,24.4
2013-08-26,24.55
2013-08-27,24.0
2013-08-28,24.1
2013-08-29,24.0
2013-08-30,24.35
2013-09-02,25.15
2013-09-03,24.25
2013-09-04,25.15
2013-09-05,24.9
2013-09-06,24.8
2013-09-10,25.05
2013-09-11,27.35
2013-09-12,26.9
2013-09-13,25.7
2013-09-16,25.9
2013-09-17,25.45
2013-09-18,27.45
2013-09-19,28.75
2013-09-20,32.15
2013-09-23,29.95
2013-09-24,27.85
2013-09-25,27.6
2013-09-26,26.8
2013-09-27,26.55
2013-09-30,29.8
2013-10-01,30.1
2013-10-03,28.6
2013-10-04,28.5
2013-10-07,29.0
2013-10-08,28.55
2013-10-09,28.45
2013-10-10,28.4
2013-10-11,33.05
2013-10-14,35.8
2013-10-15,32.3
2013-10-17,32.3
2013-10-18,31.7
2013-10-21,31.4
2013-10-22,31.85
2013-10-23,31.2
2013-10-24,31.5
2013-10-25,32.45
2013-10-28,38.9
2013-10-29,41.85
2013-10-30,49.95
2013-10-31,54.9
