Date,KANANIIND
2013-01-01,45.45
2013-01-02,44.85
2013-01-03,43.35
2013-01-04,42.9
2013-01-07,40.25
2013-01-08,37.5
2013-01-09,35.8
2013-01-10,36.9
2013-01-11,36.05
2013-01-14,34.0
2013-01-15,33.25
2013-01-16,34.45
2013-01-17,35.2
2013-01-18,34.55
2013-01-21,32.65
2013-01-22,30.35
2013-01-23,30.65
2013-01-24,30.75
2013-01-25,30.45
2013-01-28,29.75
2013-01-29,29.3
2013-01-30,29.65
2013-01-31,29.35
2013-02-01,27.75
2013-02-04,27.15
2013-02-05,27.45
2013-02-06,27.8
2013-02-07,27.0
2013-02-08,26.95
2013-02-11,27.2
2013-02-12,26.2
2013-02-13,25.95
2013-02-14,24.7
2013-02-15,23.8
2013-02-18,22.9
2013-02-19,22.0
2013-02-20,22.4
2013-02-21,22.2
2013-02-22,22.65
2013-02-25,22.4
2013-02-26,22.3
2013-02-27,22.55
2013-02-28,22.4
2013-03-01,22.0
2013-03-04,21.75
2013-03-05,22.4
2013-03-06,22.15
2013-03-07,22.6
2013-03-08,23.0
2013-03-11,22.65
2013-03-12,23.0
2013-03-13,22.45
2013-03-14,22.05
2013-03-15,22.15
2013-03-18,21.8
2013-03-19,20.75
2013-03-20,21.45
2013-03-21,20.45
2013-03-22,19.45
2013-03-25,18.5
2013-03-26,17.9
2013-03-28,17.3
2013-04-01,17.5
2013-04-02,17.85
2013-04-03,17.65
2013-04-04,17.45
2013-04-05,17.85
2013-04-08,18.7
2013-04-09,18.05
2013-04-10,18.15
2013-04-11,18.25
2013-04-12,17.55
2013-04-15,17.1
2013-04-16,17.4
2013-04-17,17.15
2013-04-18,16.35
2013-04-22,15.95
2013-04-23,15.7
2013-04-25,14.95
2013-04-26,14.85
2013-04-29,14.5
2013-04-30,14.95
2013-05-02,15.6
2013-05-03,15.45
2013-05-06,15.3
2013-05-07,15.15
2013-05-08,15.45
2013-05-09,16.4
2013-05-10,16.55
2013-05-11,17.0
2013-05-13,17.9
2013-05-14,17.3
2013-05-15,17.5
2013-05-16,17.5
2013-05-17,17.25
2013-05-20,17.75
2013-05-21,18.5
2013-05-22,16.65
2013-05-23,16.55
2013-05-24,16.9
2013-05-27,17.25
2013-05-28,17.1
2013-05-29,17.1
2013-05-30,17.05
2013-05-31,16.2
2013-06-03,16.75
2013-06-04,16.85
2013-06-05,17.5
2013-06-06,16.3
2013-06-07,16.65
2013-06-10,17.05
2013-06-11,16.05
2013-06-12,16.75
2013-06-13,16.8
2013-06-14,16.1
2013-06-17,16.45
2013-06-18,15.9
2013-06-19,16.0
2013-06-20,15.75
2013-06-21,15.95
2013-06-24,15.95
2013-06-25,16.1
2013-06-26,15.85
2013-06-27,15.5
2013-06-28,15.1
2013-07-01,15.65
2013-07-02,15.6
2013-07-03,15.85
2013-07-04,15.9
2013-07-05,15.5
2013-07-08,15.5
2013-07-09,15.45
2013-07-10,15.05
2013-07-11,15.2
2013-07-12,15.2
2013-07-15,15.35
2013-07-16,14.9
2013-07-17,15.35
2013-07-18,15.3
2013-07-19,15.0
2013-07-22,15.0
2013-07-23,14.9
2013-07-24,14.55
2013-07-25,14.45
2013-07-26,14.85
2013-07-29,14.95
2013-07-30,14.95
2013-07-31,14.85
2013-08-01,14.85
2013-08-02,14.7
2013-08-05,14.45
2013-08-06,13.95
2013-08-07,13.75
2013-08-08,13.75
2013-08-12,13.95
