Date,SOMANYCERA
2013-03-01,63.2
2013-03-04,62.7
2013-03-05,65.8
2013-03-06,69.05
2013-03-07,72.5
2013-03-08,76.1
2013-03-11,79.9
2013-03-12,80.2
2013-03-13,76.2
2013-03-14,76.0
2013-03-15,74.0
2013-03-18,72.0
2013-03-19,69.9
2013-03-20,67.35
2013-03-21,65.3
2013-03-22,62.45
2013-03-25,62.85
2013-03-26,63.9
2013-03-28,66.0
2013-04-01,69.3
2013-04-02,72.5
2013-04-03,76.1
2013-04-04,72.3
2013-04-05,70.05
2013-04-08,69.0
2013-04-09,71.5
2013-04-10,71.35
2013-04-11,71.6
2013-04-12,72.75
2013-04-15,70.6
2013-04-16,72.55
2013-04-17,69.5
2013-04-18,71.05
2013-04-22,71.9
2013-04-23,70.8
2013-04-25,70.5
2013-04-26,69.9
2013-04-29,73.35
2013-04-30,77.0
2013-05-02,80.85
2013-05-03,77.5
2013-05-06,81.0
2013-05-07,84.4
2013-05-08,84.1
2013-05-09,82.0
2013-05-10,86.25
2013-05-11,87.85
2013-05-13,86.3
2013-05-14,85.0
2013-05-15,87.2
2013-05-16,86.75
2013-05-17,88.0
2013-05-20,86.55
2013-05-21,84.15
2013-05-22,84.25
2013-05-23,78.7
2013-05-24,78.75
2013-05-27,81.8
2013-05-28,80.5
2013-05-29,80.1
2013-05-30,80.75
2013-05-31,78.2
2013-06-03,79.2
2013-06-04,75.35
2013-06-05,75.1
2013-06-06,75.85
2013-06-07,77.95
2013-06-10,77.7
2013-06-11,73.6
2013-06-12,70.65
2013-06-13,71.7
2013-06-14,74.15
2013-06-17,74.9
2013-06-18,74.8
2013-06-19,75.45
2013-06-20,72.55
2013-06-21,69.3
2013-06-24,67.95
2013-06-25,70.9
2013-06-26,70.6
2013-06-27,71.65
2013-06-28,72.0
2013-07-01,73.95
2013-07-02,75.95
2013-07-03,75.45
2013-07-04,76.0
2013-07-05,74.0
2013-07-08,73.5
2013-07-09,74.2
2013-07-10,74.15
2013-07-11,73.8
2013-07-12,75.0
2013-07-15,77.7
2013-07-16,74.95
2013-07-17,75.55
2013-07-18,77.0
2013-07-19,80.5
2013-07-22,83.0
2013-07-23,81.55
2013-07-24,76.05
2013-07-25,73.85
2013-07-26,72.85
2013-07-29,71.0
2013-07-30,70.35
2013-07-31,68.35
2013-08-01,67.3
2013-08-02,67.25
2013-08-05,67.25
