Date,STEL
2013-01-01,13.1
2013-01-02,12.85
2013-01-03,12.8
2013-01-04,13.6
2013-01-07,14.1
2013-01-08,14.05
2013-01-09,14.05
2013-01-10,13.65
2013-01-11,13.65
2013-01-14,13.1
2013-01-15,13.1
2013-01-16,12.95
2013-01-17,12.35
2013-01-18,12.25
2013-01-21,12.55
2013-01-22,12.75
2013-01-23,12.4
2013-01-24,12.0
2013-01-25,12.5
2013-01-28,12.25
2013-01-29,12.15
2013-01-30,12.0
2013-01-31,12.0
2013-02-01,12.25
2013-02-04,12.05
2013-02-05,11.75
2013-02-06,11.95
2013-02-07,11.95
2013-02-08,11.75
2013-02-11,11.7
2013-02-12,11.7
2013-02-13,12.25
2013-02-14,11.55
2013-02-15,11.95
2013-02-18,11.9
2013-02-19,11.6
2013-02-20,11.45
2013-02-21,11.3
2013-02-22,11.65
2013-02-25,11.15
2013-02-26,11.0
2013-02-27,11.35
2013-02-28,11.05
2013-03-01,11.25
2013-03-04,11.4
2013-03-05,10.5
2013-03-06,10.5
2013-03-07,10.65
2013-03-08,11.0
2013-03-11,10.65
2013-03-12,10.25
2013-03-13,10.6
2013-03-14,10.4
2013-03-15,10.75
2013-03-18,9.9
2013-03-19,10.35
2013-03-20,10.05
2013-03-21,10.15
2013-03-22,10.1
2013-03-25,10.15
2013-03-26,10.25
2013-03-28,9.85
2013-04-01,10.4
2013-04-02,10.6
2013-04-03,10.0
2013-04-04,10.4
2013-04-05,10.0
2013-04-08,10.6
2013-04-09,8.5
2013-04-10,9.5
2013-04-11,10.0
2013-04-12,10.5
2013-04-15,10.5
2013-04-18,10.95
2013-04-22,10.9
2013-04-23,11.9
2013-04-25,11.95
2013-04-26,10.55
2013-04-29,12.0
2013-04-30,12.45
2013-05-02,11.7
2013-05-03,11.7
2013-05-06,12.95
2013-05-07,12.45
2013-05-08,11.7
2013-05-09,11.35
2013-05-10,11.6
2013-05-11,11.9
2013-05-13,12.0
2013-05-14,11.55
2013-05-15,11.5
2013-05-16,12.0
2013-05-17,12.0
2013-05-20,12.0
2013-05-21,12.0
2013-05-22,11.55
2013-05-23,11.3
2013-05-24,10.8
2013-05-27,10.85
2013-05-28,11.05
2013-05-31,11.15
2013-06-03,11.5
2013-06-04,12.5
2013-06-07,11.45
2013-06-10,11.2
2013-06-11,11.45
2013-06-12,11.0
2013-06-13,11.45
2013-06-14,10.75
2013-06-17,10.6
2013-06-20,10.5
2013-06-21,10.3
2013-06-24,10.05
