Date,ELGIRUBCO
2013-01-01,25.0
2013-01-02,25.35
2013-01-03,25.45
2013-01-04,25.0
2013-01-07,24.85
2013-01-08,24.95
2013-01-09,24.45
2013-01-10,24.25
2013-01-11,24.25
2013-01-14,24.3
2013-01-15,23.75
2013-01-16,23.55
2013-01-17,23.25
2013-01-18,23.05
2013-01-21,23.0
2013-01-22,22.75
2013-01-23,22.75
2013-01-24,22.0
2013-01-25,22.95
2013-01-28,23.15
2013-01-29,23.75
2013-01-30,22.95
2013-01-31,23.35
2013-02-01,23.5
2013-02-04,24.4
2013-02-05,24.85
2013-02-06,25.2
2013-02-07,24.95
2013-02-08,25.25
2013-02-11,25.7
2013-02-12,26.05
2013-02-13,26.05
2013-02-14,25.35
2013-02-15,25.8
2013-02-18,24.0
2013-02-19,25.0
2013-02-20,24.85
2013-02-21,25.6
2013-02-22,24.15
2013-02-25,23.8
2013-02-26,23.95
2013-02-27,23.8
2013-02-28,23.4
2013-03-01,23.5
2013-03-04,23.5
2013-03-05,23.7
2013-03-06,23.55
2013-03-07,23.5
2013-03-08,23.5
2013-03-11,23.6
2013-03-12,23.75
2013-03-13,23.55
2013-03-14,23.95
2013-03-15,23.5
2013-03-18,23.7
2013-03-19,23.4
2013-03-20,23.6
2013-03-21,22.9
2013-03-22,23.8
2013-03-25,23.75
2013-03-26,23.7
2013-03-28,24.35
2013-04-01,24.5
2013-04-02,23.55
2013-04-03,23.65
2013-04-04,23.45
2013-04-05,24.35
2013-04-08,23.9
2013-04-09,23.65
2013-04-10,23.3
2013-04-11,22.0
2013-04-12,22.5
2013-04-15,22.5
2013-04-16,22.5
2013-04-17,22.95
2013-04-18,22.65
2013-04-22,23.0
2013-04-23,23.1
2013-04-25,23.05
2013-04-26,23.65
2013-04-29,23.6
2013-04-30,22.95
2013-05-02,22.15
2013-05-03,23.05
2013-05-06,22.15
2013-05-07,22.0
2013-05-08,22.2
2013-05-09,22.3
2013-05-10,22.0
2013-05-11,22.4
2013-05-13,21.75
2013-05-14,21.8
2013-05-15,22.25
2013-05-16,22.4
2013-05-17,22.25
2013-05-20,21.65
2013-05-21,22.25
2013-05-22,22.15
2013-05-23,22.6
2013-05-24,22.5
2013-05-27,22.45
2013-05-28,22.6
2013-05-29,22.55
2013-05-30,22.8
2013-05-31,22.4
2013-06-03,23.0
2013-06-04,23.5
2013-06-05,23.0
2013-06-06,23.6
2013-06-07,23.95
2013-06-10,23.95
2013-06-11,23.7
2013-06-12,24.0
2013-06-13,23.65
2013-06-14,23.65
2013-06-17,23.6
2013-06-18,23.5
2013-06-19,23.5
2013-06-20,23.5
2013-06-21,23.25
2013-06-24,23.25
2013-06-25,23.5
2013-06-26,23.4
2013-06-27,23.15
2013-06-28,23.25
2013-07-01,23.3
2013-07-02,23.4
2013-07-03,23.4
2013-07-04,23.8
2013-07-05,23.5
2013-07-08,23.5
2013-07-09,23.55
2013-07-10,23.9
2013-07-11,23.75
2013-07-12,23.6
2013-07-15,22.6
2013-07-16,23.5
2013-07-17,21.0
2013-07-18,23.5
2013-07-19,23.25
2013-07-22,24.35
2013-07-23,24.4
2013-07-24,23.5
