Date,HINDALCO
2013-01-01,134.15
2013-01-02,135.0
2013-01-03,134.4
2013-01-04,132.55
2013-01-07,134.4
2013-01-08,133.0
2013-01-09,132.05
2013-01-10,130.05
2013-01-11,127.05
2013-01-14,128.25
2013-01-15,129.1
2013-01-16,123.4
2013-01-17,122.05
2013-01-18,122.75
2013-01-21,122.75
2013-01-22,119.75
2013-01-23,117.85
2013-01-24,113.9
2013-01-25,116.4
2013-01-28,118.4
2013-01-29,115.45
2013-01-30,115.05
2013-01-31,116.2
2013-02-01,113.3
2013-02-04,113.2
2013-02-05,113.5
2013-02-06,114.4
2013-02-07,113.35
2013-02-08,109.7
2013-02-11,112.3
2013-02-12,112.6
2013-02-13,110.5
2013-02-14,110.65
2013-02-15,109.65
2013-02-18,111.0
2013-02-19,112.0
2013-02-20,111.55
2013-02-21,107.8
2013-02-22,107.05
2013-02-25,106.65
2013-02-26,101.75
2013-02-27,102.25
2013-02-28,98.9
2013-03-01,98.95
2013-03-04,94.35
2013-03-05,98.6
2013-03-06,101.8
2013-03-07,101.1
2013-03-08,101.3
2013-03-11,100.7
2013-03-12,99.45
2013-03-13,95.8
2013-03-14,96.05
2013-03-15,95.6
2013-03-18,95.3
2013-03-19,93.05
2013-03-20,90.3
2013-03-21,88.15
2013-03-22,89.65
2013-03-25,88.0
2013-03-26,88.2
2013-03-28,91.6
2013-04-01,91.7
2013-04-02,93.15
2013-04-03,90.5
2013-04-04,88.5
2013-04-05,89.85
2013-04-08,90.6
2013-04-09,90.85
2013-04-10,90.95
2013-04-11,90.1
2013-04-12,91.6
2013-04-15,91.15
2013-04-16,92.85
2013-04-17,93.1
2013-04-18,93.75
2013-04-22,95.45
2013-04-23,96.3
2013-04-25,98.15
2013-04-26,99.0
2013-04-29,98.85
2013-04-30,97.25
2013-05-02,95.95
2013-05-03,98.05
2013-05-06,101.7
2013-05-07,101.95
2013-05-08,103.0
2013-05-09,103.55
2013-05-10,105.95
2013-05-11,106.3
2013-05-13,105.05
2013-05-14,105.5
2013-05-15,108.35
2013-05-16,111.1
2013-05-17,110.15
2013-05-20,110.15
2013-05-21,110.4
2013-05-22,110.65
2013-05-23,108.9
2013-05-24,107.05
2013-05-27,110.6
2013-05-28,110.05
2013-05-29,110.15
2013-05-30,106.85
2013-05-31,102.4
2013-06-03,101.4
2013-06-04,100.85
2013-06-05,102.5
2013-06-06,102.85
2013-06-07,101.95
2013-06-10,100.6
2013-06-11,94.35
2013-06-12,92.3
2013-06-13,96.8
2013-06-14,103.65
2013-06-17,102.0
2013-06-18,101.3
2013-06-19,104.3
2013-06-20,97.75
2013-06-21,94.0
2013-06-24,94.1
2013-06-25,97.05
2013-06-26,94.7
2013-06-27,95.8
2013-06-28,99.8
2013-07-01,101.9
2013-07-02,102.45
2013-07-03,98.9
2013-07-04,99.95
2013-07-05,99.95
2013-07-08,100.15
2013-07-09,100.85
2013-07-10,98.2
2013-07-11,102.8
2013-07-12,101.8
2013-07-15,105.4
2013-07-16,103.9
2013-07-17,101.9
2013-07-18,104.4
2013-07-19,103.65
2013-07-22,104.35
2013-07-23,105.15
2013-07-24,103.25
2013-07-25,102.2
2013-07-26,94.45
2013-07-29,90.65
2013-07-30,86.5
2013-07-31,90.1
2013-08-01,87.5
2013-08-02,86.7
2013-08-05,86.3
2013-08-06,85.55
2013-08-07,86.5
2013-08-08,91.7
2013-08-12,94.05
2013-08-13,91.4
2013-08-14,98.2
2013-08-16,93.55
2013-08-19,96.05
2013-08-20,97.35
2013-08-21,93.3
2013-08-22,104.0
2013-08-23,103.8
2013-08-26,104.4
2013-08-27,99.15
2013-08-28,102.1
2013-08-29,107.1
2013-08-30,105.05
2013-09-02,108.95
2013-09-03,104.4
2013-09-04,108.55
2013-09-05,108.2
2013-09-06,107.9
2013-09-10,110.2
2013-09-11,114.45
2013-09-12,111.2
2013-09-13,112.4
2013-09-16,113.1
2013-09-17,113.9
2013-09-18,114.65
2013-09-19,118.5
2013-09-20,113.95
2013-09-23,116.55
2013-09-24,112.0
2013-09-25,116.8
2013-09-26,117.05
2013-09-27,113.9
2013-09-30,111.9
2013-10-01,110.5
2013-10-03,115.55
2013-10-04,118.05
2013-10-07,121.85
2013-10-08,119.45
2013-10-09,119.6
2013-10-10,117.05
2013-10-11,114.25
2013-10-14,110.6
2013-10-15,112.1
2013-10-17,111.15
2013-10-18,114.85
2013-10-21,118.4
2013-10-22,116.5
2013-10-23,115.9
2013-10-24,114.55
2013-10-25,109.2
2013-10-28,107.05
2013-10-29,110.25
2013-10-30,113.45
2013-10-31,115.05
2013-11-01,115.2
2013-11-03,115.9
2013-11-05,117.7
2013-11-06,115.25
2013-11-07,116.85
2013-11-08,116.5
2013-11-11,111.35
2013-11-12,111.25
2013-11-13,113.95
2013-11-14,115.2
2013-11-18,119.0
2013-11-19,124.25
2013-11-20,120.75
2013-11-21,119.5
2013-11-22,118.4
2013-11-25,118.15
2013-11-26,118.45
2013-11-27,118.75
2013-11-28,121.4
2013-11-29,122.7
2013-12-02,121.85
2013-12-03,124.05
2013-12-04,120.7
2013-12-05,121.75
2013-12-06,120.5
2013-12-09,123.9
2013-12-10,125.1
2013-12-11,123.45
2013-12-12,121.05
2013-12-13,118.7
2013-12-16,116.65
2013-12-17,116.45
2013-12-18,117.8
2013-12-19,119.0
2013-12-20,119.45
2013-12-23,123.55
2013-12-24,122.0
2013-12-26,121.1
2013-12-27,122.45
2013-12-30,121.75
2013-12-31,122.6
2014-01-01,121.8
2014-01-02,120.65
2014-01-03,118.75
2014-01-06,118.25
2014-01-07,116.05
2014-01-08,115.25
2014-01-09,112.65
2014-01-10,110.55
2014-01-13,110.0
2014-01-14,109.4
2014-01-15,110.85
2014-01-16,112.95
2014-01-17,111.3
2014-01-20,112.1
2014-01-21,113.0
2014-01-22,115.2
2014-01-23,114.3
2014-01-24,114.0
2014-01-27,111.1
2014-01-28,113.8
2014-01-29,111.75
2014-01-30,108.1
2014-01-31,109.55
2014-02-03,103.45
2014-02-04,102.45
2014-02-05,104.25
2014-02-06,105.75
2014-02-07,106.4
2014-02-10,106.8
2014-02-11,104.55
2014-02-12,103.5
2014-02-13,100.2
2014-02-14,99.9
2014-02-17,98.5
2014-02-18,99.3
2014-02-19,98.85
2014-02-20,97.35
2014-02-21,97.65
2014-02-24,97.45
2014-02-25,98.8
2014-02-26,98.4
2014-02-28,105.35
2014-03-03,105.6
2014-03-04,113.6
2014-03-05,115.75
2014-03-06,120.8
2014-03-07,124.55
2014-03-10,121.95
2014-03-11,117.4
2014-03-12,114.75
2014-03-13,115.65
2014-03-14,115.2
2014-03-18,114.85
2014-03-19,120.05
2014-03-20,119.65
2014-03-21,123.5
2014-03-22,121.2
2014-03-24,121.6
2014-03-25,120.75
2014-03-26,125.4
2014-03-27,125.4
2014-03-28,130.9
2014-03-31,141.75
2014-04-01,138.2
2014-04-02,136.0
2014-04-03,137.15
2014-04-04,137.65
2014-04-07,137.35
2014-04-09,142.9
2014-04-10,142.5
2014-04-11,140.7
2014-04-15,134.05
2014-04-16,135.45
2014-04-17,141.45
2014-04-21,143.5
2014-04-22,144.85
2014-04-23,145.15
2014-04-25,143.75
2014-04-28,141.25
2014-04-29,137.2
2014-04-30,134.3
2014-05-02,131.65
2014-05-05,138.9
2014-05-06,138.7
2014-05-07,135.2
2014-05-08,136.75
2014-05-09,144.1
2014-05-12,143.4
2014-05-13,142.2
2014-05-14,141.2
2014-05-15,138.5
2014-05-16,141.2
2014-05-19,152.05
2014-05-20,156.2
2014-05-21,159.7
2014-05-22,155.1
2014-05-23,152.05
2014-05-26,147.1
2014-05-27,149.65
2014-05-28,147.2
2014-05-29,149.3
2014-05-30,148.0
2014-06-02,150.05
2014-06-03,155.2
2014-06-04,160.7
2014-06-05,169.85
2014-06-06,169.25
2014-06-09,169.6
2014-06-10,169.75
2014-06-11,162.65
2014-06-12,169.25
2014-06-13,162.35
2014-06-16,161.2
2014-06-17,162.65
2014-06-18,166.8
2014-06-19,167.75
2014-06-20,163.8
2014-06-23,165.3
2014-06-24,166.8
2014-06-25,166.7
2014-06-26,165.25
2014-06-27,160.9
2014-06-30,164.2
2014-07-01,175.25
2014-07-02,178.25
2014-07-03,173.75
2014-07-04,173.25
2014-07-07,174.5
2014-07-08,169.0
2014-07-09,170.55
2014-07-10,176.25
2014-07-11,166.75
2014-07-14,173.4
2014-07-15,174.7
2014-07-16,182.3
2014-07-17,188.65
2014-07-18,184.6
2014-07-21,183.85
2014-07-22,188.25
2014-07-23,193.75
2014-07-24,198.0
2014-07-25,191.8
2014-07-28,187.8
2014-07-30,192.6
2014-07-31,191.7
2014-08-01,184.3
2014-08-04,190.9
2014-08-05,195.65
2014-08-06,191.75
2014-08-07,189.1
2014-08-08,183.95
2014-08-11,185.65
2014-08-12,185.4
2014-08-13,180.05
2014-08-14,178.6
2014-08-18,182.25
2014-08-19,180.85
2014-08-20,180.35
2014-08-21,177.9
2014-08-22,182.5
2014-08-25,164.85
2014-08-26,170.5
2014-08-27,172.3
2014-08-28,170.1
2014-09-01,176.15
2014-09-02,174.85
2014-09-03,175.1
2014-09-04,169.5
2014-09-05,167.7
2014-09-08,173.45
2014-09-09,172.9
2014-09-10,172.9
2014-09-11,173.0
2014-09-12,168.6
2014-09-15,163.6
2014-09-16,160.35
2014-09-17,160.65
2014-09-18,163.0
2014-09-19,164.3
2014-09-22,162.2
2014-09-23,157.15
2014-09-24,156.1
2014-09-25,149.15
2014-09-26,157.25
2014-09-29,159.7
2014-09-30,156.75
2014-10-01,155.25
2014-10-07,148.25
2014-10-08,148.8
2014-10-09,157.85
2014-10-10,150.15
2014-10-13,151.1
2014-10-14,151.0
2014-10-16,142.4
2014-10-17,139.45
2014-10-20,146.5
2014-10-21,147.9
2014-10-22,148.45
2014-10-23,149.25
2014-10-27,147.35
2014-10-28,147.7
2014-10-29,156.9
2014-10-30,160.35
2014-10-31,163.7
2014-11-03,163.55
2014-11-05,156.5
2014-11-07,156.1
2014-11-10,152.0
2014-11-11,151.25
2014-11-12,151.3
2014-11-13,151.9
2014-11-14,157.3
