Date,PTC
2013-01-01,75.85
2013-01-02,76.45
2013-01-03,77.5
2013-01-04,78.1
2013-01-07,78.55
2013-01-08,77.55
2013-01-09,79.2
2013-01-10,78.8
2013-01-11,76.3
2013-01-14,78.95
2013-01-15,78.6
2013-01-16,76.7
2013-01-17,79.15
2013-01-18,79.5
2013-01-21,80.0
2013-01-22,78.65
2013-01-23,78.65
2013-01-24,77.1
2013-01-25,78.45
2013-01-28,78.8
2013-01-29,78.85
2013-01-30,77.5
2013-01-31,76.4
2013-02-01,74.0
2013-02-04,74.4
2013-02-05,73.9
2013-02-06,73.4
2013-02-07,71.7
2013-02-08,70.05
2013-02-11,72.0
2013-02-12,71.3
2013-02-13,70.45
2013-02-14,70.25
2013-02-15,68.7
2013-02-18,69.3
2013-02-19,70.35
2013-02-20,69.3
2013-02-21,67.95
2013-02-22,69.0
2013-02-25,68.1
2013-02-26,67.05
2013-02-27,70.1
2013-02-28,65.4
2013-03-01,64.95
2013-03-04,62.15
2013-03-05,63.2
2013-03-06,64.95
2013-03-07,66.0
2013-03-08,66.05
2013-03-11,66.4
2013-03-12,65.35
2013-03-13,64.25
2013-03-14,64.35
2013-03-15,63.15
2013-03-18,61.5
2013-03-19,58.4
2013-03-20,56.45
2013-03-21,54.95
2013-03-22,55.15
2013-03-25,55.75
2013-03-26,57.65
2013-03-28,59.95
2013-04-01,59.8
2013-04-02,61.25
2013-04-03,60.95
2013-04-04,61.6
2013-04-05,60.3
2013-04-08,60.55
2013-04-09,60.95
2013-04-10,59.9
2013-04-11,58.4
2013-04-12,58.85
2013-04-15,58.2
2013-04-16,59.55
2013-04-17,58.35
2013-04-18,58.35
2013-04-22,60.65
2013-04-23,59.5
2013-04-25,61.2
2013-04-26,60.3
2013-04-29,59.9
2013-04-30,59.95
2013-05-02,60.05
2013-05-03,59.0
2013-05-06,58.85
2013-05-07,60.6
2013-05-08,62.2
2013-05-09,61.6
2013-05-10,60.25
2013-05-11,60.85
2013-05-13,59.25
2013-05-14,61.95
2013-05-15,62.7
2013-05-16,63.3
2013-05-17,62.7
2013-05-20,60.3
2013-05-21,58.35
2013-05-22,58.1
2013-05-23,56.25
2013-05-24,57.5
2013-05-27,57.15
2013-05-28,58.05
2013-05-29,57.15
2013-05-30,57.2
2013-05-31,55.6
2013-06-03,55.2
2013-06-04,56.5
2013-06-05,57.75
2013-06-06,57.75
2013-06-07,56.15
2013-06-10,54.5
2013-06-11,52.6
2013-06-12,53.15
2013-06-13,51.05
2013-06-14,52.5
2013-06-17,52.8
2013-06-18,52.3
2013-06-19,52.25
2013-06-20,50.05
2013-06-21,48.15
2013-06-24,45.8
2013-06-25,46.4
2013-06-26,45.9
2013-06-27,45.25
2013-06-28,49.2
2013-07-01,50.75
2013-07-02,49.2
2013-07-03,47.35
2013-07-04,49.35
2013-07-05,48.35
2013-07-08,48.85
2013-07-09,49.25
2013-07-10,48.85
2013-07-11,49.2
2013-07-12,48.0
2013-07-15,47.25
2013-07-16,47.45
2013-07-17,48.15
2013-07-18,49.55
2013-07-19,48.85
2013-07-22,48.9
2013-07-23,49.3
2013-07-24,47.7
2013-07-25,47.05
2013-07-26,48.15
2013-07-29,48.0
2013-07-30,46.4
2013-07-31,44.65
2013-08-01,42.2
2013-08-02,39.95
2013-08-05,40.3
2013-08-06,39.7
2013-08-07,40.0
2013-08-08,41.85
2013-08-12,42.15
2013-08-13,43.5
2013-08-14,45.8
2013-08-16,43.2
2013-08-19,42.35
2013-08-20,41.55
