Date,TCIFINANCE
2013-01-01,32.8
2013-01-02,32.45
2013-01-03,32.4
2013-01-04,33.35
2013-01-07,33.1
2013-01-08,32.5
2013-01-09,32.8
2013-01-10,32.6
2013-01-11,33.2
2013-01-14,33.85
2013-01-15,31.2
2013-01-16,29.85
2013-01-17,33.8
2013-01-18,32.85
2013-01-21,32.8
2013-01-22,32.0
2013-01-23,30.6
2013-01-24,29.95
2013-01-25,29.55
2013-01-28,30.9
2013-01-29,30.2
2013-01-30,35.65
2013-01-31,37.3
2013-02-01,34.7
2013-02-04,31.9
2013-02-05,31.95
2013-02-06,30.9
2013-02-07,27.95
2013-02-08,32.7
2013-02-11,32.0
2013-02-12,31.5
2013-02-13,30.5
2013-02-14,29.25
2013-02-15,28.0
2013-02-18,28.4
2013-02-19,27.15
2013-02-20,28.85
2013-02-21,30.65
2013-02-22,29.9
2013-02-25,29.2
2013-02-26,29.65
2013-02-27,30.6
2013-02-28,31.6
2013-03-01,30.45
2013-03-04,30.7
2013-03-05,29.2
2013-03-06,30.2
2013-03-07,30.35
2013-03-08,28.8
2013-03-11,29.6
2013-03-12,29.95
2013-03-13,29.0
2013-03-14,29.45
2013-03-15,29.25
2013-03-18,28.0
2013-03-19,27.15
2013-03-20,25.2
2013-03-21,25.9
2013-03-22,24.25
2013-03-25,22.7
2013-03-26,25.1
2013-03-28,26.7
2013-04-01,30.3
2013-04-02,29.2
2013-04-03,29.05
2013-04-04,30.15
2013-04-05,28.6
2013-04-08,28.9
2013-04-09,26.5
2013-04-10,27.05
2013-04-11,27.65
2013-04-12,28.0
2013-04-15,29.3
2013-04-16,28.85
2013-04-17,28.95
2013-04-18,29.4
2013-04-22,30.65
2013-04-23,31.4
2013-04-25,30.8
2013-04-26,31.0
2013-04-29,32.05
2013-04-30,32.25
2013-05-02,33.7
2013-05-03,34.95
2013-05-06,35.0
2013-05-07,35.0
2013-05-08,34.75
2013-05-09,34.7
2013-05-10,34.7
2013-05-11,35.25
2013-05-13,33.1
2013-05-14,33.65
2013-05-15,33.1
2013-05-16,33.55
2013-05-17,33.75
2013-05-20,32.45
2013-05-21,31.75
2013-05-22,31.45
2013-05-23,33.5
2013-05-24,32.65
2013-05-27,32.95
2013-05-28,30.4
2013-05-29,30.75
2013-05-30,30.55
2013-05-31,30.0
2013-06-03,29.8
2013-06-04,29.8
2013-06-05,28.3
2013-06-06,27.55
2013-06-07,28.65
2013-06-10,27.35
2013-06-11,29.05
2013-06-12,27.5
2013-06-13,27.75
2013-06-14,27.45
2013-06-17,27.5
2013-06-18,26.25
2013-06-19,26.2
2013-06-20,26.15
2013-06-21,24.85
2013-06-24,24.6
2013-06-25,22.6
2013-06-26,22.5
2013-06-27,22.65
2013-06-28,25.2
