Date,IIFL
2013-01-01,87.85
2013-01-02,87.6
2013-01-03,88.7
2013-01-04,87.4
2013-01-07,88.8
2013-01-08,88.15
2013-01-09,87.2
2013-01-10,85.65
2013-01-11,83.95
2013-01-14,84.95
2013-01-15,84.65
2013-01-16,83.1
2013-01-17,84.1
2013-01-18,85.7
2013-01-21,84.8
2013-01-22,80.8
2013-01-23,80.8
2013-01-24,76.3
2013-01-25,79.85
2013-01-28,83.1
2013-01-29,83.3
2013-01-30,84.0
2013-01-31,83.75
2013-02-01,84.15
2013-02-04,82.0
2013-02-05,79.3
2013-02-06,79.7
2013-02-07,78.35
2013-02-08,77.85
2013-02-11,78.5
2013-02-12,77.4
2013-02-13,79.4
2013-02-14,78.3
2013-02-15,77.05
2013-02-18,75.1
2013-02-19,75.5
2013-02-20,75.8
2013-02-21,72.9
2013-02-22,71.8
2013-02-25,69.75
2013-02-26,66.1
2013-02-27,66.95
2013-02-28,65.7
2013-03-01,63.2
2013-03-04,61.25
2013-03-05,63.65
2013-03-06,66.05
2013-03-07,65.95
2013-03-08,67.65
2013-03-11,68.5
2013-03-12,68.15
2013-03-13,65.75
2013-03-14,64.8
2013-03-15,62.5
2013-03-18,62.05
2013-03-19,60.6
2013-03-20,59.9
2013-03-21,57.45
2013-03-22,58.1
2013-03-25,55.7
2013-03-26,56.55
2013-03-28,60.65
2013-04-01,62.4
2013-04-02,63.8
2013-04-03,60.6
2013-04-04,58.5
2013-04-05,59.95
2013-04-08,59.05
2013-04-09,58.55
2013-04-10,57.85
2013-04-11,57.6
2013-04-12,57.25
2013-04-15,55.6
2013-04-16,58.25
2013-04-17,60.1
2013-04-18,61.0
2013-04-22,60.8
2013-04-23,60.5
2013-04-25,59.95
2013-04-26,60.6
2013-04-29,61.1
2013-04-30,62.0
2013-05-02,63.05
2013-05-03,63.3
2013-05-06,66.45
2013-05-07,65.9
2013-05-08,75.05
2013-05-09,72.5
2013-05-10,73.75
2013-05-11,70.25
2013-05-13,64.65
2013-05-14,64.2
2013-05-15,68.85
2013-05-16,70.4
2013-05-17,72.55
2013-05-20,69.95
2013-05-21,67.75
2013-05-22,66.1
2013-05-23,64.25
2013-05-24,64.95
2013-05-27,67.25
