Date,ENGINERSIN
2013-01-01,229.2
2013-01-02,231.8
2013-01-03,235.65
2013-01-04,234.9
2013-01-07,239.6
2013-01-08,238.7
2013-01-09,239.3
2013-01-10,228.5
2013-01-11,229.3
2013-01-14,230.1
2013-01-15,229.6
2013-01-16,229.1
2013-01-17,230.25
2013-01-18,229.55
2013-01-21,228.35
2013-01-22,230.35
2013-01-23,227.4
2013-01-24,223.8
2013-01-25,223.85
2013-01-28,223.4
2013-01-29,225.1
2013-01-30,221.0
2013-01-31,220.9
2013-02-01,221.65
2013-02-04,220.1
2013-02-05,217.45
2013-02-06,213.65
2013-02-07,211.9
2013-02-08,208.1
2013-02-11,210.2
2013-02-12,207.3
2013-02-13,207.65
2013-02-14,200.0
2013-02-15,195.7
2013-02-18,199.8
2013-02-19,203.9
2013-02-20,204.4
2013-02-21,200.2
2013-02-22,197.4
2013-02-25,193.2
2013-02-26,193.5
2013-02-27,193.35
2013-02-28,190.8
2013-03-01,190.75
2013-03-04,187.95
2013-03-05,185.7
2013-03-06,185.6
2013-03-07,184.75
2013-03-08,185.0
2013-03-11,184.65
2013-03-12,184.4
2013-03-13,181.55
2013-03-14,181.75
2013-03-15,179.3
2013-03-18,170.45
2013-03-19,165.95
2013-03-20,158.35
2013-03-21,159.9
2013-03-22,153.45
2013-03-25,150.75
2013-03-26,152.9
2013-03-28,154.65
2013-04-01,153.6
2013-04-02,153.9
2013-04-03,157.5
2013-04-04,159.8
2013-04-05,155.4
2013-04-08,155.2
2013-04-09,153.5
2013-04-10,154.25
2013-04-11,154.4
2013-04-12,153.05
2013-04-15,156.55
2013-04-16,161.2
2013-04-17,164.8
2013-04-18,173.45
2013-04-22,188.2
2013-04-23,183.55
2013-04-25,178.45
2013-04-26,177.1
2013-04-29,179.95
2013-04-30,173.3
2013-05-02,180.3
2013-05-03,177.35
2013-05-06,179.95
2013-05-07,181.2
2013-05-08,184.75
2013-05-09,186.0
2013-05-10,185.9
2013-05-11,185.35
2013-05-13,181.6
2013-05-14,182.0
2013-05-15,183.2
2013-05-16,180.0
2013-05-17,182.85
2013-05-20,180.55
2013-05-21,175.25
2013-05-22,172.65
2013-05-23,166.7
2013-05-24,165.95
2013-05-27,167.15
2013-05-28,170.95
2013-05-29,170.45
2013-05-30,164.75
2013-05-31,161.1
