Date,DENORA
2013-03-01,184.3
2013-03-04,175.55
2013-03-05,176.7
2013-03-06,177.95
2013-03-07,178.55
2013-03-08,182.6
2013-03-11,173.5
2013-03-12,167.55
2013-03-13,166.7
2013-03-14,172.6
2013-03-15,171.35
2013-03-18,167.05
2013-03-19,159.5
2013-03-20,151.6
2013-03-21,148.9
2013-03-22,151.0
2013-03-25,153.05
2013-03-26,151.1
2013-03-28,153.9
2013-04-01,158.0
2013-04-02,164.4
2013-04-03,158.35
2013-04-04,154.0
2013-04-05,151.4
2013-04-08,152.0
2013-04-12,155.8
2013-04-15,150.2
2013-04-16,154.0
2013-04-17,157.7
2013-04-18,159.7
2013-04-22,161.0
2013-04-23,160.0
2013-04-25,161.0
2013-04-29,163.9
2013-04-30,165.0
2013-05-02,161.0
2013-05-09,160.0
2013-05-10,155.0
2013-05-11,152.0
2013-05-13,155.3
2013-05-14,152.0
2013-05-15,146.0
2013-05-16,144.25
2013-05-23,146.5
2013-05-27,136.0
2013-05-28,139.75
2013-05-29,139.5
2013-05-30,140.0
2013-05-31,140.0
2013-06-04,140.0
2013-06-06,140.0
2013-06-07,143.1
2013-06-10,142.85
2013-06-19,136.8
2013-06-20,128.25
2013-06-21,128.25
2013-06-26,118.5
2013-06-27,119.0
2013-06-28,122.25
2013-07-01,122.0
2013-07-02,125.0
2013-07-03,114.55
2013-07-04,125.8
2013-07-09,124.0
2013-07-15,125.0
2013-07-17,126.0
2013-07-25,125.0
2013-07-26,126.0
2013-07-29,125.0
2013-08-01,108.0
2013-08-05,100.25
2013-08-06,102.0
2013-08-08,100.0
2013-08-13,100.1
2013-08-14,103.0
2013-08-16,97.0
2013-08-19,100.0
2013-08-20,101.0
2013-08-22,100.0
2013-08-23,100.0
2013-08-27,94.0
2013-08-28,97.0
2013-08-29,100.0
2013-08-30,93.0
2013-09-03,93.0
2013-09-04,86.5
2013-09-05,90.0
2013-09-06,92.05
2013-09-10,94.0
2013-09-12,103.7
2013-09-13,100.0
2013-09-16,99.95
