Date,RKFORGE
2013-01-01,110.0
2013-01-02,110.0
2013-01-03,107.05
2013-01-04,108.6
2013-01-07,109.0
2013-01-08,110.95
2013-01-09,110.5
2013-01-10,110.95
2013-01-11,107.45
2013-01-14,107.25
2013-01-15,107.35
2013-01-16,105.95
2013-01-17,104.5
2013-01-18,105.15
2013-01-21,106.0
2013-01-22,105.2
2013-01-23,103.6
2013-01-24,104.15
2013-01-25,100.15
2013-01-28,99.75
2013-01-29,99.95
2013-01-30,98.0
2013-01-31,102.0
2013-02-01,104.65
2013-02-04,100.6
2013-02-05,102.7
2013-02-06,103.0
2013-02-07,102.4
2013-02-08,108.1
2013-02-11,98.8
2013-02-12,101.2
2013-02-13,99.45
2013-02-14,99.45
2013-02-15,95.0
2013-02-18,98.2
2013-02-19,100.0
2013-02-20,99.9
2013-02-21,97.05
2013-02-22,94.4
2013-02-25,93.8
2013-02-26,92.0
2013-02-27,90.0
2013-02-28,87.95
2013-03-01,88.0
2013-03-04,79.75
2013-03-05,74.8
2013-03-06,82.35
2013-03-07,85.0
2013-03-08,90.45
2013-03-11,89.7
2013-03-12,83.9
2013-03-13,82.6
2013-03-14,78.05
2013-03-15,79.85
2013-03-18,77.8
2013-03-19,79.05
2013-03-20,77.7
2013-03-21,75.45
2013-03-22,70.95
2013-03-25,71.9
2013-03-26,71.9
2013-03-28,69.15
2013-04-01,70.6
2013-04-02,70.4
2013-04-03,70.15
2013-04-04,67.35
2013-04-05,65.8
2013-04-08,71.3
2013-04-09,71.95
2013-04-10,74.05
2013-04-11,70.85
2013-04-12,74.0
2013-04-15,70.8
2013-04-16,73.6
2013-04-17,71.15
2013-04-18,72.05
2013-04-22,83.1
2013-04-23,86.8
2013-04-25,91.4
2013-04-26,96.9
2013-04-29,100.1
2013-04-30,100.0
2013-05-02,108.35
2013-05-03,109.95
2013-05-06,115.35
2013-05-07,116.0
2013-05-08,113.05
2013-05-09,110.2
2013-05-10,108.15
2013-05-11,108.1
2013-05-13,106.0
2013-05-14,104.15
2013-05-15,105.0
2013-05-16,105.1
2013-05-17,103.35
2013-05-20,102.0
2013-05-21,105.9
2013-05-22,99.05
2013-05-23,98.0
2013-05-24,97.9
2013-05-27,93.35
2013-05-28,90.1
2013-05-29,84.3
2013-05-30,82.5
2013-05-31,81.5
2013-06-03,84.0
2013-06-04,82.35
2013-06-05,78.0
2013-06-06,75.65
2013-06-07,74.1
2013-06-10,74.9
2013-06-11,75.0
2013-06-12,74.1
2013-06-13,75.0
2013-06-14,75.0
2013-06-17,75.0
2013-06-18,75.0
2013-06-19,73.95
2013-06-20,72.0
2013-06-21,67.0
2013-06-24,66.0
2013-06-25,62.0
2013-06-26,68.8
2013-06-27,69.7
2013-06-28,68.75
2013-07-01,73.1
2013-07-02,68.5
2013-07-03,66.5
2013-07-04,69.9
2013-07-05,69.45
2013-07-08,70.0
2013-07-09,69.95
2013-07-10,69.95
2013-07-11,68.5
2013-07-12,66.25
2013-07-15,66.85
2013-07-16,66.8
2013-07-17,64.1
2013-07-18,66.85
2013-07-19,64.8
2013-07-22,67.15
2013-07-23,69.45
2013-07-24,66.05
2013-07-25,66.45
2013-07-26,67.4
2013-07-29,65.15
2013-07-30,64.25
2013-07-31,64.0
2013-08-01,64.5
2013-08-02,63.2
2013-08-05,65.05
2013-08-06,65.1
2013-08-07,67.9
2013-08-08,68.9
2013-08-12,67.5
2013-08-13,65.45
2013-08-14,67.6
2013-08-16,61.1
2013-08-19,59.55
2013-08-20,55.05
2013-08-21,60.05
2013-08-22,61.95
2013-08-23,68.95
2013-08-26,65.25
2013-08-28,64.2
2013-08-29,64.25
2013-08-30,64.0
2013-09-02,62.5
2013-09-03,59.15
2013-09-04,61.05
2013-09-05,60.7
2013-09-06,58.1
2013-09-10,64.95
2013-09-11,64.85
2013-09-12,64.05
2013-09-13,62.6
2013-09-17,66.4
2013-09-18,65.0
2013-09-19,64.0
2013-09-20,65.0
2013-09-23,63.6
2013-09-24,63.0
2013-09-25,60.85
2013-09-26,59.75
2013-09-27,61.05
2013-09-30,59.25
2013-10-01,61.7
2013-10-03,64.85
2013-10-04,62.6
2013-10-07,62.0
2013-10-08,66.6
2013-10-09,69.4
2013-10-10,70.0
2013-10-11,69.0
2013-10-18,72.8
2013-10-21,73.5
2013-10-22,76.0
2013-10-23,75.0
2013-10-24,75.0
2013-10-25,76.0
2013-10-29,68.05
2013-10-30,62.0
2013-10-31,69.9
2013-11-01,74.9
2013-11-03,74.8
2013-11-06,80.0
2013-11-07,90.0
2013-11-08,90.0
2013-11-11,80.0
2013-11-12,80.0
2013-11-13,85.0
2013-11-14,85.0
2013-11-18,94.0
2013-11-19,75.85
2013-11-20,70.0
2013-11-21,75.0
2013-11-22,71.0
2013-11-26,66.0
2014-11-24,295.95
2014-11-25,299.8
2014-11-26,295.4
2014-11-27,295.75
2014-11-28,303.85
2014-12-01,296.75
2014-12-02,295.1
2014-12-03,303.1
2014-12-04,318.1
2014-12-05,333.95
2014-12-08,326.3
2014-12-09,319.35
2014-12-10,325.15
2014-12-11,327.8
2014-12-12,313.0
2014-12-15,308.15
2014-12-16,300.85
2014-12-17,299.3
2014-12-18,310.75
2014-12-19,311.25
2014-12-22,311.15
2014-12-23,308.6
2014-12-24,310.15
2014-12-26,322.3
2014-12-29,321.55
2014-12-30,322.55
2014-12-31,333.65
2015-01-01,340.35
2015-01-02,346.45
2015-01-05,355.9
2015-01-06,341.55
2015-01-07,337.1
2015-01-08,350.6
2015-01-09,375.1
2015-01-12,388.4
2015-01-13,398.35
2015-01-14,390.25
2015-01-15,390.15
2015-01-16,394.5
2015-01-19,410.4
2015-01-20,404.9
2015-01-21,413.5
2015-01-22,426.0
2015-01-23,425.7
2015-01-27,455.45
2015-01-28,450.35
2015-01-29,452.85
2015-01-30,451.65
2015-02-02,449.95
2015-02-03,426.65
2015-02-04,430.05
2015-02-05,420.9
2015-02-06,407.9
2015-02-09,399.3
2015-02-10,409.95
2015-02-11,410.05
2015-02-12,414.05
2015-02-13,410.35
2015-02-16,417.95
2015-02-18,436.0
2015-02-19,445.35
2015-02-20,450.35
2015-02-23,454.0
2015-02-24,442.55
2015-02-25,448.65
2015-02-26,437.45
2015-02-27,445.4
2015-02-28,451.5
2015-03-02,445.2
2015-03-03,450.15
2015-03-04,443.5
2015-03-05,445.85
2015-03-09,440.7
2015-03-10,439.8
2015-03-11,437.6
2015-03-12,439.4
2015-03-13,422.25
2015-03-16,421.15
2015-03-17,418.2
2015-03-18,417.95
2015-03-19,418.0
2015-03-20,405.3
2015-03-23,402.65
2015-03-24,402.9
2015-03-25,412.15
2015-03-26,405.1
2015-03-27,398.7
2015-03-30,419.95
2015-03-31,428.05
2015-04-01,438.75
2015-04-06,448.5
2015-04-07,477.15
2015-04-08,495.5
2015-04-09,509.6
2015-04-10,525.5
2015-04-13,572.9
2015-04-15,551.8
2015-04-16,542.05
2015-04-17,525.2
2015-04-20,509.0
2015-04-21,518.45
2015-04-22,514.15
2015-04-23,536.8
2015-04-24,516.8
2015-04-27,503.2
2015-04-28,513.85
2015-04-29,507.5
2015-04-30,505.7
2015-05-04,526.45
2015-05-05,544.5
2015-05-06,528.4
2015-05-07,520.45
2015-05-08,530.15
2015-05-11,567.8
2015-05-12,543.5
2015-05-13,582.8
2015-05-14,579.6
2015-05-15,595.4
2015-05-18,581.2
2015-05-19,578.35
2015-05-20,578.4
2015-05-21,573.2
2015-05-22,570.3
2015-05-25,556.5
2015-05-26,558.3
2015-05-27,540.65
2015-05-28,551.55
2015-05-29,559.95
2015-06-01,564.65
2015-06-02,566.85
2015-06-03,537.15
2015-06-04,532.05
2015-06-05,531.2
2015-06-08,514.15
2015-06-09,516.65
2015-06-10,526.45
2015-06-11,507.85
2015-06-12,505.6
2015-06-15,512.85
2015-06-16,505.3
2015-06-17,528.65
2015-06-18,532.25
2015-06-19,540.95
2015-06-22,552.45
2015-06-23,591.95
2015-06-24,636.75
2015-06-25,662.7
2015-06-26,645.2
2015-06-29,642.35
2015-06-30,650.5
2015-07-01,650.0
2015-07-02,661.1
2015-07-03,701.75
2015-07-06,724.35
2015-07-07,702.4
2015-07-08,718.6
2015-07-09,711.8
2015-07-10,712.8
2015-07-13,713.35
2015-07-14,712.35
2015-07-15,717.95
2015-07-16,747.5
2015-07-17,747.25
2015-07-20,742.3
2015-07-21,714.85
2015-07-22,716.25
2015-07-23,730.4
2015-07-24,716.4
2015-07-27,694.2
2015-07-28,678.2
2015-07-29,682.25
2015-07-30,679.6
