Date,WALCHANNAG
2013-01-01,87.45
2013-01-02,88.7
2013-01-03,93.75
2013-01-04,91.85
2013-01-07,90.95
2013-01-08,90.05
2013-01-09,89.05
2013-01-10,88.5
2013-01-11,85.6
2013-01-14,85.65
2013-01-15,86.85
2013-01-16,83.15
2013-01-17,82.75
2013-01-18,82.7
2013-01-21,82.7
2013-01-22,81.15
2013-01-23,79.15
2013-01-24,76.2
2013-01-25,77.75
2013-01-28,79.15
2013-01-29,77.35
2013-01-30,77.15
2013-01-31,76.25
2013-02-01,77.75
2013-02-04,76.1
2013-02-05,74.25
2013-02-06,74.35
2013-02-07,72.5
2013-02-08,72.35
2013-02-11,72.25
2013-02-12,70.0
2013-02-13,69.75
2013-02-14,67.0
2013-02-15,65.95
2013-02-18,67.45
2013-02-19,69.4
2013-02-20,70.25
2013-02-21,67.75
2013-02-22,67.8
2013-02-25,65.15
2013-02-26,63.85
2013-02-27,64.45
2013-02-28,62.4
2013-03-01,61.8
2013-03-04,60.05
2013-03-05,62.2
2013-03-06,63.95
2013-03-07,63.4
2013-03-08,64.8
2013-03-11,64.95
2013-03-12,64.4
2013-03-13,62.65
2013-03-14,63.2
2013-03-15,62.85
2013-03-18,61.75
2013-03-19,59.3
2013-03-20,56.0
2013-03-21,55.4
2013-03-22,52.95
2013-03-25,50.45
2013-03-26,50.55
2013-03-28,53.8
2013-04-01,54.7
2013-04-02,64.9
2013-04-03,60.05
2013-04-04,57.3
2013-04-05,59.2
2013-04-08,59.4
2013-04-09,57.5
2013-04-10,57.95
2013-04-11,59.65
2013-04-12,58.9
2013-04-15,60.25
2013-04-16,61.05
2013-04-17,61.8
2013-04-18,62.3
2013-04-22,64.75
2013-04-23,63.7
2013-04-25,63.95
2013-04-26,66.8
2013-04-29,67.05
2013-04-30,64.55
2013-05-02,64.45
2013-05-03,63.45
2013-05-06,64.35
2013-05-07,65.6
2013-05-08,64.95
2013-05-09,64.95
2013-05-10,68.1
2013-05-11,70.65
2013-05-13,71.5
2013-05-14,67.5
2013-05-15,68.4
2013-05-16,68.75
2013-05-17,68.15
2013-05-20,67.8
2013-05-21,66.8
2013-05-22,65.3
2013-05-23,61.7
2013-05-24,60.9
2013-05-27,61.9
2013-05-28,62.45
2013-05-29,62.15
2013-05-30,60.9
2013-05-31,59.2
2013-06-03,57.65
2013-06-04,57.9
2013-06-05,57.65
2013-06-06,58.25
2013-06-07,58.35
2013-06-10,56.2
2013-06-11,55.25
2013-06-12,59.9
2013-06-13,60.75
2013-06-14,62.25
2013-06-17,60.55
2013-06-18,60.55
2013-06-19,60.4
2013-06-20,57.45
2013-06-21,56.35
2013-06-24,55.3
2013-06-25,54.15
2013-06-26,54.0
