Date,BLKASHYAP
2013-01-01,11.95
2013-01-02,11.85
2013-01-03,11.95
2013-03-01,8.4
2013-03-04,8.15
2013-03-05,8.25
2013-03-06,8.55
2013-03-07,8.95
2013-03-08,8.75
2013-03-11,8.7
2013-03-12,8.45
2013-03-13,8.55
2013-03-14,8.55
2013-03-15,8.5
2013-03-18,8.3
2013-03-19,7.95
2013-03-20,7.2
2013-03-21,6.75
2013-03-22,6.45
2013-03-25,6.7
2013-03-26,7.0
2013-03-28,7.35
2013-04-01,7.5
2013-04-02,7.85
2013-04-03,7.75
2013-04-04,7.55
2013-04-05,7.25
2013-04-08,7.35
2013-04-09,7.15
2013-04-10,7.1
2013-04-11,7.25
2013-04-12,6.95
2013-04-15,6.9
2013-04-16,6.9
2013-04-17,7.05
2013-04-18,7.4
2013-04-22,7.75
2013-04-23,8.1
2013-04-25,7.7
2013-04-26,7.5
2013-04-29,7.55
2013-04-30,7.5
2013-05-02,7.4
2013-05-03,7.1
2013-05-06,7.0
2013-05-07,7.35
2013-05-08,7.15
2013-05-09,7.15
2013-05-10,7.05
2013-05-11,7.3
2013-05-13,7.05
2013-05-14,6.95
2013-05-15,7.0
2013-05-16,7.0
2013-05-17,6.9
2013-05-20,7.0
2013-05-21,6.7
2013-05-22,6.75
2013-05-23,6.25
2013-05-24,6.35
2013-05-27,6.85
2013-05-28,6.7
2013-05-29,6.65
2013-05-30,6.45
2013-05-31,6.15
2013-06-03,6.15
2013-06-04,6.25
2013-06-05,6.2
2013-06-06,6.1
2013-06-07,5.95
2013-06-10,5.85
2013-06-11,5.85
2013-06-12,5.65
2013-06-13,5.3
2013-06-14,5.45
2013-06-17,5.75
2013-06-18,5.7
2013-06-19,5.85
2013-06-20,5.6
2013-06-21,5.55
2013-06-24,5.3
2013-06-25,5.4
2013-06-26,5.25
2013-06-27,5.2
2013-06-28,5.5
2013-07-01,5.95
2013-07-02,5.75
2013-07-03,5.2
2013-07-04,4.8
2013-07-05,4.7
2013-07-08,5.0
2013-07-09,4.9
2013-07-10,5.0
2013-07-11,5.15
2013-07-12,5.15
2013-07-15,5.25
2013-07-16,5.05
2013-07-17,5.25
2013-07-18,5.45
2013-07-19,5.2
2013-07-22,5.1
2013-07-23,5.1
2013-07-24,5.05
2013-07-25,5.0
2013-07-26,4.8
2013-07-29,4.95
2013-07-30,4.95
2013-07-31,4.75
2013-08-01,4.7
2013-08-02,4.55
2013-08-05,4.25
2013-08-06,5.0
2013-08-07,5.15
2013-08-08,5.65
2013-08-12,5.4
2013-08-13,5.4
2013-08-14,5.75
2013-08-16,5.8
2013-08-19,5.75
2013-08-20,5.85
2013-08-21,5.8
2013-08-22,5.9
2013-08-23,5.95
2013-08-26,5.9
2013-08-27,6.35
2013-08-28,5.95
2013-08-29,6.0
2013-08-30,5.8
2013-09-02,5.8
2013-09-03,5.85
2013-09-04,5.65
2013-09-05,5.5
2013-09-06,5.6
2013-09-10,5.75
2013-09-11,5.65
2013-09-12,5.6
2013-09-13,5.7
2013-09-16,5.65
2013-09-17,5.55
2013-09-18,5.65
2013-09-19,5.65
2013-09-20,5.75
2013-09-23,6.1
2013-09-24,6.55
2013-09-25,5.95
2013-09-26,5.95
2013-09-27,5.85
2013-09-30,5.75
2013-10-01,5.7
