Date,CERA
2013-01-01,407.4
2013-01-02,407.95
2013-01-03,429.7
2013-01-04,426.6
2013-01-07,420.9
2013-01-08,433.25
2013-01-09,439.7
2013-01-10,438.15
2013-01-11,423.45
2013-01-14,436.4
2013-01-15,442.55
2013-01-16,436.9
2013-01-17,445.55
2013-01-18,438.3
2013-01-21,431.3
2013-01-22,431.1
2013-01-23,434.0
2013-01-24,421.85
2013-01-25,422.65
2013-01-28,412.5
2013-01-29,410.6
2013-01-30,413.0
2013-01-31,418.95
2013-02-01,414.85
2013-02-04,414.55
2013-02-05,390.5
2013-02-06,409.2
2013-02-07,412.15
2013-02-08,399.9
2013-02-11,401.7
2013-02-12,405.45
2013-02-13,408.5
2013-02-14,412.0
2013-02-15,413.2
2013-02-18,415.0
2013-02-19,416.25
2013-02-20,415.85
2013-02-21,414.95
2013-02-22,416.4
2013-02-25,407.05
2013-02-26,411.95
2013-02-27,414.35
2013-02-28,413.1
2013-03-01,415.3
2013-03-04,417.7
2013-03-05,436.1
2013-03-06,447.25
2013-03-07,456.2
2013-03-08,451.35
2013-03-11,447.2
2013-03-12,450.55
2013-03-13,445.8
2013-03-14,456.8
2013-03-15,454.2
2013-03-18,457.0
2013-03-19,458.45
2013-03-20,453.05
2013-03-21,459.05
2013-03-22,446.4
2013-03-25,445.25
2013-03-26,446.0
2013-03-28,443.6
2013-04-01,449.25
2013-04-02,454.95
2013-04-03,454.85
2013-04-04,443.75
2013-04-05,443.0
2013-04-08,438.7
2013-04-09,439.05
2013-04-10,446.4
2013-04-11,441.45
2013-04-12,435.2
2013-04-15,436.85
2013-04-16,436.7
2013-04-17,436.2
2013-04-18,439.55
2013-04-22,438.0
2013-04-23,442.95
2013-04-25,441.9
2013-04-26,446.25
2013-04-29,451.85
2013-04-30,455.85
2013-05-02,458.65
2013-05-03,457.0
2013-05-06,458.2
2013-05-07,457.45
2013-05-08,454.0
2013-05-09,457.6
2013-05-10,452.4
2013-05-11,449.8
2013-05-13,452.3
2013-05-14,453.65
2013-05-15,455.0
2013-05-16,450.55
2013-05-17,450.8
2013-05-20,448.3
2013-05-21,452.45
2013-05-22,449.1
2013-05-23,445.45
2013-05-24,452.35
2013-05-27,457.95
2013-05-28,475.8
2013-05-29,488.05
2013-05-30,491.8
2013-05-31,496.0
2013-06-03,514.95
2013-06-04,511.95
2013-06-05,529.0
2013-06-06,548.25
2013-06-07,530.35
2013-06-10,522.7
2013-06-11,518.4
2013-06-12,523.4
2013-06-13,520.6
2013-06-14,520.8
2013-06-17,520.0
2013-06-18,520.1
2013-06-19,520.15
2013-06-20,515.85
2013-06-21,514.9
2013-06-24,497.5
2013-06-25,492.05
2013-06-26,494.95
2013-06-27,499.25
2013-06-28,494.2
2013-07-01,495.7
2013-07-02,495.05
2013-07-03,494.05
2013-07-04,499.85
2013-07-05,501.05
2013-07-08,535.4
2013-07-09,545.45
2013-07-10,545.0
2013-07-11,526.8
2013-07-12,503.75
2013-07-15,502.05
2013-07-16,502.6
2013-07-17,508.7
2013-07-18,508.95
2013-07-19,507.25
2013-07-22,520.0
2013-07-23,518.15
2013-07-24,513.25
2013-07-25,519.5
2013-07-26,510.65
2013-07-29,503.35
2013-07-30,500.75
2013-07-31,500.4
2013-08-01,512.3
2013-08-02,519.6
2013-08-05,519.5
2013-08-06,518.9
2013-08-07,511.45
2013-08-08,511.1
2013-08-12,511.8
2013-08-13,511.2
2013-08-14,518.45
2013-08-16,506.7
2013-08-19,507.8
2013-08-20,505.0
2013-08-21,504.7
2013-08-22,505.15
2013-08-23,508.9
2013-08-26,505.05
2013-08-27,493.4
2013-08-28,481.8
2013-08-29,478.0
2013-08-30,480.05
2013-09-02,481.15
