Date,BINDALAGRO
2013-01-01,32.05
2013-01-02,31.7
2013-01-03,31.55
2013-01-04,31.4
2013-01-07,31.3
2013-01-08,31.25
2013-01-09,32.1
2013-01-10,31.5
2013-01-11,30.7
2013-01-14,30.75
2013-01-15,30.45
2013-01-16,29.7
2013-01-17,29.65
2013-01-18,30.55
2013-01-21,30.6
2013-01-22,29.95
2013-01-23,30.0
2013-01-24,28.95
2013-01-25,28.7
2013-01-28,28.8
2013-01-29,28.4
2013-01-30,28.25
2013-01-31,28.2
2013-02-01,28.0
2013-02-04,28.05
2013-02-05,27.25
2013-02-06,26.9
2013-02-07,26.35
2013-02-08,25.85
2013-02-11,25.0
2013-02-12,24.85
2013-02-13,24.7
2013-02-14,23.95
2013-02-15,23.0
2013-02-18,23.25
2013-02-19,23.6
2013-02-20,23.8
2013-02-21,22.65
2013-02-22,22.5
2013-02-25,22.6
2013-02-26,21.4
2013-02-27,21.45
2013-02-28,20.85
2013-03-01,20.55
2013-03-04,19.05
2013-03-05,19.7
2013-03-06,22.6
2013-03-07,23.8
2013-03-08,23.4
2013-03-11,22.55
2013-03-12,22.65
2013-03-13,22.1
2013-03-14,21.75
2013-03-15,21.55
2013-03-18,20.7
2013-03-19,20.7
2013-03-20,20.2
2013-03-21,19.8
2013-03-22,19.1
2013-03-25,19.25
2013-03-26,19.3
2013-03-28,19.35
2013-04-01,21.2
2013-04-02,22.2
2013-04-03,21.25
2013-04-04,20.35
2013-04-05,20.55
2013-04-08,20.4
2013-04-09,20.1
2013-04-10,20.25
2013-04-11,20.4
2013-04-12,20.0
2013-04-15,20.1
2013-04-16,20.55
2013-04-17,20.2
2013-04-18,20.55
2013-04-22,20.4
2013-04-23,20.8
2013-04-25,20.45
2013-04-26,19.85
2013-04-29,19.85
2013-04-30,19.25
2013-05-02,19.1
2013-05-03,19.0
2013-05-06,19.1
2013-05-07,22.1
2013-05-08,21.1
2013-05-09,20.25
2013-05-10,22.05
2013-05-11,22.7
2013-05-13,21.75
2013-05-14,22.05
2013-05-15,21.9
2013-05-16,21.65
2013-05-17,21.8
2013-05-20,21.6
2013-05-21,20.9
2013-05-22,20.0
2013-05-23,19.65
2013-05-24,20.9
2013-05-27,21.05
2013-05-28,20.75
2013-05-29,20.25
2013-05-30,20.05
2013-05-31,19.7
2013-06-03,20.0
2013-06-04,19.75
2013-06-05,19.8
2013-06-06,19.9
2013-06-07,19.45
2013-06-10,19.15
2013-06-11,18.55
2013-06-12,18.3
2013-06-13,18.1
2013-06-14,18.6
2013-06-17,19.0
2013-06-18,19.05
2013-06-19,18.85
2013-06-20,17.3
2013-06-21,17.45
2013-06-24,16.65
2013-06-25,16.3
2013-06-26,15.85
2013-06-27,16.15
2013-06-28,17.55
2013-07-01,19.0
2013-07-02,17.85
2013-07-03,17.5
2013-07-04,17.75
2013-07-05,17.6
2013-07-08,17.8
2013-07-09,17.85
2013-07-10,17.8
2013-07-11,17.3
2013-07-12,17.35
2013-07-15,17.3
2013-07-16,17.2
2013-07-17,16.95
2013-07-18,16.85
2013-07-19,16.95
2013-07-22,16.8
2013-07-23,16.55
2013-07-24,16.15
2013-07-25,16.1
2013-07-26,15.35
2013-07-29,14.1
2013-07-30,13.45
2013-07-31,13.45
2013-08-01,12.95
2013-08-02,12.5
2013-08-05,12.75
2013-08-06,13.55
2013-08-07,15.05
2013-08-08,15.2
2013-08-12,16.25
2013-08-13,16.65
2013-08-14,16.7
