Date,BANG
2013-01-01,24.8
2013-01-02,24.55
2013-01-03,24.15
2013-03-01,14.75
2013-03-04,15.45
2013-03-05,16.2
2013-03-06,16.25
2013-03-07,16.0
2013-03-08,16.15
2013-03-11,15.75
2013-03-12,15.85
2013-03-13,15.85
2013-03-14,15.6
2013-03-15,15.5
2013-03-18,14.75
2013-03-19,15.0
2013-03-20,14.7
2013-03-21,14.7
2013-03-22,14.2
2013-03-25,14.45
2013-03-26,13.25
2013-03-28,14.0
2013-04-01,14.5
2013-04-02,14.95
2013-04-03,14.6
2013-04-05,14.7
2013-04-08,14.0
2013-04-15,12.6
2013-04-25,12.0
2013-04-29,12.0
2013-04-30,12.2
2013-05-02,13.0
2013-05-03,12.0
2013-05-06,13.05
2013-05-07,13.05
2013-05-09,13.05
2013-05-10,13.05
2013-05-13,12.5
2013-05-14,13.05
2013-05-15,13.05
2013-05-16,13.0
2013-05-21,12.5
2013-05-22,12.5
2013-05-24,12.0
2013-05-27,12.0
2013-05-30,12.5
2013-06-03,11.25
2013-06-06,10.95
2013-06-07,10.95
2013-06-10,10.5
2013-06-11,10.5
2013-06-18,11.0
2013-06-19,11.0
2013-06-20,10.5
2013-06-24,10.5
2013-06-25,10.05
2013-06-28,9.1
2013-07-02,8.2
2013-07-04,9.0
2013-07-05,9.4
2013-07-09,9.85
2013-07-10,10.3
2013-07-11,10.5
2013-07-15,10.0
2013-07-16,9.5
2013-07-18,9.9
2013-07-19,10.35
2013-07-22,10.5
2013-07-23,10.0
2013-07-24,10.05
2013-07-26,10.4
2013-08-01,9.9
2013-08-02,9.45
2013-08-05,9.9
2013-08-06,10.35
2013-08-07,10.35
2013-08-08,10.75
2013-08-13,10.5
2013-08-14,10.4
2013-08-19,10.1
2013-08-23,10.0
2013-08-26,10.0
2013-08-28,10.5
2013-09-13,10.0
2013-09-19,10.0
2013-09-26,9.5
2013-09-27,9.1
2013-10-08,9.55
2013-10-11,10.0
2013-10-14,9.65
2013-10-17,10.1
2013-10-18,10.6
2013-10-22,11.0
2013-10-25,10.55
2013-10-28,10.1
2013-10-29,10.6
2013-10-30,10.6
2013-11-03,10.5
2013-11-07,11.0
2013-11-12,10.5
2013-11-18,11.0
2013-11-19,11.0
2013-11-22,10.5
2013-11-25,11.0
2013-12-02,10.45
2013-12-03,10.55
2013-12-09,10.15
2013-12-10,10.0
2013-12-11,9.8
2013-12-13,9.35
2013-12-18,9.8
2013-12-19,10.25
2013-12-23,10.0
2014-01-01,9.75
2014-01-02,10.0
2014-03-03,9.5
2014-03-04,9.6
2014-03-05,9.5
2014-03-06,9.5
2014-03-07,9.05
2014-03-10,9.45
2014-03-11,9.45
2014-03-12,9.4
2014-03-13,9.85
2014-03-18,9.8
2014-03-21,10.1
2014-03-26,9.6
2014-03-27,9.15
2014-03-28,9.05
2014-03-31,9.4
2014-04-01,9.45
2014-04-02,9.0
2014-04-03,9.0
2014-04-04,8.9
2014-04-07,8.9
2014-04-09,9.1
2014-04-10,9.55
2014-04-11,10.0
2014-04-15,10.2
2014-04-16,10.0
2014-04-17,10.45
2014-04-21,10.95
2014-04-22,11.05
2014-04-23,10.6
