Date,IL&FSTRANS
2013-01-01,206.55
2013-01-02,205.4
2013-01-03,204.65
2013-01-04,213.35
2013-01-07,215.1
2013-01-08,214.6
2013-01-09,221.0
2013-01-10,220.65
2013-01-11,219.8
2013-01-14,219.2
2013-01-15,218.6
2013-01-16,213.4
2013-01-17,210.2
2013-01-18,214.05
2013-01-21,213.0
2013-01-22,207.55
2013-01-23,206.45
2013-01-24,199.15
2013-01-25,202.9
2013-01-28,203.1
2013-01-29,200.15
2013-01-30,197.65
2013-01-31,197.9
2013-02-01,199.75
2013-02-04,202.6
2013-02-05,199.75
2013-02-06,199.5
2013-02-07,198.3
2013-02-08,193.35
2013-02-11,194.6
2013-02-12,195.65
2013-02-13,194.2
2013-02-14,190.65
2013-02-15,190.7
2013-02-18,196.1
2013-02-19,199.5
2013-02-20,199.0
2013-02-21,196.35
2013-02-22,197.05
2013-02-25,199.85
2013-02-26,197.25
2013-02-27,195.85
2013-02-28,191.15
2013-03-01,193.35
2013-03-04,193.95
2013-03-05,198.55
2013-03-06,202.95
2013-03-07,202.55
2013-03-08,200.3
2013-03-11,200.2
2013-03-12,200.05
2013-03-13,200.5
2013-03-14,200.45
2013-03-15,197.7
2013-03-18,193.35
2013-03-19,193.3
2013-03-20,183.85
2013-03-21,182.35
2013-03-22,180.6
2013-03-25,177.3
2013-03-26,173.65
2013-03-28,177.85
2013-04-01,184.3
2013-04-02,191.8
2013-04-03,189.3
2013-04-04,185.05
2013-04-05,185.0
2013-04-08,185.2
2013-04-09,183.1
2013-04-10,178.1
2013-04-11,182.9
2013-04-12,180.0
2013-04-15,179.35
2013-04-16,182.55
2013-04-17,184.4
2013-04-18,183.85
2013-04-22,182.95
2013-04-23,182.7
2013-04-25,183.6
2013-04-26,177.6
2013-04-29,173.75
2013-04-30,176.05
2013-05-02,178.1
2013-05-03,179.45
2013-05-06,182.15
2013-05-07,179.4
2013-05-08,176.65
2013-05-09,176.0
2013-05-10,176.1
2013-05-11,177.0
2013-05-13,175.0
2013-05-14,175.75
2013-05-15,178.0
2013-05-16,178.8
2013-05-17,176.7
2013-05-20,176.65
2013-05-21,176.8
2013-05-22,176.05
2013-05-23,170.45
2013-05-24,173.2
2013-05-27,173.1
2013-05-28,178.0
2013-05-29,178.0
2013-05-30,179.8
2013-05-31,168.15
2013-06-03,170.7
2013-06-04,174.05
2013-06-05,174.95
2013-06-06,174.2
2013-06-07,174.65
2013-06-10,172.3
2013-06-11,167.95
2013-06-12,169.9
2013-06-13,176.15
2013-06-14,175.5
2013-06-17,174.25
2013-06-18,171.6
2013-06-19,168.45
2013-06-20,166.25
2013-06-21,164.0
2013-06-24,159.15
2013-06-25,155.25
2013-06-26,146.75
2013-06-27,145.2
2013-06-28,145.9
2013-07-01,148.45
2013-07-02,145.05
2013-07-03,143.45
2013-07-04,143.7
2013-07-05,142.8
2013-07-08,140.9
2013-07-09,145.25
2013-07-10,146.3
2013-07-11,148.65
2013-07-12,148.65
2013-07-15,152.1
2013-07-16,149.55
2013-07-17,149.3
2013-07-18,148.0
2013-07-19,144.9
2013-07-22,145.0
2013-07-23,143.95
2013-07-24,141.05
2013-07-25,136.8
2013-07-26,132.25
2013-07-29,131.25
2013-07-30,124.65
2013-07-31,120.35
2013-08-01,113.15
