Date,SEPOWER
2013-01-01,20.9
2013-01-02,20.25
2013-01-03,20.45
2013-01-04,20.25
2013-01-07,19.3
2013-01-08,20.0
2013-01-09,19.25
2013-01-10,18.65
2013-01-11,17.6
2013-01-14,17.8
2013-01-15,18.0
2013-01-16,17.1
2013-01-17,17.0
2013-01-18,17.9
2013-01-21,17.75
2013-01-22,17.25
2013-01-23,17.15
2013-01-24,17.05
2013-01-25,17.1
2013-01-28,17.4
2013-01-29,17.2
2013-01-30,17.55
2013-01-31,18.5
2013-02-01,17.75
2013-02-04,17.0
2013-02-05,18.4
2013-02-06,17.3
2013-02-07,17.35
2013-02-08,17.5
2013-02-11,17.25
2013-02-12,17.05
2013-02-13,16.5
2013-02-14,16.6
2013-02-15,17.5
2013-02-18,16.6
2013-02-19,17.5
2013-02-20,16.5
2013-02-21,16.05
2013-02-22,16.85
2013-02-25,16.9
2013-02-26,15.75
2013-02-27,15.95
2013-02-28,15.0
2013-03-01,14.3
2013-03-04,13.7
2013-03-05,15.0
2013-03-06,16.2
2013-03-07,16.2
2013-03-08,14.65
2013-03-11,14.65
2013-03-13,13.8
2013-03-14,13.1
2013-03-15,14.35
2013-03-18,13.4
2013-03-19,13.4
2013-03-20,14.1
2013-03-21,14.5
2013-03-22,14.15
2013-03-25,13.0
2013-03-28,13.0
2013-04-01,12.35
2013-04-02,11.95
2013-04-03,12.3
2013-04-04,13.5
2013-04-05,14.85
2013-04-09,14.5
2013-04-10,15.95
2013-04-11,16.5
2013-04-12,15.7
2013-04-15,14.95
2013-04-16,14.25
2013-04-17,13.6
2013-04-18,13.1
2013-04-22,13.0
2013-04-23,13.25
2013-04-25,12.6
2013-04-26,12.55
2013-04-29,12.2
2013-04-30,11.7
2013-05-02,11.35
2013-05-03,11.5
2013-05-06,12.05
2013-05-07,12.55
2013-05-08,13.15
2013-05-09,13.8
2013-05-10,13.7
2013-05-13,13.15
2013-05-14,13.5
2013-05-15,12.95
2013-05-16,13.55
2013-05-17,13.95
2013-05-20,14.0
2013-05-21,13.3
2013-05-22,13.9
2013-05-23,14.0
2013-05-24,13.45
2013-05-27,13.95
2013-05-28,14.2
2013-05-29,14.25
2013-05-30,13.55
2013-05-31,14.1
2013-06-03,14.6
2013-06-04,14.0
2013-06-05,13.7
2013-06-06,14.3
2013-06-07,13.85
2013-06-10,13.6
2013-06-11,13.5
2013-06-12,13.25
2013-06-13,13.1
2013-06-17,12.55
2013-06-18,13.1
2013-06-19,13.1
2013-06-20,13.75
2013-06-21,13.1
2013-06-24,12.8
2013-06-25,13.35
2013-06-26,13.0
2013-06-27,13.2
2013-06-28,12.75
2013-07-01,13.35
2013-07-02,12.8
2013-07-03,12.25
2013-07-04,12.25
2013-07-05,12.25
2013-07-16,12.0
2013-07-17,13.0
2013-07-18,14.3
2013-07-19,12.9
2013-07-22,12.5
2013-07-23,12.5
2013-07-25,12.55
2013-07-26,12.55
2013-07-30,12.6
2013-08-01,12.7
2013-08-02,13.95
2013-08-05,12.6
2013-08-06,13.5
2013-08-12,13.45
2013-08-13,12.15
2013-08-14,12.2
2013-08-16,12.1
2013-08-19,12.1
2013-08-20,12.8
2013-09-04,14.05
2013-09-05,13.3
2013-09-06,12.65
2013-09-10,12.8
2013-09-12,12.2
2013-09-13,12.0
2013-09-16,12.1
2013-09-17,12.2
2013-09-18,12.45
2013-09-19,13.0
2013-09-20,12.5
2013-09-23,12.0
2013-09-25,12.0
2013-09-26,12.0
2013-09-27,12.0
2013-09-30,12.0
2013-10-01,11.85
2013-10-04,11.9
2013-10-07,11.95
2013-10-09,11.95
2013-10-10,12.5
2013-10-11,12.55
2013-10-17,12.3
2013-10-21,12.2
2013-10-22,12.2
2013-10-23,12.0
2013-10-24,11.95
2013-10-25,12.1
2013-10-28,12.65
2013-10-29,12.4
2013-10-30,12.0
2013-10-31,11.55
2013-11-01,12.1
2013-11-05,12.4
2013-11-06,11.9
2013-11-11,12.0
2013-11-12,11.5
2013-11-13,11.55
2013-11-14,11.55
2013-11-18,11.3
2013-11-19,11.0
2013-11-21,11.45
2013-11-22,11.45
2013-11-25,10.9
2013-11-26,11.0
2013-11-27,11.4
2013-11-28,11.3
2013-11-29,11.3
2013-12-02,11.35
2013-12-03,11.9
2013-12-04,11.35
2013-12-05,11.7
2013-12-06,11.15
2013-12-09,10.6
2013-12-10,10.1
2013-12-11,10.55
2013-12-12,10.1
2013-12-16,9.7
2013-12-17,10.1
2013-12-20,10.25
2013-12-23,10.7
2013-12-24,10.7
2013-12-26,10.95
2013-12-30,11.2
2013-12-31,10.95
2014-01-01,10.45
2014-01-02,10.5
2014-01-07,10.0
2014-01-08,9.55
2014-01-09,10.0
2014-01-10,10.4
2014-01-13,10.0
2014-01-15,9.5
2014-01-16,9.5
2014-01-17,9.05
2014-01-20,8.6
2014-01-21,8.2
