Date,NLCINDIA
2013-01-01,81.2
2013-01-02,80.15
2013-01-03,81.7
2013-01-04,83.35
2013-01-07,85.5
2013-01-08,84.4
2013-01-09,84.55
2013-01-10,84.05
2013-01-11,82.65
2013-01-14,85.0
2013-01-15,84.3
2013-01-16,82.05
2013-01-17,82.9
2013-01-18,82.85
2013-01-21,86.9
2013-01-22,84.95
2013-01-23,84.35
2013-01-24,83.05
2013-01-25,83.25
2013-01-28,83.75
2013-01-29,84.0
2013-01-30,83.2
2013-01-31,84.0
2013-02-01,84.4
2013-02-04,83.25
2013-02-05,82.4
2013-02-06,82.1
2013-02-07,81.95
2013-02-08,80.85
2013-02-11,80.9
2013-02-12,80.45
2013-02-13,81.2
2013-02-14,79.7
2013-02-15,77.65
2013-02-18,78.2
2013-02-19,78.65
2013-02-20,78.8
2013-02-21,77.65
2013-02-22,77.8
2013-02-25,78.55
2013-02-26,75.35
2013-02-27,71.5
2013-02-28,72.3
2013-03-01,72.45
2013-03-04,70.2
2013-03-05,69.9
2013-03-06,70.5
2013-03-07,69.95
2013-03-08,74.8
2013-03-11,72.75
2013-03-12,71.75
2013-03-13,71.45
2013-03-14,71.6
2013-03-15,70.25
2013-03-18,69.85
2013-03-19,67.85
2013-03-20,66.85
2013-03-21,65.55
2013-03-22,64.9
2013-03-25,65.75
2013-03-26,65.5
2013-03-28,65.8
2013-04-01,67.65
2013-04-02,68.4
2013-04-03,68.65
2013-04-04,67.8
2013-04-05,67.6
2013-04-08,68.0
2013-04-09,67.8
2013-04-10,67.3
2013-04-11,66.95
2013-04-12,67.9
2013-04-15,68.05
2013-04-16,70.1
2013-04-17,69.55
2013-04-18,69.3
2013-04-22,69.9
2013-04-23,69.5
2013-04-25,69.9
2013-04-26,68.85
2013-04-29,69.45
2013-04-30,72.25
2013-05-02,71.4
2013-05-03,70.2
2013-05-06,70.15
2013-05-07,70.4
2013-05-08,70.25
2013-05-09,70.1
2013-05-10,69.55
2013-05-11,70.6
2013-05-13,68.45
2013-05-14,68.6
2013-05-15,69.1
2013-05-16,69.5
2013-05-17,69.45
2013-05-20,69.0
2013-05-21,68.8
2013-05-22,67.7
2013-05-23,64.9
2013-05-24,65.8
