Date,HCC
2013-01-01,18.9
2013-01-02,19.3
2013-01-03,20.5
2013-01-04,19.85
2013-01-07,19.9
2013-01-08,19.8
2013-01-09,19.95
2013-01-10,19.75
2013-01-11,18.85
2013-01-14,19.4
2013-01-15,19.35
2013-01-16,18.85
2013-01-17,18.8
2013-01-18,18.8
2013-01-21,18.8
2013-01-22,18.5
2013-01-23,18.15
2013-01-24,17.1
2013-01-25,17.75
2013-01-28,17.95
2013-01-29,17.5
2013-01-30,17.55
2013-01-31,17.8
2013-02-01,18.45
2013-02-04,17.7
2013-02-05,17.6
2013-02-06,17.5
2013-02-07,17.3
2013-02-08,17.4
2013-02-11,17.25
2013-02-12,17.15
2013-02-13,16.95
2013-02-14,16.75
2013-02-15,16.65
2013-02-18,16.85
2013-02-19,17.15
2013-02-20,17.05
2013-02-21,16.85
2013-02-22,16.75
2013-02-25,16.55
2013-02-26,16.1
2013-02-27,16.0
2013-02-28,15.35
2013-03-01,15.3
2013-03-04,14.85
2013-03-05,14.85
2013-03-06,15.3
2013-03-07,15.35
2013-03-08,15.6
2013-03-11,15.75
2013-03-12,15.6
2013-03-13,15.55
2013-03-14,15.6
2013-03-15,16.25
2013-03-18,15.9
2013-03-19,15.2
2013-03-20,14.55
2013-03-21,14.05
2013-03-22,14.05
2013-03-25,13.65
2013-03-26,13.7
2013-03-28,13.65
2013-04-01,14.55
2013-04-02,15.05
2013-04-03,14.85
2013-04-04,14.3
2013-04-05,14.25
2013-04-08,14.4
2013-04-09,14.25
2013-04-10,14.15
2013-04-11,14.15
2013-04-12,14.1
2013-04-15,14.25
2013-04-16,14.3
2013-04-17,14.6
2013-04-18,14.6
2013-04-22,14.4
2013-04-23,14.45
2013-04-25,14.3
2013-04-26,14.1
2013-04-29,14.25
2013-04-30,14.0
2013-05-02,14.2
2013-05-03,14.0
2013-05-06,14.15
2013-05-07,14.2
2013-05-08,14.55
2013-05-09,14.3
2013-05-10,14.2
2013-05-11,14.15
2013-05-13,13.95
2013-05-14,13.9
2013-05-15,14.15
2013-05-16,14.3
2013-05-17,14.5
2013-05-20,14.4
2013-05-21,14.15
2013-05-22,13.95
2013-05-23,13.55
2013-05-24,13.45
2013-05-27,13.5
2013-05-28,13.45
2013-05-29,13.25
2013-05-30,13.25
2013-05-31,13.25
2013-06-03,13.05
2013-06-04,12.6
2013-06-05,12.75
2013-06-06,12.85
2013-06-07,12.75
2013-06-10,11.2
2013-06-11,11.45
2013-06-12,11.25
2013-06-13,10.6
2013-06-14,11.1
2013-06-17,11.25
2013-06-18,11.25
2013-06-19,10.95
2013-06-20,10.4
2013-06-21,11.25
2013-06-24,11.1
2013-06-25,10.75
2013-06-26,10.4
