Date,ASAHISONG
2013-01-01,77.75
2013-01-02,77.55
2013-01-03,77.7
2013-01-04,77.55
2013-01-07,76.85
2013-01-08,76.75
2013-01-09,76.9
2013-01-10,75.0
2013-01-11,75.35
2013-01-14,73.45
2013-01-15,73.0
2013-01-16,73.15
2013-01-17,74.5
2013-01-18,75.55
2013-01-21,78.0
2013-01-22,77.15
2013-01-23,73.7
2013-01-24,70.25
2013-01-25,72.35
2013-01-28,71.05
2013-01-29,70.3
2013-01-30,68.7
2013-01-31,68.5
2013-02-01,71.5
2013-02-04,71.0
2013-02-05,68.85
2013-02-06,68.3
2013-02-07,69.6
2013-02-08,67.55
2013-02-11,66.2
2013-02-12,64.85
2013-02-13,64.3
2013-02-14,62.5
2013-02-15,63.25
2013-02-18,60.15
2013-02-19,62.7
2013-02-20,63.95
2013-02-21,60.05
2013-02-22,59.4
2013-02-25,59.0
2013-02-26,60.65
2013-02-27,70.25
2013-02-28,68.4
2013-03-01,69.4
2013-03-04,67.75
2013-03-05,67.9
2013-03-06,69.3
2013-03-07,68.0
2013-03-08,69.4
2013-03-11,66.55
2013-03-12,67.0
2013-03-13,67.05
2013-03-14,65.4
2013-03-15,66.55
2013-03-18,64.0
2013-03-19,62.3
2013-03-20,62.1
2013-03-21,60.25
2013-03-22,59.7
2013-03-25,58.4
2013-03-26,59.6
2013-03-28,58.1
2013-04-01,63.1
2013-04-02,64.45
2013-04-03,64.4
2013-04-04,62.95
2013-04-05,61.2
2013-04-08,61.8
2013-04-09,58.1
2013-04-10,59.3
2013-04-11,59.95
2013-04-12,61.0
2013-04-15,62.0
2013-04-16,62.85
2013-04-17,61.8
2013-04-18,62.55
2013-04-22,64.05
2013-04-23,64.5
2013-04-25,62.6
2013-04-26,62.75
2013-04-29,64.0
2013-04-30,63.5
2013-05-02,65.45
2013-05-03,63.75
2013-05-06,63.1
2013-05-07,63.5
2013-05-08,66.4
2013-05-09,65.65
2013-05-10,64.2
2013-05-13,64.2
2013-05-14,62.9
2013-05-15,62.9
2013-05-16,61.75
2013-05-17,60.75
2013-05-20,63.0
2013-05-21,62.0
2013-05-22,62.6
2013-05-23,60.95
2013-05-24,60.05
2013-05-27,61.4
2013-05-28,61.8
2013-05-29,63.25
2013-05-30,62.25
2013-05-31,63.3
2013-06-03,62.2
2013-06-04,62.6
2013-06-05,62.45
2013-06-06,63.3
2013-06-07,62.15
2013-06-10,62.0
2013-06-11,62.5
2013-06-12,60.7
2013-06-13,59.8
2013-06-14,61.35
2013-06-17,62.05
2013-06-18,61.05
2013-06-19,61.75
2013-06-20,60.0
2013-06-21,59.3
2013-06-24,58.1
2013-06-25,60.1
2013-06-26,58.9
2013-06-27,60.0
2013-06-28,60.35
2013-07-01,60.9
2013-07-02,61.75
2013-07-03,60.6
2013-07-04,59.95
2013-07-05,62.1
2013-07-08,62.0
2013-07-09,59.45
2013-07-10,58.65
2013-07-11,59.4
2013-07-12,58.8
2013-07-15,57.6
2013-07-16,61.3
2013-07-17,63.7
2013-07-18,61.8
2013-07-19,60.35
2013-07-22,59.95
2013-07-23,60.1
2013-07-24,60.85
2013-07-25,58.75
2013-07-26,60.35
2013-07-29,59.95
2013-07-30,59.25
2013-07-31,59.45
2013-08-01,58.5
2013-08-02,54.1
2013-08-05,55.95
2013-08-06,55.6
2013-08-07,56.15
2013-08-08,55.55
2013-08-12,58.0
2013-08-13,60.2
