Date,MEGASOFT
2013-01-01,10.55
2013-01-02,10.55
2013-01-03,12.65
2013-01-04,13.5
2013-01-07,13.15
2013-01-08,12.8
2013-01-09,12.1
2013-01-10,11.6
2013-01-11,11.75
2013-01-14,11.0
2013-01-15,11.8
2013-01-16,11.0
2013-01-17,10.95
2013-01-18,10.8
2013-01-21,11.6
2013-01-22,11.45
2013-01-23,10.8
2013-01-24,11.0
2013-01-25,10.7
2013-01-28,10.3
2013-01-29,10.0
2013-01-30,9.6
2013-01-31,9.1
2013-02-01,9.25
2013-02-04,9.75
2013-02-05,9.15
2013-02-06,9.5
2013-02-07,9.15
2013-02-08,8.95
2013-02-11,8.95
2013-02-12,8.9
2013-02-13,8.8
2013-02-14,8.7
2013-02-15,8.75
2013-02-18,9.0
2013-02-19,8.75
2013-02-20,9.05
2013-02-21,8.75
2013-02-22,8.65
2013-02-25,8.6
2013-02-26,8.0
2013-02-27,7.75
2013-02-28,7.75
2013-03-01,7.85
2013-03-04,8.0
2013-03-05,7.95
2013-03-06,8.25
2013-03-07,8.35
2013-03-08,9.0
2013-03-11,9.3
2013-03-12,8.7
2013-03-13,8.35
2013-03-14,8.4
2013-03-15,8.45
2013-03-18,7.45
2013-03-19,7.4
2013-03-20,7.0
2013-03-21,6.85
2013-03-22,6.3
2013-03-25,5.95
2013-03-26,6.05
2013-03-28,6.2
2013-04-01,7.15
2013-04-02,7.25
2013-04-03,7.55
2013-04-04,7.6
2013-04-05,7.6
2013-04-08,7.5
2013-04-09,7.25
2013-04-10,6.2
2013-04-11,6.5
2013-04-12,6.55
2013-04-15,6.3
2013-04-16,6.35
2013-04-17,7.0
2013-04-18,6.8
2013-04-22,6.75
2013-04-23,7.0
2013-04-25,6.85
2013-04-26,6.9
2013-04-29,6.75
2013-04-30,7.15
2013-05-02,7.1
2013-05-03,7.0
2013-05-06,7.4
2013-05-07,7.7
2013-05-08,8.3
2013-05-09,7.85
2013-05-10,8.05
2013-05-11,7.65
2013-05-13,7.8
2013-05-14,7.75
2013-05-15,8.0
2013-05-16,7.65
2013-05-17,7.4
2013-05-20,7.5
2013-05-21,7.8
2013-05-22,7.5
2013-05-23,7.7
2013-05-24,7.45
2013-05-27,7.25
2013-05-28,7.35
2013-05-29,7.4
2013-05-30,7.25
2013-05-31,7.4
2013-06-03,7.0
2013-06-04,6.9
2013-06-05,6.95
2013-06-06,7.0
2013-06-07,6.95
2013-06-10,6.85
2013-06-11,7.0
2013-06-12,6.55
2013-06-13,6.5
2013-06-14,6.5
2013-06-17,6.45
2013-06-18,6.6
2013-06-19,7.2
2013-06-20,6.7
2013-06-21,5.75
2013-06-24,6.1
2013-06-25,6.0
2013-06-26,6.0
2013-06-27,6.2
2013-06-28,6.1
2013-07-01,6.1
2013-07-02,6.0
2013-07-03,6.2
2013-07-04,5.9
2013-07-05,5.95
2013-07-08,6.0
2013-07-09,5.85
2013-07-10,6.0
2013-07-11,6.0
2013-07-12,5.9
2013-07-15,6.15
2013-07-16,5.75
2013-07-17,6.1
2013-07-18,6.1
2013-07-19,6.05
2013-07-22,5.85
2013-07-23,5.85
2013-07-24,5.9
2013-07-25,5.9
2013-07-26,5.9
2013-07-29,5.95
2013-07-30,6.0
2013-07-31,5.7
2013-08-01,5.95
2013-08-02,6.0
2013-08-05,5.9
2013-08-06,5.65
2013-08-07,5.9
2013-08-08,6.0
2013-08-12,6.4
2013-08-13,6.15
2013-08-14,6.5
2013-08-16,5.8
2013-08-19,5.75
2013-08-20,5.7
2013-08-21,5.8
2013-08-22,5.6
2013-08-23,5.5
2013-08-26,5.8
2013-08-27,5.6
2013-08-28,5.8
2013-08-29,5.75
2013-08-30,6.35
2013-09-02,7.4
2013-09-03,7.45
2013-09-04,8.3
2013-09-05,8.25
2013-09-06,7.85
2013-09-10,7.5
2013-09-11,7.3
2013-09-12,7.25
2013-09-13,7.15
2013-11-29,6.35
2013-12-02,6.65
2013-12-03,6.7
2013-12-04,7.0
2013-12-05,6.85
2013-12-06,6.6
2013-12-09,6.7
2013-12-10,6.4
2013-12-11,6.55
2013-12-12,6.8
2013-12-16,6.9
2013-12-17,6.8
2013-12-18,6.55
2013-12-19,6.4
2013-12-20,6.5
2013-12-23,6.4
2013-12-24,6.15
2013-12-26,6.35
2013-12-27,6.65
2013-12-30,6.7
2013-12-31,6.75
2014-01-01,7.05
2014-01-02,6.7
2014-01-03,6.55
2014-01-06,6.85
2014-01-07,6.85
2014-01-08,7.5
2014-01-09,8.0
2014-01-10,7.7
2014-01-13,8.45
2014-01-14,8.8
2014-01-15,8.45
2014-01-16,8.05
2014-01-17,8.2
2014-01-20,8.6
2014-01-21,8.5
2014-01-22,8.55
2014-01-23,8.4
2014-01-24,8.0
2014-01-27,7.8
2014-01-28,7.8
2014-01-29,7.45
2014-01-30,7.7
2014-01-31,7.35
2014-02-03,7.5
2014-02-04,7.65
2014-02-05,7.65
2014-02-06,7.4
2014-02-07,7.5
2014-02-10,7.15
2014-02-11,7.25
2014-02-12,7.2
2014-02-13,7.25
2014-02-14,6.95
2014-02-17,6.7
2014-02-18,6.85
2014-02-19,6.6
2014-02-20,6.7
2014-02-21,7.0
2014-02-24,6.9
2014-02-25,7.2
2014-02-26,7.55
2014-02-28,7.9
2014-03-03,7.55
2014-03-04,7.45
2014-03-05,7.25
2014-03-06,7.4
2014-03-07,7.0
2014-03-10,6.9
2014-03-11,6.8
2014-03-12,6.7
2014-03-13,6.45
2014-03-14,6.6
2014-03-18,6.6
2014-03-19,6.35
2014-03-20,6.15
2014-03-21,6.1
2014-03-22,6.55
2014-03-24,6.25
2014-03-25,6.3
2014-03-26,6.1
2014-03-27,6.25
2014-03-28,6.1
2014-03-31,6.3
2014-04-01,6.2
2014-04-02,6.5
2014-04-03,6.55
2014-04-04,6.6
2014-04-07,6.6
2014-04-09,7.0
2014-04-10,6.9
2014-04-11,6.9
2014-04-15,7.05
2014-04-16,7.15
2014-04-17,6.85
2014-04-21,6.95
2014-04-22,7.1
2014-04-23,6.85
2014-04-25,6.7
2014-04-28,6.7
2014-04-29,6.65
2014-04-30,6.85
2014-05-02,7.0
2014-05-05,6.85
2014-05-06,6.95
2014-05-07,6.8
2014-05-08,6.75
2014-05-09,6.75
2014-05-12,6.8
2014-05-13,6.65
