Date,IVRCLINFRA
2013-01-01,46.55
2013-01-02,46.15
2013-01-03,46.5
2013-01-04,46.75
2013-01-07,46.45
2013-01-08,46.45
2013-01-09,45.5
2013-01-10,44.65
2013-01-11,43.4
2013-01-14,44.75
2013-01-15,44.25
2013-01-16,42.1
2013-01-17,42.7
2013-01-18,42.8
2013-01-21,43.4
2013-01-22,42.15
2013-01-23,41.1
2013-01-24,32.95
2013-01-25,34.8
2013-01-28,35.8
2013-01-29,32.6
2013-01-30,33.45
2013-01-31,34.4
2013-02-01,34.0
2013-02-04,32.45
2013-02-05,33.55
2013-02-06,32.75
2013-02-07,31.9
2013-02-08,31.5
2013-02-11,32.5
2013-02-12,31.9
2013-02-13,30.35
2013-02-14,29.45
2013-02-15,29.0
2013-02-18,30.3
2013-02-19,31.3
2013-02-20,30.55
2013-02-21,29.45
2013-02-22,29.45
2013-02-25,28.05
2013-02-26,27.7
2013-02-27,28.75
2013-02-28,25.6
2013-03-01,24.95
2013-03-04,24.05
2013-03-05,24.8
2013-03-06,25.5
2013-03-07,25.35
2013-03-08,25.75
2013-03-11,25.65
2013-03-12,25.1
2013-03-13,25.35
2013-03-14,25.5
2013-03-15,25.25
2013-03-18,24.75
2013-03-19,22.6
2013-03-20,20.45
2013-03-21,18.55
2013-03-22,19.0
2013-03-25,18.65
2013-03-26,18.05
2013-03-28,19.25
2013-04-01,21.75
2013-04-02,22.35
2013-04-03,21.25
2013-04-04,19.8
2013-04-05,20.45
2013-04-08,19.85
2013-04-09,19.4
2013-04-10,19.05
2013-04-11,18.95
2013-04-12,19.45
2013-04-15,19.7
2013-04-16,20.6
2013-04-17,20.25
2013-04-18,20.5
2013-04-22,20.85
2013-04-23,20.65
2013-04-25,21.2
2013-04-26,20.25
2013-04-29,20.35
2013-04-30,19.35
2013-05-02,19.9
2013-05-03,19.7
2013-05-06,19.9
2013-05-07,20.7
2013-05-08,20.55
2013-05-09,20.05
2013-05-10,20.05
2013-05-11,19.95
2013-05-13,19.35
2013-05-14,19.3
2013-05-15,20.45
2013-05-16,21.1
2013-05-17,22.2
2013-05-20,22.55
2013-05-21,21.7
2013-05-22,20.75
2013-05-23,19.15
2013-05-24,18.9
2013-05-27,19.2
2013-05-28,19.2
2013-05-29,18.5
2013-05-30,18.15
2013-05-31,17.55
2013-06-03,17.45
2013-06-04,17.5
2013-06-05,18.8
2013-06-06,19.1
2013-06-07,18.4
2013-06-10,17.6
2013-06-11,16.05
2013-06-12,15.95
2013-06-13,15.65
2013-06-14,16.15
2013-06-17,16.1
2013-06-18,15.95
2013-06-19,16.5
2013-06-20,15.25
2013-06-21,15.1
2013-06-24,13.8
2013-06-25,12.8
2013-06-26,13.1
2013-06-27,14.4
2013-06-28,15.05
2013-07-01,17.15
2013-07-02,16.55
2013-07-03,15.6
2013-07-04,16.0
2013-07-05,15.85
2013-07-08,15.7
