Date,KAKATCEM
2013-01-01,84.25
2013-01-02,84.3
2013-01-03,86.5
2013-01-04,85.95
2013-01-07,85.0
2013-01-08,85.05
2013-01-09,83.5
2013-01-11,82.15
2013-01-14,82.3
2013-01-15,83.0
2013-01-16,82.85
2013-01-17,82.4
2013-01-18,82.1
2013-01-21,82.05
2013-01-22,82.0
2013-01-23,82.2
2013-01-24,81.25
2013-01-25,82.0
2013-01-28,82.0
2013-01-29,82.95
2013-01-30,80.65
2013-01-31,80.35
2013-02-01,82.0
2013-02-04,83.6
2013-02-05,81.2
2013-02-06,83.35
2013-02-07,81.25
2013-02-08,81.25
2013-02-11,80.8
2013-02-12,81.15
2013-02-13,80.7
2013-02-14,81.4
2013-02-15,81.6
2013-02-18,81.05
2013-02-19,82.9
2013-02-20,81.1
2013-02-21,81.0
2013-02-22,80.55
2013-02-25,82.2
2013-02-26,82.25
2013-02-27,81.5
2013-02-28,81.25
2013-03-01,82.6
2013-03-04,82.5
2013-03-05,82.6
2013-03-06,81.0
2013-03-07,80.45
2013-03-08,80.6
2013-03-11,80.45
2013-03-12,81.0
2013-03-13,80.35
2013-03-14,80.15
2013-03-15,80.0
2013-03-18,79.35
2013-03-19,78.45
2013-03-20,77.2
2013-03-21,78.0
2013-03-22,76.7
2013-03-25,74.4
2013-03-26,74.2
2013-03-28,73.35
2013-04-01,74.35
2013-04-02,75.0
2013-04-03,75.55
2013-04-04,74.0
2013-04-05,74.5
2013-04-16,71.4
2013-04-17,70.0
2013-04-18,70.2
2013-04-22,70.5
2013-04-23,71.0
2013-04-25,70.5
2013-04-29,70.0
2013-04-30,74.4
2013-05-03,70.0
2013-05-08,67.25
2013-05-09,69.0
2013-05-10,70.0
2013-05-13,67.5
2013-05-14,70.5
2013-05-15,74.0
2013-05-16,71.1
2013-05-17,68.25
2013-05-21,70.95
2013-05-30,71.5
2013-05-31,70.0
2013-06-03,72.0
2013-06-04,71.75
2013-06-06,69.1
2013-06-07,70.0
2013-06-18,70.0
2013-06-19,72.95
2013-06-25,70.0
2013-06-26,69.0
2013-06-27,68.95
2013-06-28,70.0
2013-07-01,69.0
