Date,VSTTILLERS
2013-01-01,399.5
2013-01-02,400.4
2013-01-03,405.35
2013-01-04,419.6
2013-01-07,406.6
2013-01-08,412.0
2013-01-09,405.0
2013-01-10,402.9
2013-01-11,396.95
2013-01-14,390.7
2013-01-15,394.65
2013-01-16,395.1
2013-01-17,395.05
2013-01-18,398.55
2013-01-21,390.15
2013-01-22,390.75
2013-01-23,387.35
2013-01-24,385.5
2013-01-25,392.55
2013-01-28,385.2
2013-01-29,386.05
2013-01-30,384.8
2013-01-31,394.45
2013-02-01,385.3
2013-02-04,380.0
2013-02-05,374.25
2013-02-06,369.15
2013-02-07,365.3
2013-02-08,359.1
2013-02-11,359.05
2013-02-12,399.05
2013-02-13,389.5
2013-02-14,376.55
2013-02-15,369.65
2013-02-18,369.65
2013-02-19,368.15
2013-02-20,368.85
2013-02-21,366.7
2013-02-22,368.8
2013-02-25,367.15
2013-02-26,350.0
2013-02-27,348.3
2013-02-28,345.1
2013-03-01,350.65
2013-03-04,359.6
2013-03-05,358.8
2013-03-06,359.5
2013-03-07,359.05
2013-03-08,363.65
2013-03-11,367.9
2013-03-12,364.75
2013-03-13,368.9
2013-03-14,377.5
2013-03-15,380.8
2013-03-18,375.25
2013-03-19,372.45
2013-03-20,367.2
2013-03-21,353.2
2013-03-22,338.75
2013-03-25,338.55
2013-03-26,346.55
2013-03-28,362.35
2013-04-01,383.1
2013-04-02,385.05
2013-04-03,380.0
2013-04-04,372.2
2013-04-05,360.1
2013-04-08,352.6
2013-04-09,344.25
2013-04-10,340.0
2013-04-11,339.75
2013-04-12,336.8
2013-04-15,339.7
2013-04-16,339.15
2013-04-17,337.3
2013-04-18,339.95
2013-04-22,339.9
2013-04-23,337.45
2013-04-25,335.45
2013-04-26,335.75
2013-04-29,333.35
2013-04-30,334.3
2013-05-02,336.5
2013-05-03,335.5
2013-05-06,337.25
2013-05-07,338.5
2013-05-08,343.3
2013-05-09,348.55
2013-05-10,350.55
2013-05-11,349.8
2013-05-13,340.8
2013-05-14,341.25
2013-05-15,338.2
2013-05-16,335.9
2013-05-17,345.15
2013-05-20,346.95
2013-05-21,351.05
2013-05-22,347.65
2013-05-23,342.0
2013-05-24,347.05
2013-05-27,347.3
2013-05-28,349.3
2013-05-29,354.85
2013-05-30,369.8
2013-05-31,362.3
2013-06-03,359.65
2013-06-04,355.7
2013-06-05,355.55
2013-06-06,372.7
2013-06-07,386.0
2013-06-10,392.15
2013-06-11,387.05
2013-06-12,378.95
2013-06-13,383.3
2013-06-14,390.0
2013-06-17,390.0
2013-06-18,393.15
2013-06-19,392.35
2013-06-20,387.9
2013-06-21,375.15
2013-06-24,357.2
2013-06-25,359.4
2013-06-26,355.55
2013-06-27,356.4
2013-06-28,359.65
2013-07-01,361.8
2013-07-02,366.0
2013-07-03,366.25
2013-07-04,381.15
2013-07-05,374.0
2013-07-08,375.55
2013-07-09,376.75
