Date,LUMAXIND
2013-01-01,375.8
2013-01-02,375.6
2013-01-03,379.95
2013-01-04,379.1
2013-01-07,381.05
2013-01-08,377.6
2013-01-09,375.7
2013-01-10,376.05
2013-01-11,375.7
2013-01-14,375.0
2013-01-15,375.7
2013-01-16,377.75
2013-01-17,378.05
2013-01-18,376.3
2013-01-21,374.9
2013-01-22,374.15
2013-01-23,371.85
2013-01-24,371.7
2013-01-25,377.95
2013-01-28,372.75
2013-01-29,372.0
2013-01-30,374.95
2013-01-31,374.25
2013-02-01,377.0
2013-02-04,376.4
2013-02-05,379.0
2013-02-06,374.1
2013-02-07,373.25
2013-02-08,373.65
2013-02-11,371.5
2013-02-12,374.5
2013-02-13,371.65
2013-02-14,372.05
2013-02-18,373.95
2013-02-19,370.3
2013-02-20,369.45
2013-02-21,368.2
2013-02-22,359.45
2013-02-25,353.95
2013-02-26,349.0
2013-02-27,335.35
2013-02-28,345.55
2013-03-01,333.0
2013-03-04,335.6
2013-03-05,341.35
2013-03-06,341.1
2013-03-07,342.75
2013-03-08,349.2
2013-03-11,340.8
2013-03-12,341.6
2013-03-13,338.35
2013-03-14,344.5
2013-03-15,343.0
2013-03-18,340.0
2013-03-19,338.35
2013-03-20,339.0
2013-03-22,337.55
2013-03-25,337.7
2013-03-26,341.9
2013-04-01,338.85
2013-04-02,337.05
2013-04-03,333.85
2013-04-04,345.0
2013-04-05,354.9
2013-04-08,352.4
2013-04-09,351.15
2013-04-10,341.6
2013-04-11,351.0
2013-04-12,357.4
2013-04-15,362.15
2013-04-16,349.9
2013-04-17,354.55
2013-04-18,361.5
2013-04-22,354.25
2013-04-23,354.75
2013-04-25,354.75
2013-04-26,354.9
2013-04-29,352.8
2013-04-30,354.85
2013-05-02,354.85
2013-05-08,352.1
2013-05-09,349.8
2013-05-10,348.95
2013-05-13,342.15
2013-05-14,348.95
2013-05-15,350.85
2013-05-16,350.0
2013-05-17,353.0
2013-05-20,359.9
2013-05-21,360.55
2013-05-22,360.5
2013-05-23,350.8
2013-05-24,352.45
2013-05-27,353.0
2013-05-28,356.95
2013-05-29,349.4
2013-05-30,342.75
2013-05-31,344.7
2013-06-03,341.3
2013-06-04,343.4
2013-06-05,337.8
2013-06-06,339.9
2013-06-07,335.9
2013-06-10,330.15
2013-06-11,340.05
2013-06-12,341.85
2013-06-13,337.1
2013-06-14,336.25
2013-06-17,344.1
2013-06-18,339.15
2013-06-20,333.95
2013-06-21,343.65
2013-06-24,339.85
2013-06-25,332.5
2013-06-26,334.7
2013-06-27,331.2
2013-06-28,330.0
