Date,JINDALSAW
2013-01-01,132.4
2013-01-02,132.05
2013-01-03,132.45
2013-01-04,131.3
2013-01-07,131.7
2013-01-08,128.0
2013-01-09,125.35
2013-01-10,125.0
2013-01-11,122.1
2013-01-14,123.95
2013-01-15,122.95
2013-01-16,120.85
2013-01-17,119.9
2013-01-18,118.95
2013-01-21,117.25
2013-01-22,114.1
2013-01-23,112.8
2013-01-24,114.35
2013-01-25,113.2
2013-01-28,113.25
2013-01-29,108.35
2013-01-30,113.7
2013-01-31,108.55
2013-02-01,109.9
2013-02-04,107.7
2013-02-05,106.7
2013-02-06,108.6
2013-02-07,103.4
2013-02-08,101.8
2013-02-11,101.55
2013-02-12,101.1
2013-02-13,99.15
2013-02-14,95.1
2013-02-15,97.45
2013-02-18,97.9
2013-02-19,101.3
2013-02-20,100.05
2013-02-21,96.05
2013-02-22,95.3
2013-02-25,91.95
2013-02-26,89.4
2013-02-27,88.35
2013-02-28,89.25
2013-03-01,93.1
2013-03-04,90.2
2013-03-05,90.9
2013-03-06,91.2
2013-03-07,94.55
2013-03-08,96.1
2013-03-11,94.95
2013-03-12,93.85
2013-03-13,90.25
2013-03-14,90.3
2013-03-15,88.85
2013-03-18,87.55
2013-03-19,84.9
2013-03-20,81.9
2013-03-21,81.8
2013-03-22,81.9
2013-03-25,81.7
2013-03-26,79.85
2013-03-28,82.1
2013-04-01,82.0
2013-04-02,90.0
2013-04-03,88.0
2013-04-04,83.3
2013-04-05,83.0
2013-04-08,83.45
2013-04-09,80.75
2013-04-10,81.65
2013-04-11,81.1
2013-04-12,80.05
2013-04-15,80.0
2013-04-16,80.0
2013-04-17,81.6
2013-04-18,81.15
2013-04-22,80.9
2013-04-23,82.1
2013-04-25,81.05
2013-04-26,79.3
2013-04-29,79.55
2013-04-30,79.4
2013-05-02,79.75
2013-05-03,80.15
2013-05-06,82.35
2013-05-07,82.25
2013-05-08,81.8
2013-05-09,80.55
2013-05-10,79.65
2013-05-11,79.8
2013-05-13,79.2
2013-05-14,80.0
2013-05-15,80.85
2013-05-16,80.75
2013-05-17,83.2
2013-05-20,81.85
2013-05-21,80.55
2013-05-22,79.65
2013-05-23,76.7
2013-05-24,75.8
2013-05-27,76.5
2013-05-28,74.9
2013-05-29,74.0
2013-05-30,73.2
2013-05-31,71.75
2013-06-03,69.45
2013-06-04,68.8
