Date,THERMAX
2013-01-01,611.9
2013-01-02,620.4
2013-01-03,618.15
2013-01-04,616.9
2013-01-07,631.95
2013-01-08,617.2
2013-01-09,619.55
2013-01-10,617.25
2013-01-11,609.35
2013-01-14,601.35
2013-01-15,600.4
2013-01-16,590.6
2013-01-17,602.6
2013-01-18,590.1
2013-01-21,585.1
2013-01-22,576.05
2013-01-23,577.35
2013-01-24,568.55
2013-01-25,582.55
2013-01-28,573.7
2013-01-29,575.0
2013-01-30,576.05
2013-01-31,582.3
2013-02-01,582.45
2013-02-04,578.95
2013-02-05,580.5
2013-02-06,582.6
2013-02-07,582.0
2013-02-08,584.45
2013-02-11,582.65
2013-02-12,573.5
2013-02-13,573.5
2013-02-14,572.4
2013-02-15,573.0
2013-02-18,579.15
2013-02-19,581.95
2013-02-20,575.85
2013-02-21,575.15
2013-02-22,575.35
2013-02-25,588.05
2013-02-26,580.9
2013-02-27,596.3
2013-02-28,580.55
2013-03-01,587.3
2013-03-04,584.9
2013-03-05,587.15
2013-03-06,590.0
2013-03-07,594.35
2013-03-08,593.75
2013-03-11,587.95
2013-03-12,585.75
2013-03-13,580.1
2013-03-14,593.25
2013-03-15,579.9
2013-03-18,591.4
2013-03-19,580.45
2013-03-20,578.55
2013-03-21,562.05
2013-03-22,577.3
2013-03-25,561.4
2013-03-26,549.2
2013-03-28,563.6
2013-04-01,566.55
2013-04-02,568.65
2013-04-03,580.5
2013-04-04,572.7
2013-04-05,571.5
2013-04-08,570.4
2013-04-09,572.9
2013-04-10,570.7
2013-04-11,570.55
2013-04-12,558.15
2013-04-15,550.8
2013-04-16,563.6
2013-04-17,574.15
2013-04-18,582.9
2013-04-22,580.8
2013-04-23,580.1
2013-04-25,579.95
2013-04-26,576.8
2013-04-29,572.1
2013-04-30,574.1
2013-05-02,576.4
2013-05-03,578.35
2013-05-06,580.65
2013-05-07,586.4
2013-05-08,579.0
2013-05-09,578.65
2013-05-10,577.5
2013-05-11,579.4
2013-05-13,577.25
2013-05-14,576.35
2013-05-15,594.95
2013-05-16,610.3
2013-05-17,613.4
2013-05-20,599.25
2013-05-21,583.95
2013-05-22,590.6
2013-05-23,596.6
2013-05-24,588.55
2013-05-27,583.65
2013-05-28,582.15
2013-05-29,583.05
2013-05-30,580.65
2013-05-31,581.15
2013-06-03,580.1
2013-06-04,580.3
2013-06-05,580.7
2013-06-06,583.15
2013-06-07,600.2
2013-06-10,609.65
2013-06-11,589.15
2013-06-12,596.4
2013-06-13,594.95
2013-06-14,612.65
2013-06-17,611.75
2013-06-18,606.2
2013-06-19,601.95
2013-06-20,580.75
2013-06-21,587.9
2013-06-24,594.1
2013-06-25,590.75
2013-06-26,597.9
2013-06-27,602.6
2013-06-28,598.2
2013-07-01,599.45
2013-07-02,600.0
2013-07-03,598.5
2013-07-04,593.5
