Date,SREEL
2014-01-01,298.0
2014-01-02,299.9
2014-01-03,300.0
2014-01-06,300.0
2014-01-07,291.3
2014-01-08,292.7
2014-01-09,302.0
2014-01-10,300.05
2014-01-13,300.0
2014-01-14,298.75
2014-01-15,299.5
2014-01-16,300.0
2014-01-17,297.0
2014-01-20,301.5
2014-01-22,297.3
2014-01-23,295.0
2014-01-24,301.0
2014-01-27,298.0
2014-01-28,299.0
2014-01-29,304.95
2014-01-30,298.0
2014-01-31,298.0
2014-02-03,298.0
2014-02-05,297.5
2014-02-06,295.0
2014-02-07,298.0
2014-02-10,298.0
2014-02-11,301.5
2014-02-12,298.0
2014-02-13,305.0
2014-02-14,304.9
2014-02-17,297.0
2014-02-18,298.0
2014-02-19,298.0
2014-02-20,296.8
2014-02-21,297.25
2014-02-24,297.0
2014-02-25,294.0
2014-02-26,285.0
2014-02-28,294.0
2014-03-03,272.45
2014-03-04,270.6
2014-03-05,266.5
2014-03-06,265.45
2014-03-07,277.9
2014-03-10,263.0
2014-03-11,279.0
2014-03-12,262.0
2014-03-13,260.0
2014-03-14,259.5
2014-03-18,265.0
2014-03-19,257.55
2014-03-20,256.65
2014-03-21,256.55
2014-03-22,255.0
2014-03-24,256.3
2014-03-25,255.85
2014-03-26,256.5
2014-03-27,257.3
2014-03-28,270.0
2014-03-31,275.0
2014-04-01,257.0
2014-04-02,256.0
2014-04-03,253.0
2014-04-04,259.0
2014-04-07,260.0
2014-04-09,266.0
2014-04-10,272.85
2014-04-15,234.5
2014-04-16,238.65
2014-04-17,271.95
2014-04-21,271.9
2014-04-22,267.9
2014-04-25,262.55
2014-04-28,258.0
2014-04-29,266.0
2014-04-30,271.5
2014-05-05,253.25
2014-05-06,272.95
2014-05-07,272.0
2014-05-12,259.5
2014-05-14,258.0
2014-05-15,249.95
2014-05-19,269.95
2014-05-20,266.95
2014-05-21,260.0
2014-05-22,262.0
2014-05-23,264.95
2014-05-27,267.95
2014-05-28,267.4
2014-05-29,267.0
2014-05-30,254.0
2014-06-04,263.5
2014-06-05,250.0
2014-06-06,256.25
2014-06-09,260.1
2014-06-10,255.75
2014-06-12,256.0
2014-06-13,255.0
2014-06-17,262.5
2014-06-18,248.65
2014-06-19,255.0
2014-06-20,255.0
2014-06-23,255.0
2014-06-26,255.0
2014-06-27,264.9
2014-06-30,264.9
2014-07-01,257.7
2014-07-02,269.8
2014-07-04,257.5
2014-07-07,257.6
2014-07-08,264.4
2014-07-09,257.4
2014-07-10,262.5
2014-07-11,255.95
2014-07-14,256.75
2014-07-15,255.25
2014-07-16,265.0
2014-07-17,265.0
2014-07-18,265.0
2014-07-21,253.45
2014-07-22,255.0
2014-07-23,255.25
2014-07-24,264.9
2014-07-25,261.15
2014-07-28,255.7
2014-07-30,255.0
2014-07-31,265.0
2014-08-01,255.0
2014-08-04,255.5
