Date,AROGRANITE
2013-01-01,35.9
2013-01-02,35.7
2013-01-03,36.15
2013-01-04,36.25
2013-01-07,36.15
2013-01-08,36.0
2013-01-09,35.55
2013-01-10,35.5
2013-01-11,35.05
2013-01-14,33.9
2013-01-15,33.65
2013-01-16,33.5
2013-01-17,34.0
2013-01-18,33.45
2013-01-21,33.25
2013-01-22,34.65
2013-01-23,33.05
2013-01-24,33.05
2013-01-25,35.5
2013-01-28,34.65
2013-01-29,32.5
2013-01-31,32.05
2013-02-01,34.1
2013-02-04,34.8
2013-02-05,34.9
2013-02-06,34.85
2013-02-07,34.25
2013-02-08,33.95
2013-02-11,32.7
2013-02-12,32.2
2013-02-14,32.05
2013-02-15,31.5
2013-02-18,30.95
2013-02-19,31.05
2013-02-20,31.65
2013-02-21,33.65
2013-02-22,32.0
2013-02-25,30.85
2013-02-26,31.0
2013-02-27,30.55
2013-02-28,30.3
2013-03-01,29.1
2013-03-04,29.0
2013-03-05,28.9
2013-03-06,29.55
2013-03-07,30.0
2013-03-11,29.55
2013-03-12,29.6
2013-03-13,29.1
2013-03-14,29.15
2013-03-15,29.6
2013-03-18,29.0
2013-03-19,29.4
2013-03-20,29.85
2013-03-21,30.45
2013-03-22,29.8
2013-03-25,29.35
2013-03-26,28.35
2013-03-28,28.7
2013-04-01,27.5
2013-04-02,28.6
2013-04-03,29.15
2013-04-04,27.85
2013-04-05,29.35
2013-04-08,26.0
2013-04-11,29.45
2013-04-22,30.3
2013-04-23,30.1
2013-04-25,30.7
2013-04-26,29.4
2013-04-30,30.35
2013-05-03,27.0
2013-05-06,30.0
2013-05-09,30.65
2013-05-10,29.5
2013-05-15,29.55
2013-05-21,27.0
2013-05-28,27.05
2013-06-03,31.85
2013-06-13,27.9
2013-06-19,25.1
2013-06-20,26.0
2013-06-21,29.45
2013-06-26,29.95
2013-07-02,29.9
2013-07-03,29.45
2013-07-04,28.5
2013-07-05,29.85
2013-07-08,29.0
2013-07-09,27.55
2013-07-11,26.6
2013-07-15,27.5
2013-07-18,28.85
