Date,RANASUG
2013-01-01,3.75
2013-01-02,3.8
2013-01-03,3.75
2013-01-04,3.7
2013-01-07,3.75
2013-01-08,3.8
2013-01-09,3.8
2013-01-10,3.75
2013-01-11,3.75
2013-01-14,3.75
2013-01-15,3.75
2013-01-16,3.75
2013-01-17,3.65
2013-01-18,3.7
2013-01-21,3.75
2013-01-22,3.6
2013-01-23,3.55
2013-01-24,3.4
2013-01-25,3.4
2013-01-28,3.3
2013-01-29,3.25
2013-01-30,3.2
2013-01-31,3.2
2013-02-01,3.25
2013-02-04,3.2
2013-02-05,3.1
2013-02-06,3.3
2013-02-07,3.25
2013-02-08,3.3
2013-02-11,3.2
2013-02-12,3.2
2013-02-13,3.25
2013-02-14,3.2
2013-02-15,3.05
2013-02-18,3.55
2013-02-19,3.6
2013-02-20,3.65
2013-02-21,3.35
2013-02-22,3.3
2013-02-25,3.25
2013-02-26,3.1
2013-02-27,3.2
2013-02-28,3.15
2013-03-01,3.05
2013-03-04,2.9
2013-03-05,2.95
2013-03-06,3.0
2013-03-07,3.05
2013-03-08,3.15
2013-03-11,3.1
2013-03-12,3.2
2013-03-13,3.25
2013-03-14,3.25
2013-03-15,3.1
2013-03-18,3.2
2013-03-19,3.05
2013-03-20,3.0
2013-03-21,2.8
2013-03-22,2.75
2013-03-25,2.65
2013-03-26,2.6
2013-03-28,2.8
2013-04-01,2.95
2013-04-02,3.2
2013-04-03,3.1
2013-04-04,3.35
2013-04-05,3.55
2013-04-08,3.5
2013-04-09,3.3
2013-04-10,3.2
2013-04-11,3.05
2013-06-14,2.6
2013-06-17,2.55
2013-06-18,2.65
2013-06-19,2.65
2013-06-20,2.65
2013-06-21,2.55
2013-06-24,2.45
2013-06-25,2.5
2013-06-26,2.45
2013-06-27,2.45
2013-06-28,2.45
2013-07-01,2.55
2013-07-02,2.45
2013-07-03,2.5
2013-07-04,2.4
2013-07-05,2.35
2013-07-08,2.4
2013-07-09,2.45
2013-07-10,2.45
2013-07-11,2.45
