Date,MORARJEE
2013-03-04,11.9
2013-03-05,12.25
2013-03-06,12.0
2013-03-07,13.2
2013-03-08,13.75
2013-03-11,13.15
2013-03-12,13.4
2013-03-13,13.0
2013-03-14,12.75
2013-03-15,12.6
2013-03-18,11.6
2013-03-19,11.65
2013-03-21,12.05
2013-03-22,11.95
2013-03-25,11.1
2013-03-26,11.95
2013-03-28,11.95
2013-04-02,12.8
2013-04-03,12.3
2013-04-08,12.0
2013-04-09,12.5
2013-04-11,11.85
2013-04-15,12.0
2013-04-16,11.55
2013-04-17,11.5
2013-04-18,11.4
2013-04-22,11.25
2013-04-23,12.1
2013-04-25,11.05
2013-04-30,11.85
2013-05-03,11.95
2013-05-06,12.2
2013-05-07,11.5
2013-05-08,11.3
2013-05-09,11.3
2013-05-10,11.8
2013-05-13,13.8
2013-05-14,15.75
2013-05-15,14.85
2013-05-16,14.9
2013-05-17,14.1
2013-05-20,14.05
2013-05-21,15.15
2013-05-22,14.8
2013-05-23,14.6
2013-05-24,15.0
2013-05-28,14.7
2013-05-29,17.6
2013-05-30,19.3
2013-05-31,19.0
2013-06-03,18.6
2013-06-04,19.0
2013-06-05,20.6
2013-06-06,20.35
2013-06-07,20.75
2013-06-10,20.7
2013-06-11,22.05
2013-06-12,20.65
2013-06-13,21.25
2013-08-30,18.65
2013-09-02,18.4
2013-09-03,18.9
2013-09-04,19.2
2013-09-05,18.4
2013-09-06,18.85
2013-09-10,19.5
2013-09-11,19.45
2013-09-12,18.95
2013-09-13,19.4
2013-09-16,19.75
2013-09-17,19.3
2013-09-18,20.1
2013-09-19,20.0
2013-09-20,20.3
2013-09-23,19.7
2013-09-24,19.75
2013-09-25,20.0
2013-09-26,19.9
2013-09-27,20.0
2013-09-30,20.0
2013-10-01,20.15
2013-10-03,20.05
2013-10-07,19.85
2013-10-08,19.8
2013-10-09,20.0
2013-10-10,21.0
2013-10-11,23.1
2013-10-14,25.4
2013-10-15,25.6
2013-10-17,24.35
2013-10-18,23.5
2013-10-21,23.3
2013-10-22,24.35
2013-10-23,23.15
2013-10-24,22.6
2013-10-25,22.3
2013-10-28,23.0
2013-10-29,23.5
2013-10-30,23.85
2013-10-31,23.7
2013-11-01,23.3
2013-11-03,23.65
2013-11-05,24.0
2013-11-06,23.75
2013-11-07,24.4
2013-11-08,26.8
2013-11-11,27.5
2013-11-12,27.25
2013-11-13,25.6
2013-11-14,25.7
2013-11-18,27.0
2013-11-19,26.9
2013-11-20,26.0
2013-11-21,26.0
2013-11-22,24.8
2013-11-25,25.1
2013-11-26,24.7
2013-11-27,24.8
2013-11-28,25.15
2013-11-29,25.4
2013-12-02,26.0
2013-12-03,25.9
2013-12-04,26.85
2013-12-05,27.75
2013-12-06,26.95
2013-12-09,26.25
2013-12-10,25.5
2013-12-11,25.2
2013-12-12,25.2
2013-12-13,25.5
2013-12-16,25.1
2013-12-17,24.6
2013-12-18,24.6
2013-12-19,24.5
2013-12-20,25.0
2013-12-23,27.0
2013-12-24,27.2
2013-12-26,29.1
2013-12-27,30.9
2013-12-30,29.4
2013-12-31,29.1
2014-01-01,28.85
2014-01-02,28.5
2014-01-03,28.3
2014-01-06,29.0
2014-01-07,29.25
2014-01-08,28.5
2014-01-09,28.4
2014-01-10,28.85
2014-01-13,28.45
2014-01-14,29.75
2014-01-15,29.5
