Date,MIRZAINT
2013-03-01,20.3
2013-03-04,19.85
2013-03-05,19.85
2013-03-06,19.95
2013-03-07,20.0
2013-03-08,20.15
2013-03-11,20.05
2013-03-12,20.05
2013-03-13,19.95
2013-03-14,19.95
2013-03-15,19.8
2013-03-18,19.8
2013-03-19,19.6
2013-03-20,18.85
2013-03-21,18.5
2013-03-22,18.2
2013-03-25,18.05
2013-03-26,17.95
2013-03-28,18.25
2013-04-01,19.1
2013-04-02,19.55
2013-04-03,19.45
2013-04-04,19.05
2013-04-05,20.55
2013-04-08,21.25
2013-04-09,20.6
2013-04-10,20.5
2013-04-11,20.2
2013-04-12,19.85
2013-04-15,19.9
2013-04-16,19.95
2013-04-17,20.05
2013-04-18,20.5
2013-04-22,20.25
2013-04-23,20.3
2013-04-25,20.6
2013-04-26,20.3
2013-04-29,20.3
2013-04-30,21.0
2013-05-02,21.15
2013-05-03,20.6
2013-05-06,20.65
2013-05-07,20.5
2013-05-08,20.9
2013-05-09,20.9
2013-05-10,20.75
2013-05-11,20.8
2013-05-13,20.45
2013-05-14,20.2
2013-05-15,20.95
2013-05-16,20.85
2013-05-17,20.9
2013-05-20,21.15
2013-05-21,20.75
2013-05-22,20.5
2013-05-23,19.9
2013-05-24,20.5
2013-05-27,21.95
2013-05-28,22.55
2013-05-29,21.85
2013-05-30,24.9
2013-05-31,24.0
2013-06-03,22.9
2013-06-04,24.0
2013-06-05,24.05
2013-06-06,24.05
2013-06-07,23.65
2013-06-10,23.1
2013-06-11,22.35
2013-06-12,21.9
2013-06-13,22.0
2013-06-14,21.95
2013-06-17,21.95
2013-06-18,21.6
2013-06-19,21.8
2013-06-20,21.4
2013-06-21,21.45
2013-06-24,20.3
2013-06-25,20.25
2013-06-26,19.95
2013-06-27,20.3
2013-06-28,20.65
2013-07-01,21.7
2013-07-02,21.55
2013-07-03,20.75
2013-07-04,21.05
2013-07-05,22.15
2013-07-08,22.35
2013-07-09,22.2
2013-07-10,21.7
2013-07-11,21.9
2013-07-12,21.7
2013-07-15,21.9
2013-07-16,21.7
2013-07-17,21.7
2013-07-18,21.6
2013-07-19,23.05
2013-07-22,24.1
2013-07-23,23.3
2013-07-24,22.65
2013-07-25,22.4
2013-07-26,21.6
2013-07-29,21.85
2013-07-30,22.15
2013-07-31,20.8
2013-08-01,20.25
2013-08-02,19.65
2013-08-05,20.35
2013-08-06,19.7
2013-08-07,19.75
2013-08-08,19.95
2013-08-12,20.5
2013-08-13,20.25
2013-08-14,20.4
2013-08-16,19.95
2013-08-19,19.65
2013-08-20,20.05
2013-08-21,19.9
2013-08-22,20.45
2013-08-23,20.15
2013-08-26,20.1
2013-08-27,19.95
2013-08-28,19.9
2013-08-29,20.2
2013-08-30,20.1
2013-09-02,20.45
2013-09-03,20.15
2013-09-04,21.0
2013-09-05,21.1
2013-09-06,21.35
2013-09-10,21.55
2013-09-11,21.25
2013-09-12,21.4
2013-09-13,21.2
2013-09-16,21.35
2013-09-17,21.1
2013-09-18,20.75
2013-09-19,20.8
2013-09-20,20.35
2013-09-23,20.25
2013-09-24,20.25
2013-09-25,20.05
2013-09-26,20.05
2013-09-27,20.25
2013-09-30,21.2
2013-10-01,20.9
2013-10-03,20.8
2013-10-04,20.7
2013-10-07,20.8
2013-10-08,21.0
