Date,ARVSMART
2015-09-09,30.35
2015-09-10,33.35
2015-09-11,35.9
2015-09-14,39.45
2015-09-15,43.35
2015-09-16,45.5
2015-09-18,47.75
2015-09-21,50.1
2015-09-22,52.45
2015-09-23,55.05
2015-09-24,57.8
2015-09-28,60.65
2015-09-29,63.65
2015-09-30,66.8
2015-10-01,70.1
2015-10-05,73.6
2015-10-06,77.25
2015-10-07,73.4
2015-10-08,69.75
2015-10-09,73.2
2015-10-12,75.8
2015-10-13,72.05
2015-10-14,68.5
2015-10-15,69.9
2015-10-16,71.6
2015-10-19,69.7
2015-10-20,70.95
2015-10-21,68.5
2015-10-23,67.35
2015-10-26,68.85
2015-10-27,65.9
2015-10-28,63.1
2015-10-29,62.0
2015-10-30,61.1
2015-11-02,60.1
2015-11-03,63.1
2015-11-04,61.55
2015-11-05,64.0
2015-11-06,67.2
2015-11-09,70.55
2015-11-10,69.05
2015-11-11,72.5
2015-11-13,72.05
2015-11-16,72.25
2015-11-17,70.95
2015-11-18,70.8
2015-11-19,74.3
2015-11-20,78.0
2015-11-23,81.9
2015-11-24,85.95
2015-11-26,90.2
2015-11-27,94.7
2015-11-30,93.4
2015-12-01,89.95
2015-12-02,94.4
2015-12-03,98.9
2015-12-04,96.8
2015-12-07,96.9
2016-01-05,98.3
2016-01-06,103.2
2016-01-07,108.35
2016-01-08,113.75
2016-01-11,119.4
2016-01-12,125.35
2016-01-13,119.1
2016-01-14,113.15
2016-01-15,107.5
2016-01-18,102.15
2016-01-19,98.6
2016-01-20,97.7
2016-01-21,102.25
2016-01-22,107.35
2016-01-25,112.6
2016-01-27,109.15
2016-01-28,104.75
2016-01-29,101.85
2016-02-01,106.9
2016-02-02,107.65
2016-02-03,102.45
2016-02-04,100.8
2016-02-05,100.8
2016-02-08,98.75
2016-02-09,97.4
2016-02-10,87.7
2016-02-11,78.95
2016-02-12,71.1
2016-02-15,72.25
2016-02-16,69.75
2016-02-17,70.55
2016-02-18,70.8
2016-02-19,74.3
2016-02-22,78.0
2016-02-23,75.3
2016-02-24,73.7
2016-02-25,77.35
2016-02-26,80.1
2016-02-29,84.1
2016-03-01,88.3
2016-03-02,87.25
2016-03-03,84.85
2016-03-04,84.15
2016-03-08,80.9
2016-03-09,81.25
2016-03-10,77.75
2016-03-11,78.3
2016-03-14,82.2
2016-03-15,81.35
2016-03-16,79.85
2016-03-17,80.4
2016-03-18,78.85
2016-03-21,82.75
2016-03-22,83.3
2016-03-23,81.65
2016-03-28,79.9
2016-03-29,82.05
2016-03-30,86.15
2016-03-31,83.2
2016-04-01,83.0
2016-04-04,91.05
2016-04-05,86.55
2016-04-06,90.95
2016-04-07,90.5
2016-04-08,88.25
2016-04-11,88.8
2016-04-12,91.8
2016-04-13,91.3
2016-04-18,93.5
2016-04-20,93.5
2016-04-21,90.95
2016-04-22,90.3
2016-04-25,93.3
2016-04-26,91.8
2016-04-27,90.15
2016-04-28,88.35
2016-04-29,88.85
2016-05-02,87.15
2016-05-03,85.7
2016-05-04,85.15
2016-05-05,85.05
2016-05-06,84.3
2016-05-09,83.3
2016-05-10,83.5
2016-05-11,84.45
2016-05-12,83.15
2016-05-13,99.75
2016-05-16,91.25
2016-05-17,90.95
2016-05-18,91.8
2016-05-19,89.75
2016-05-20,88.85
2016-05-23,85.0
2016-05-24,83.1
2016-05-25,84.7
2016-05-26,84.7
2016-05-27,86.4
2016-05-30,87.35
2016-05-31,87.0
2016-06-01,88.3
2016-06-02,86.8
2016-06-03,88.15
2016-06-06,86.1
2016-06-07,86.75
2016-06-08,87.1
2016-06-09,85.45
2016-06-10,84.15
2016-06-13,83.95
2016-06-14,84.15
2016-06-15,84.7
2016-06-16,83.5
2016-06-17,83.45
2016-06-20,85.6
2016-06-21,84.65
2016-06-22,83.8
2016-06-23,83.4
2016-06-24,81.45
2016-06-27,85.9
2016-06-28,85.7
2016-06-29,98.65
2016-06-30,97.2
2016-07-01,93.9
2016-07-04,93.9
2016-07-05,92.15
2016-07-07,91.6
2016-07-08,90.55
2016-07-11,93.0
2016-07-12,91.9
2016-07-13,91.45
2016-07-14,90.95
2016-07-15,89.85
2016-07-18,88.5
2016-07-19,90.85
2016-07-20,89.75
2016-07-21,89.25
2016-07-22,89.05
2016-07-25,88.65
2016-07-26,88.6
2016-07-27,87.85
2016-07-28,87.55
2016-07-29,87.15
2016-08-01,85.8
2016-08-02,85.3
2016-08-03,84.5
2016-08-04,85.35
2016-08-05,86.55
2016-08-08,86.35
2016-08-09,86.05
2016-08-10,83.85
2016-08-11,84.35
2016-08-12,82.55
2016-08-16,82.15
2016-08-17,83.5
2016-08-18,82.95
2016-08-19,82.65
2016-08-22,81.9
2016-08-23,82.0
2016-08-24,86.95
2016-08-25,83.85
2016-08-26,83.55
2016-08-29,83.85
2016-08-30,83.15
2016-08-31,82.6
2016-09-01,82.05
2016-09-02,81.75
2016-09-06,83.0
2016-09-07,82.5
2016-09-08,82.95
2016-09-09,82.85
2016-09-12,82.1
2016-09-14,82.0
2016-09-15,82.25
2016-09-16,79.95
2016-09-19,81.25
2016-09-20,81.45
2016-09-21,81.45
2016-09-22,83.05
2016-09-23,84.35
2016-09-26,82.85
2016-09-27,82.6
2016-09-28,83.35
2016-09-29,79.6
2016-09-30,80.7
2016-10-03,81.65
2016-10-04,81.05
2016-10-05,80.7
2016-10-06,83.35
2016-10-07,84.55
2016-10-10,86.3
2016-10-13,83.45
2016-10-14,84.05
2016-10-17,82.8
2016-10-18,87.15
2016-10-19,88.95
2016-10-20,96.35
2016-10-21,93.25
2016-10-24,95.5
2016-10-25,96.15
2016-10-26,94.25
2016-10-27,94.05
2016-10-28,94.4
2016-10-30,95.0
2016-11-01,93.45
2016-11-02,90.75
2016-11-03,88.4
2016-11-04,85.75
2016-11-07,88.4
2016-11-08,85.8
2016-11-09,81.3
2016-11-10,82.3
2016-11-11,78.05
2016-11-15,72.8
2016-11-16,72.6
2016-11-17,72.5
2016-11-18,71.7
2016-11-21,66.85
2016-11-22,64.6
2016-11-23,68.4
2016-11-24,67.3
2016-11-25,70.0
2016-11-28,70.45
2016-11-29,70.65
2016-11-30,71.35
2016-12-01,70.15
2016-12-02,68.5
2016-12-05,69.25
2016-12-06,70.8
2016-12-07,68.8
2016-12-08,70.9
2016-12-09,69.95
2016-12-12,69.9
2016-12-13,69.55
2016-12-14,68.2
2016-12-15,69.0
2016-12-16,69.0
2016-12-19,68.3
2016-12-20,66.3
2016-12-21,66.65
2016-12-22,67.2
2016-12-23,68.05
2016-12-26,65.15
2016-12-27,66.25
2016-12-28,65.9
2016-12-29,68.05
2016-12-30,68.45
2017-01-02,71.95
2017-01-03,73.45
2017-01-04,73.9
2017-01-05,74.55
2017-01-06,73.75
2017-01-09,73.15
2017-01-10,73.15
2017-01-11,72.1
2017-01-12,72.2
2017-01-13,71.5
2017-01-16,71.55
2017-01-17,72.1
2017-01-18,72.6
2017-01-19,72.7
2017-01-20,71.5
2017-01-23,72.5
2017-01-24,72.9
2017-01-25,73.95
2017-01-27,74.0
2017-01-30,72.4
2017-01-31,72.25
2017-02-01,73.85
2017-02-02,73.6
2017-02-03,72.35
2017-02-06,72.4
2017-02-07,71.85
2017-02-08,72.45
2017-02-09,70.7
2017-02-10,71.65
2017-02-13,70.85
2017-02-14,70.5
2017-02-15,69.8
2017-02-16,70.4
2017-02-17,69.4
2017-02-20,69.8
2017-02-21,68.7
2017-02-22,69.85
2017-02-23,70.55
2017-02-27,69.7
2017-02-28,69.6
2017-03-01,71.35
2017-03-02,70.55
2017-03-03,71.1
2017-03-06,71.05
2017-03-07,71.35
2017-03-08,70.45
2017-03-09,70.15
2017-03-10,71.3
2017-03-14,71.95
2017-03-15,78.5
2017-03-16,82.4
2017-03-17,80.35
2017-03-20,79.15
2017-03-21,79.65
2017-03-22,79.75
2017-03-23,85.65
2017-03-24,85.5
2017-03-27,85.55
2017-03-28,86.25
2017-03-29,83.85
2017-03-30,85.25
2017-03-31,86.55
2017-04-03,91.6
2017-04-05,90.95
2017-04-06,94.65
2017-04-07,96.65
2017-04-10,101.15
2017-04-11,108.5
2017-04-12,104.2
2017-04-13,105.95
2017-04-17,110.1
2017-04-18,104.65
2017-04-19,105.75
2017-04-20,105.45
2017-04-21,105.45
2017-04-24,106.3
2017-04-25,106.15
2017-04-26,104.8
2017-04-27,105.8
2017-04-28,105.0
2017-05-02,106.85
2017-05-03,111.0
2017-05-04,112.45
2017-05-05,110.65
2017-05-08,122.6
2017-05-09,129.65
2017-05-10,129.55
2017-05-11,129.35
2017-05-12,128.15
2017-05-15,130.95
2017-05-16,126.25
2017-05-17,125.4
2017-05-18,121.5
2017-05-19,118.75
2017-05-22,117.2
2017-05-23,112.5
2017-05-24,113.2
2017-05-25,117.7
2017-05-26,119.9
2017-05-29,117.9
2017-05-30,116.8
2017-05-31,120.5
2017-06-01,117.65
2017-06-02,121.55
2017-06-05,131.2
2017-06-06,137.35
2017-06-07,139.1
2017-06-08,136.7
2017-06-09,134.75
2017-06-12,128.35
2017-06-13,129.05
2017-06-14,126.2
2017-06-15,136.9
2017-06-16,139.95
2017-06-19,135.9
2017-06-20,136.3
2017-06-21,136.95
2017-06-22,135.15
2017-06-23,134.95
2017-06-27,135.45
2017-06-28,133.95
2017-06-29,134.4
2017-06-30,136.85
2017-07-03,138.75
2017-07-04,141.45
2017-07-05,140.25
2017-07-06,139.3
2017-07-07,137.0
2017-07-10,140.0
2017-07-11,143.95
2017-07-12,145.3
2017-07-13,143.5
2017-07-14,145.05
2017-07-17,143.15
2017-07-18,142.05
2017-07-19,142.15
2017-07-20,149.35
2017-07-21,145.45
2017-07-24,144.0
2017-07-25,143.5
2017-07-26,143.3
2017-07-27,141.4
2017-07-28,140.95
2017-07-31,144.05
2017-08-01,140.9
2017-08-02,139.05
2017-08-03,136.85
2017-08-04,142.2
2017-08-07,146.25
2017-08-08,143.2
2017-08-09,139.0
2017-08-10,131.1
2017-08-11,128.1
2017-08-14,133.4
2017-08-16,136.65
2017-08-17,135.2
2017-08-18,134.45
2017-08-21,135.05
2017-08-22,130.8
2017-08-23,133.95
2017-08-24,136.5
2017-08-28,138.85
2017-08-29,135.8
2017-08-30,137.05
2017-08-31,137.25
2017-09-01,137.3
2017-09-04,135.6
2017-09-05,138.5
2017-09-06,136.05
2017-09-07,136.5
2017-09-08,137.15
2017-09-11,144.5
2017-09-12,160.95
2017-09-13,156.25
2017-09-14,153.25
2017-09-15,162.75
2017-09-18,161.0
2017-09-19,159.95
2017-09-20,158.15
2017-09-21,155.65
2017-09-22,147.6
2017-09-25,145.7
2017-09-26,146.2
2017-09-27,142.5
2017-09-28,145.6
2017-09-29,145.6
2017-10-03,144.1
2017-10-04,143.5
2017-10-05,146.0
2017-10-06,148.8
2017-10-09,152.2
2017-10-10,151.9
2017-10-11,147.45
2017-10-12,150.05
2017-10-13,148.25
2017-10-16,146.5
2017-10-17,146.1
2017-10-18,150.95
2017-10-19,149.35
2017-10-23,156.85
2017-10-24,164.15
2017-10-25,159.7
2017-10-26,158.75
2017-10-27,158.15
2017-10-30,165.05
2017-10-31,161.65
2017-11-01,162.1
2017-11-02,158.25
2017-11-03,163.4
2017-11-06,163.4
2017-11-07,159.7
2017-11-08,160.75
2017-11-09,161.65
2017-11-10,159.35
2017-11-13,158.45
2017-11-14,157.8
2017-11-15,154.85
2017-11-16,154.7
2017-11-17,154.9
2017-11-20,156.55
2017-11-21,157.6
2017-11-22,173.05
2017-11-23,181.95
2017-11-24,176.9
2017-11-27,180.5
2017-11-28,174.85
2017-11-29,182.8
2017-11-30,179.85
2017-12-01,175.4
2017-12-04,181.5
2017-12-05,182.35
2017-12-06,177.55
2017-12-07,180.45
2017-12-08,180.15
2017-12-11,177.95
2017-12-12,174.5
2017-12-13,170.75
2017-12-14,172.75
2017-12-15,174.35
2017-12-18,175.2
2017-12-19,178.6
2017-12-20,179.6
2017-12-21,175.8
2017-12-22,178.15
2017-12-26,184.25
2017-12-27,192.85
2017-12-28,201.15
2017-12-29,197.55
