Date,RPOWER
2013-01-01,94.8
2013-01-02,95.5
2013-01-03,95.75
2013-01-04,96.0
2013-01-07,96.6
2013-01-08,96.6
2013-01-09,96.05
2013-01-10,95.5
2013-01-11,93.3
2013-01-14,94.25
2013-01-15,94.0
2013-01-16,92.15
2013-01-17,92.85
2013-01-18,93.35
2013-01-21,97.0
2013-01-22,95.15
2013-01-23,94.65
2013-01-24,89.55
2013-01-25,94.5
2013-01-28,94.2
2013-01-29,91.7
2013-01-30,91.8
2013-01-31,92.25
2013-02-01,91.9
2013-02-04,89.75
2013-02-05,89.65
2013-02-06,90.0
2013-02-07,86.45
2013-02-08,85.1
2013-02-11,86.1
2013-02-12,85.55
2013-02-13,82.75
2013-02-14,79.6
2013-02-15,78.65
2013-02-18,80.0
2013-02-19,81.35
2013-02-20,80.7
2013-02-21,79.25
2013-02-22,79.9
2013-02-25,78.65
2013-02-26,77.35
2013-02-27,78.0
2013-02-28,71.9
2013-03-01,72.7
2013-03-04,71.2
2013-03-05,72.65
2013-03-06,74.05
2013-03-07,74.1
2013-03-08,75.15
2013-03-11,75.65
2013-03-12,74.75
2013-03-13,73.65
2013-03-14,75.35
2013-03-15,74.5
2013-03-18,73.5
2013-03-19,70.85
2013-03-20,66.55
2013-03-21,62.7
2013-03-22,62.25
2013-03-25,60.9
2013-03-26,59.15
2013-03-28,61.5
2013-04-01,63.05
2013-04-02,65.6
2013-04-03,66.15
2013-04-04,64.0
2013-04-05,64.1
2013-04-08,64.95
2013-04-09,63.85
2013-04-10,66.05
2013-04-11,65.35
2013-04-12,66.7
2013-04-15,66.95
2013-04-16,70.65
2013-04-17,69.75
2013-04-18,70.95
2013-04-22,73.9
2013-04-23,74.6
2013-04-25,73.9
2013-04-26,71.05
2013-04-29,73.55
2013-04-30,71.35
2013-05-02,73.5
2013-05-03,73.3
2013-05-06,76.75
2013-05-07,77.7
2013-05-08,77.15
2013-05-09,79.35
2013-05-10,79.7
2013-05-11,80.0
2013-05-13,77.55
2013-05-14,77.7
2013-05-15,79.5
2013-05-16,79.75
2013-05-17,80.95
2013-05-20,80.7
2013-05-21,80.95
2013-05-22,78.3
2013-05-23,72.6
2013-05-24,73.7
2013-05-27,75.35
2013-05-28,75.6
2013-05-29,73.55
2013-05-30,71.85
2013-05-31,68.85
2013-06-03,69.75
2013-06-04,69.35
2013-06-05,70.55
2013-06-06,71.0
2013-06-07,69.65
2013-06-10,67.9
2013-06-11,65.7
2013-06-12,65.2
2013-06-13,64.65
2013-06-14,66.3
2013-06-17,66.7
2013-06-18,67.55
2013-06-19,67.55
2013-06-20,64.6
2013-06-21,63.5
2013-06-24,61.55
2013-06-25,61.7
2013-06-26,61.45
2013-06-27,61.15
2013-06-28,64.6
2013-07-01,68.9
2013-07-02,67.95
2013-07-03,65.55
2013-07-04,67.5
2013-07-05,67.75
2013-07-08,71.3
2013-07-09,75.8
2013-07-10,73.6
2013-07-11,74.65
2013-07-12,76.8
2013-07-15,77.55
2013-07-16,78.3
2013-07-17,78.15
2013-07-18,79.75
2013-07-19,79.95
2013-07-22,78.75
2013-07-23,80.05
2013-07-24,78.2
2013-07-25,76.3
2013-07-26,78.1
2013-07-29,74.95
2013-07-30,72.45
2013-07-31,73.0
2013-08-01,68.65
2013-08-02,65.15
2013-08-05,66.75
2013-08-06,67.0
2013-08-07,71.75
2013-08-08,71.9
2013-08-12,73.1
2013-08-13,74.85
2013-08-14,75.75
2013-08-16,68.95
2013-08-19,69.2
2013-08-20,69.7
2013-08-21,66.65
2013-08-22,69.1
2013-08-23,68.75
2013-08-26,69.65
2013-08-27,66.65
2013-08-28,66.4
2013-08-29,66.95
2013-08-30,67.7
2013-09-02,69.6
2013-09-03,65.7
2013-09-04,66.85
2013-09-05,69.45
2013-09-06,68.55
2013-09-10,68.2
2013-09-11,68.8
2013-09-12,67.75
2013-09-13,69.35
2013-09-16,67.95
2013-09-17,68.2
2013-09-18,67.65
2013-09-19,70.85
2013-09-20,70.85
2013-09-23,72.35
2013-09-24,72.35
2013-09-25,71.7
2013-09-26,71.45
2013-09-27,70.75
2013-09-30,67.45
2013-10-01,67.55
2013-10-03,69.1
2013-10-04,69.55
2013-10-07,70.05
2013-10-08,70.4
2013-10-09,72.0
2013-10-10,72.2
2013-10-11,71.6
2013-10-14,73.6
2013-10-15,71.25
2013-10-17,70.5
2013-10-18,72.2
2013-10-21,73.55
2013-10-22,76.4
2013-10-23,75.6
2013-10-24,74.15
2013-10-25,72.9
2013-10-28,71.3
2013-10-29,72.95
2013-10-30,73.05
2013-10-31,73.15
2013-11-01,75.35
2013-11-03,75.55
2013-11-05,77.05
2013-11-06,77.35
2013-11-07,74.6
2013-11-08,75.35
2013-11-11,73.4
2013-11-12,71.25
2013-11-13,69.65
2013-11-14,71.0
2013-11-18,72.8
2013-11-19,72.55
2013-11-20,72.8
2013-11-21,70.8
2013-11-22,69.85
2013-11-25,71.2
2013-11-26,71.15
2013-11-27,70.8
2013-11-28,70.1
2013-11-29,71.9
2013-12-02,73.7
2013-12-03,73.0
2013-12-04,73.1
2013-12-05,74.1
2013-12-06,74.85
2013-12-09,75.75
2013-12-10,73.45
2013-12-11,72.75
2013-12-12,72.8
2013-12-13,71.1
2013-12-16,70.25
2013-12-17,69.75
2013-12-18,71.2
2013-12-19,70.0
2013-12-20,71.6
2013-12-23,72.05
2013-12-24,71.6
2013-12-26,72.6
2013-12-27,73.75
2013-12-30,73.0
2013-12-31,73.2
2014-01-01,74.2
2014-01-02,71.65
2014-01-03,71.3
2014-01-06,70.4
2014-01-07,69.15
2014-01-08,68.85
2014-01-09,67.7
2014-01-10,66.5
2014-01-13,67.25
2014-01-14,67.45
2014-01-15,68.75
2014-01-16,68.1
2014-01-17,67.6
2014-01-20,68.2
2014-01-21,68.15
2014-01-22,68.5
2014-01-23,67.95
2014-01-24,66.7
2014-01-27,63.9
