Date,INGERRAND
2013-01-01,497.6
2013-01-02,492.3
2013-01-03,494.35
2013-01-04,495.1
2013-01-07,490.35
2013-01-08,494.45
2013-01-09,489.55
2013-01-10,494.8
2013-01-11,489.0
2013-01-14,486.4
2013-01-15,483.3
2013-01-16,475.85
2013-01-17,475.75
2013-01-18,472.8
2013-01-21,472.3
2013-01-22,470.7
2013-01-23,464.45
2013-01-24,460.05
2013-01-25,459.95
2013-01-28,468.6
2013-01-29,465.9
2013-01-30,463.85
2013-01-31,460.35
2013-02-01,456.1
2013-02-04,457.95
2013-02-05,446.2
2013-02-06,442.15
2013-02-07,437.3
2013-02-08,426.2
2013-02-11,422.75
2013-02-12,424.2
2013-02-13,423.7
2013-02-14,420.35
2013-02-15,409.35
2013-02-18,415.8
2013-02-19,419.0
2013-02-20,429.8
2013-02-21,420.6
2013-02-22,416.85
2013-02-25,420.95
2013-02-26,418.45
2013-02-27,419.1
2013-02-28,409.0
2013-03-01,411.85
2013-03-04,413.6
2013-03-05,413.4
2013-03-06,407.9
2013-03-07,406.5
2013-03-08,404.75
2013-03-11,406.85
2013-03-12,405.85
2013-03-13,400.6
2013-03-14,400.0
2013-03-15,401.3
2013-03-18,400.05
2013-03-19,396.95
2013-03-20,386.95
2013-03-21,411.9
2013-03-22,404.5
2013-03-25,389.2
2013-03-26,385.95
2013-03-28,386.65
2013-04-01,397.55
2013-04-02,404.9
2013-04-03,400.5
2013-04-04,386.6
2013-04-05,406.5
2013-04-08,402.95
2013-04-09,394.25
2013-04-10,392.25
2013-04-11,389.6
2013-04-12,384.3
2013-04-15,386.8
2013-04-16,388.45
2013-04-17,391.9
2013-04-18,401.15
2013-04-22,393.2
2013-04-23,398.1
2013-04-25,396.9
2013-04-26,398.0
2013-04-29,398.9
2013-04-30,398.05
2013-05-02,403.55
2013-05-03,399.95
2013-05-06,395.1
2013-05-07,395.7
2013-05-08,401.4
2013-05-09,396.45
2013-05-10,395.7
2013-05-11,402.4
2013-05-13,397.45
2013-05-14,400.05
2013-05-15,400.2
2013-05-16,401.4
2013-05-17,411.65
2013-05-20,403.55
2013-05-21,400.5
2013-05-22,401.55
2013-05-23,398.75
2013-05-24,398.4
2013-05-27,401.45
2013-05-28,411.15
2013-05-29,405.15
2013-05-30,405.3
2013-05-31,405.05
2013-06-03,393.35
2013-06-04,394.85
2013-06-05,394.6
2013-06-06,397.55
2013-06-07,392.05
2013-06-10,392.15
2013-06-11,389.85
2013-06-12,383.15
2013-06-13,380.5
2013-06-14,382.95
2013-06-17,384.9
2013-06-18,388.0
2013-06-19,387.75
2013-06-20,386.25
2013-06-21,376.95
2013-06-24,370.05
2013-06-25,371.6
2013-06-26,369.5
2013-06-27,368.95
2013-06-28,373.8
2013-07-01,371.75
2013-07-02,373.05
2013-07-03,368.55
2013-07-04,367.7
2013-07-05,370.55
2013-07-08,371.85
2013-07-09,372.1
2013-07-10,372.35
2013-07-11,375.45
2013-07-12,380.65
2013-07-15,384.8
2013-07-16,384.4
2013-07-17,377.35
2013-07-18,374.05
2013-07-19,367.65
2013-07-22,365.8
2013-07-23,367.1
2013-07-24,368.2
2013-07-25,359.5
2013-07-26,359.75
2013-07-29,353.8
2013-07-30,346.4
2013-07-31,340.5
2013-08-01,340.7
2013-08-02,330.65
2013-08-05,331.2
2013-08-06,320.8
2013-08-07,325.05
2013-08-08,322.5
2013-08-12,325.7
2013-08-13,324.4
2013-08-14,329.6
2013-08-16,323.85
2013-08-19,312.85
2013-08-20,310.55
2013-08-21,310.95
2013-08-22,314.05
2013-08-23,315.2
2013-08-26,317.0
2013-08-27,312.95
2013-08-28,312.3
2013-08-29,309.9
2013-08-30,314.0
2013-09-02,321.8
2013-09-03,304.8
2013-09-04,304.55
2013-09-05,306.4
2013-09-06,307.9
2013-09-10,310.7
2013-09-11,312.3
2013-09-12,322.3
2013-09-13,339.0
2013-09-16,331.3
2013-09-17,329.55
2013-09-18,325.5
2013-09-19,330.75
2013-09-20,324.25
2013-09-23,326.55
2013-09-24,323.95
2013-09-25,323.35
2013-09-26,323.85
2013-09-27,318.8
2013-09-30,321.5
2013-10-01,323.4
2013-10-03,330.9
2013-10-04,328.65
2013-10-07,327.9
2013-10-08,333.6
2013-10-09,327.6
2013-10-10,331.7
2013-10-11,338.2
2013-10-14,346.0
2013-10-15,341.9
2013-10-17,341.0
2013-10-18,337.75
2013-10-21,345.5
2013-10-22,350.95
2013-10-23,353.95
2013-10-24,342.9
2013-10-25,341.45
2013-10-28,332.0
2013-10-29,327.4
2013-10-30,331.95
2013-10-31,332.8
2013-11-01,333.0
2013-11-03,337.95
2013-11-05,337.55
2013-11-06,342.7
2013-11-07,335.25
2013-11-08,339.3
2013-11-11,337.55
2013-11-12,334.2
2013-11-13,329.05
2013-11-14,327.35
2013-11-18,328.0
2013-11-19,328.6
2013-11-20,333.7
2013-11-21,328.55
2013-11-22,340.45
2013-11-25,350.75
2013-11-26,336.15
2013-11-27,344.1
2013-11-28,351.1
2013-11-29,354.9
2013-12-02,359.9
2013-12-03,363.35
2013-12-04,370.6
2013-12-05,370.75
2013-12-06,364.05
2013-12-09,360.05
2013-12-10,364.9
2013-12-11,365.25
