Date,SOBHA
2013-01-01,385.2
2013-01-02,385.95
2013-01-03,389.55
2013-01-04,385.85
2013-01-07,387.65
2013-01-08,389.15
2013-01-09,383.0
2013-01-10,390.65
2013-01-11,385.95
2013-01-14,397.7
2013-01-15,420.8
2013-01-16,401.7
2013-01-17,411.65
2013-01-18,418.15
2013-01-21,417.95
2013-01-22,425.1
2013-01-23,418.05
2013-01-24,395.9
2013-01-25,419.3
2013-01-28,420.25
2013-01-29,427.35
2013-01-30,424.3
2013-01-31,429.2
2013-02-01,423.7
2013-02-04,425.05
2013-02-05,419.2
2013-02-06,428.85
2013-02-07,431.9
2013-02-08,436.15
2013-02-11,442.75
2013-02-12,442.9
2013-02-13,454.2
2013-02-14,424.2
2013-02-15,442.8
2013-02-18,427.75
2013-02-19,420.65
2013-02-20,414.95
2013-02-21,403.25
2013-02-22,401.5
2013-02-25,399.0
2013-02-26,373.7
2013-02-27,388.9
2013-02-28,389.9
2013-03-01,378.95
2013-03-04,367.9
2013-03-05,385.45
2013-03-06,411.9
2013-03-07,419.1
2013-03-08,422.6
2013-03-11,423.85
2013-03-12,415.75
2013-03-13,409.9
2013-03-14,409.55
2013-03-15,420.25
2013-03-18,404.9
2013-03-19,390.55
2013-03-20,385.1
2013-03-21,379.95
2013-03-22,374.35
2013-03-25,361.6
2013-03-26,349.6
2013-03-28,348.1
2013-04-01,369.35
2013-04-02,368.7
2013-04-03,371.3
2013-04-04,348.8
2013-04-05,357.1
2013-04-08,358.65
2013-04-09,360.1
2013-04-10,349.5
2013-04-11,352.7
2013-04-12,350.25
2013-04-15,357.45
2013-04-16,357.35
2013-04-17,361.6
2013-04-18,364.9
2013-04-22,376.55
2013-04-23,377.0
2013-04-25,378.85
2013-04-26,399.25
2013-04-29,406.3
2013-04-30,413.95
2013-05-02,411.65
2013-05-03,405.8
2013-05-06,391.95
2013-05-07,385.75
2013-05-08,390.9
2013-05-09,395.6
2013-05-10,407.8
2013-05-11,397.1
2013-05-13,401.55
2013-05-14,412.3
2013-05-15,411.0
2013-05-16,412.3
2013-05-17,421.6
2013-05-20,411.0
2013-05-21,414.0
2013-05-22,404.95
2013-05-23,406.45
2013-05-24,405.35
2013-05-27,407.7
2013-05-28,417.2
2013-05-29,406.95
2013-05-30,396.15
2013-05-31,392.7
2013-06-03,384.3
2013-06-04,379.9
2013-06-05,385.5
2013-06-06,380.1
2013-06-07,384.35
2013-06-10,380.55
2013-06-11,370.35
2013-06-12,356.9
2013-06-13,361.45
2013-06-14,377.55
2013-06-17,370.15
2013-06-18,374.8
2013-06-19,392.3
2013-06-20,395.05
2013-06-21,381.55
2013-06-24,351.85
2013-06-25,354.95
2013-06-26,354.5
2013-06-27,340.15
2013-06-28,351.05
2013-07-01,355.5
2013-07-02,352.05
2013-07-03,335.55
2013-07-04,341.45
2013-07-05,347.5
2013-07-08,341.6
2013-07-09,347.2
2013-07-10,350.1
2013-07-11,356.6
2013-07-12,352.05
2013-07-15,354.3
2013-07-16,334.75
2013-07-17,332.65
2013-07-18,329.2
2013-07-19,321.35
2013-07-22,316.75
2013-07-23,307.95
2013-07-24,298.25
2013-07-25,302.75
2013-07-26,295.25
2013-07-29,293.65
2013-07-30,290.95
2013-07-31,288.6
2013-08-01,288.15
2013-08-02,285.7
2013-08-05,287.55
2013-08-06,282.95
2013-08-07,281.9
2013-08-08,281.7
2013-08-12,280.4
2013-08-13,279.8
2013-08-14,277.4
2013-08-16,273.0
2013-08-19,255.8
2013-08-20,245.55
2013-08-21,242.0
2013-08-22,230.0
2013-08-23,233.75
2013-08-26,244.8
2013-08-27,241.4
2013-08-28,245.95
2013-08-29,253.9
2013-08-30,249.75
2013-09-02,241.65
2013-09-03,234.05
2013-09-04,218.65
2013-09-05,239.6
2013-09-06,248.65
2013-09-10,270.2
2013-09-11,267.9
2013-09-12,271.65
2013-09-13,275.2
2013-09-16,276.05
2013-09-17,272.05
2013-09-18,277.5
2013-09-19,287.35
2013-09-20,282.35
2013-09-23,279.45
2013-09-24,285.45
2013-09-25,294.0
2013-09-26,282.3
2013-09-27,291.55
2013-09-30,281.1
2013-10-01,286.4
2013-10-03,291.4
2013-10-04,318.5
2013-10-07,321.7
2013-10-08,318.6
2013-10-09,321.4
2013-10-10,320.0
2013-10-11,321.55
2013-10-14,322.45
2013-10-15,312.5
2013-10-17,301.45
2013-10-18,316.95
2013-10-21,320.35
2013-10-22,316.95
2013-10-23,317.45
2013-10-24,308.0
2013-10-25,317.7
2013-10-28,317.6
2013-10-29,317.9
2013-10-30,323.45
2013-10-31,312.8
2013-11-01,301.4
2013-11-03,309.5
2013-11-05,307.45
2013-11-06,305.65
2013-11-07,315.25
2013-11-08,317.8
2013-11-11,314.65
2013-11-12,311.65
2013-11-13,309.55
2013-11-14,310.0
2013-11-18,315.15
2013-11-19,315.2
2013-11-20,310.25
2013-11-21,310.95
2013-11-22,315.6
2013-11-25,331.05
2013-11-26,337.45
2013-11-27,323.85
2013-11-28,323.5
2013-11-29,327.2
2013-12-02,335.55
2013-12-03,334.8
2013-12-04,335.95
2013-12-05,350.2
2013-12-06,346.5
2013-12-09,334.8
2013-12-10,340.7
2013-12-11,344.3
2013-12-12,337.25
2013-12-13,327.25
2013-12-16,309.1
2013-12-17,300.0
2013-12-18,299.7
2013-12-19,301.85
2013-12-20,304.7
2013-12-23,310.3
2013-12-24,310.65
2013-12-26,312.9
2013-12-27,311.6
2013-12-30,312.55
2013-12-31,312.15
2014-01-01,320.15
2014-01-02,322.1
2014-01-03,334.8
2014-01-06,322.9
2014-01-07,310.95
2014-01-08,308.4
2014-01-09,307.6
2014-01-10,309.85
2014-01-13,305.7
2014-01-14,306.25
2014-01-15,307.45
2014-01-16,306.55
2014-01-17,301.8
2014-01-20,304.2
2014-01-21,304.3
2014-01-22,301.7
2014-01-23,295.75
2014-01-24,294.55
2014-01-27,288.65
2014-01-28,281.6
2014-01-29,266.85
2014-01-30,263.55
2014-01-31,266.15
2014-02-03,275.15
2014-02-04,276.05
2014-02-05,271.45
2014-02-06,275.15
2014-02-07,273.75
2014-02-10,272.85
2014-02-11,274.25
2014-02-12,274.05
2014-02-13,277.65
2014-02-14,270.7
2014-02-17,267.0
2014-02-18,270.65
2014-02-19,272.2
2014-02-20,271.85
2014-02-21,271.75
2014-02-24,272.15
2014-02-25,285.5
2014-02-26,291.8
2014-02-28,293.9
2014-03-03,318.3
2014-03-04,312.3
2014-03-05,317.05
2014-03-06,319.45
2014-03-07,330.9
2014-03-10,348.25
2014-03-11,363.95
2014-03-12,368.0
2014-03-13,368.35
2014-03-14,355.4
2014-03-18,349.6
2014-03-19,342.85
2014-03-20,339.8
2014-03-21,338.4
2014-03-22,344.6
2014-03-24,341.75
2014-03-25,348.0
2014-03-26,353.5
2014-03-27,343.95
2014-03-28,349.4
2014-03-31,374.5
2014-04-01,359.65
2014-04-02,370.8
2014-04-03,379.6
2014-04-04,383.05
2014-04-07,374.05
2014-04-09,377.95
2014-04-10,373.2
2014-04-11,374.8
2014-04-15,370.55
2014-04-16,365.35
2014-04-17,371.5
2014-04-21,374.85
2014-04-22,375.55
