Date,USHERAGRO
2013-01-01,59.5
2013-01-02,59.95
2013-01-03,59.75
2013-01-04,59.75
2013-01-07,59.65
2013-01-08,59.05
2013-01-09,59.85
2013-01-10,59.75
2013-01-11,57.65
2013-01-14,58.2
2013-01-15,58.1
2013-01-16,57.6
2013-01-17,57.85
2013-01-18,62.6
2013-01-21,64.15
2013-01-22,64.1
2013-01-23,63.7
2013-01-24,62.15
2013-01-25,62.85
2013-01-28,62.2
2013-01-29,61.4
2013-01-30,60.5
2013-01-31,60.05
2013-02-01,60.0
2013-02-04,59.65
2013-02-05,59.7
2013-02-06,60.6
2013-02-07,59.5
2013-02-08,58.95
2013-02-11,58.7
2013-02-12,58.85
2013-02-13,58.55
2013-02-14,57.05
2013-02-15,59.3
2013-02-18,58.3
2013-02-19,58.0
2013-02-20,57.55
2013-02-21,56.4
2013-02-22,57.3
2013-02-25,57.55
2013-02-26,57.3
2013-02-27,56.05
2013-02-28,56.55
2013-03-01,56.2
2013-03-04,56.05
2013-03-05,55.8
2013-03-06,56.85
2013-03-07,56.95
2013-03-08,56.85
2013-03-11,56.75
2013-03-12,56.5
2013-03-13,56.6
2013-03-14,56.5
2013-03-15,56.65
2013-03-18,56.25
2013-03-19,55.95
2013-03-20,54.8
2013-03-21,54.9
2013-03-22,54.2
2013-03-25,53.35
2013-03-26,52.45
2013-03-28,51.75
2013-04-01,50.1
2013-04-02,49.5
2013-04-03,46.8
2013-04-04,44.05
2013-04-05,40.95
2013-04-08,42.05
2013-04-09,45.8
2013-04-10,45.4
2013-04-11,47.75
2013-04-12,48.0
2013-04-15,49.45
2013-04-16,49.65
2013-04-17,48.95
2013-04-18,48.85
2013-04-22,46.75
2013-04-23,47.7
2013-04-25,47.2
2013-04-26,47.2
2013-04-29,46.2
2013-04-30,46.35
2013-05-02,44.95
2013-05-03,44.0
2013-05-06,44.2
2013-05-07,44.05
2013-05-08,43.65
2013-05-09,42.9
2013-05-10,42.75
2013-05-11,43.4
2013-05-13,42.9
2013-05-14,42.4
2013-05-15,42.85
2013-05-16,42.45
2013-05-17,42.05
2013-05-20,41.6
2013-05-21,41.4
2013-05-22,41.1
2013-05-23,42.6
2013-05-24,43.2
2013-05-27,42.25
2013-05-28,42.6
2013-05-29,41.85
2013-05-30,41.4
2013-05-31,41.4
2013-06-03,40.6
2013-06-04,40.9
2013-06-05,41.2
2013-06-06,41.5
2013-06-07,39.45
2013-06-10,40.65
2013-06-11,40.05
2013-06-12,39.75
2013-06-13,39.9
2013-06-14,39.4
